season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,home_won
2011-2012,2012-03-13,INDIANA PACERS,244.16666666666666,33.666666666666664,80.5,5.0,15.0,20.5,28.166666666666668,12.166666666666666,29.166666666666668,18.0,9.333333333333334,5.333333333333333,11.833333333333334,22.333333333333332,0.49983333333333335,0.4501666666666666,0.1875,0.35566666666666674,27.466666666666665,65.71666666666667,46.51666666666666,54.0,10.450000000000001,8.333333333333332,11.216666666666667,100.0,103.88333333333334,103.68333333333332,240.0,37.0,79.0,5.666666666666667,19.833333333333332,16.833333333333332,20.833333333333332,10.833333333333334,30.666666666666668,18.833333333333332,6.333333333333333,5.333333333333333,13.666666666666666,22.333333333333332,0.5468333333333334,0.5033333333333333,0.2505,0.27133333333333337,27.883333333333336,73.33333333333333,51.599999999999994,50.78333333333333,7.183333333333334,8.4,13.216666666666667,100.0,109.14999999999999,115.01666666666665,1
2011-2012,2012-03-13,MEMPHIS GRIZZLIES,240.0,38.166666666666664,79.16666666666667,4.833333333333333,13.666666666666666,17.666666666666668,22.666666666666668,8.333333333333334,29.166666666666668,24.333333333333332,10.166666666666666,5.833333333333333,13.333333333333334,19.166666666666668,0.5553333333333333,0.5141666666666667,0.1731666666666667,0.28750000000000003,22.283333333333335,71.93333333333332,47.86666666666667,63.58333333333332,11.083333333333334,9.083333333333332,13.0,100.0,108.01666666666667,99.75,244.16666666666666,36.666666666666664,78.0,6.0,18.5,20.0,26.333333333333332,11.333333333333334,34.0,22.333333333333332,5.833333333333333,7.0,14.833333333333334,15.5,0.5546666666666668,0.5096666666666666,0.23700000000000002,0.3385,30.08333333333333,71.78333333333332,53.199999999999996,61.20000000000001,6.483333333333333,10.15,14.25,100.0,109.53333333333335,106.48333333333333,0
2011-2012,2012-03-13,OKLAHOMA CITY THUNDER,240.0,36.666666666666664,77.16666666666667,7.666666666666667,23.5,21.833333333333332,27.333333333333332,10.333333333333334,30.333333333333332,18.0,6.666666666666667,9.166666666666666,15.5,19.666666666666668,0.5781666666666667,0.5271666666666667,0.305,0.3546666666666667,26.3,69.55,49.449999999999996,48.21666666666667,7.199999999999999,13.299999999999999,14.850000000000001,100.0,112.21666666666665,106.38333333333333,248.33333333333334,37.333333333333336,80.5,7.5,18.666666666666668,20.666666666666668,26.166666666666668,11.166666666666666,29.333333333333332,20.5,4.833333333333333,4.833333333333333,13.833333333333334,22.333333333333332,0.5598333333333333,0.5088333333333334,0.2323333333333333,0.33466666666666667,26.683333333333337,73.89999999999999,49.416666666666664,54.51666666666666,5.083333333333333,7.349999999999999,13.0,100.0,110.96666666666665,118.28333333333332,0
2011-2012,2012-03-13,ORLANDO MAGIC,240.0,36.166666666666664,79.83333333333333,11.0,28.0,16.333333333333332,25.333333333333332,12.833333333333334,30.0,22.0,5.833333333333333,3.6666666666666665,14.666666666666666,19.166666666666668,0.547,0.5215,0.3511666666666667,0.319,31.566666666666663,73.33333333333333,52.5,60.666666666666664,6.366666666666667,5.683333333333334,13.833333333333336,100.0,110.76666666666667,107.50000000000001,244.16666666666666,37.333333333333336,79.5,5.666666666666667,15.333333333333334,16.0,21.833333333333332,12.333333333333334,28.166666666666668,20.666666666666668,10.0,6.0,13.833333333333334,18.0,0.5439999999999999,0.5080000000000001,0.19216666666666668,0.27666666666666667,31.666666666666668,67.91666666666667,50.9,55.0,11.416666666666666,9.466666666666667,13.433333333333332,100.0,109.94999999999999,102.98333333333335,1
2011-2012,2012-03-13,SACRAMENTO KINGS,244.16666666666666,41.166666666666664,90.5,8.666666666666666,24.0,12.166666666666666,16.166666666666668,11.666666666666666,27.833333333333332,21.833333333333332,9.5,4.666666666666667,12.5,19.833333333333332,0.5321666666666666,0.5071666666666667,0.2708333333333333,0.18416666666666667,25.200000000000003,69.5,45.65,52.68333333333334,10.05,7.25,11.416666666666666,100.0,108.49999999999999,110.39999999999999,240.0,36.333333333333336,78.0,8.333333333333334,19.666666666666668,15.333333333333334,19.666666666666668,7.833333333333333,33.333333333333336,21.666666666666668,7.333333333333333,4.0,13.833333333333334,20.333333333333332,0.557,0.5211666666666667,0.2525,0.2551666666666667,18.75,72.46666666666667,47.166666666666664,59.56666666666667,7.899999999999999,6.333333333333333,13.783333333333333,100.0,104.89999999999999,105.36666666666667,0
2011-2012,2012-03-14,CHICAGO BULLS,240.0,38.833333333333336,83.16666666666667,6.333333333333333,16.833333333333332,16.5,23.0,15.666666666666666,32.0,24.666666666666668,6.333333333333333,6.0,13.166666666666666,19.0,0.5411666666666667,0.5073333333333333,0.20350000000000001,0.2768333333333333,38.3,70.08333333333333,54.95000000000001,63.48333333333333,7.2,8.633333333333333,12.383333333333333,100.0,114.03333333333332,106.25,248.33333333333334,37.5,81.0,6.0,17.333333333333332,13.833333333333334,18.833333333333332,11.666666666666666,28.0,20.5,10.666666666666666,6.166666666666667,15.0,20.5,0.535,0.5033333333333333,0.21199999999999997,0.23783333333333334,29.766666666666666,66.81666666666668,49.349999999999994,54.35,11.866666666666667,10.299999999999999,14.366666666666667,100.0,106.38333333333334,103.03333333333335,1
2011-2012,2012-03-14,GOLDEN STATE WARRIORS,240.0,38.5,79.5,9.5,20.666666666666668,15.166666666666666,19.833333333333332,8.166666666666666,34.0,22.0,7.833333333333333,4.166666666666667,13.5,21.833333333333332,0.5766666666666667,0.5441666666666667,0.2598333333333333,0.2541666666666667,19.75,73.11666666666666,48.38333333333333,57.73333333333334,8.399999999999999,6.766666666666666,13.350000000000001,100.0,110.16666666666667,101.90000000000002,248.33333333333334,37.0,83.66666666666667,5.0,14.666666666666666,16.833333333333332,21.166666666666668,8.0,27.333333333333332,25.833333333333332,10.166666666666666,5.666666666666667,11.833333333333334,21.0,0.5165000000000001,0.47283333333333344,0.1753333333333333,0.2605,18.55,65.11666666666667,41.35,69.56666666666665,10.866666666666665,8.799999999999999,11.366666666666665,100.0,102.64999999999999,102.83333333333333,0
2011-2012,2012-03-14,HOUSTON ROCKETS,248.33333333333334,38.166666666666664,82.66666666666667,7.5,17.833333333333332,18.833333333333332,23.666666666666668,11.333333333333334,29.5,21.666666666666668,5.833333333333333,4.333333333333333,13.333333333333334,21.0,0.5523333333333333,0.5051666666666667,0.21366666666666667,0.2971666666666667,26.783333333333335,75.0,49.800000000000004,56.349999999999994,6.183333333333334,6.983333333333332,12.466666666666669,100.0,110.91666666666667,115.86666666666666,240.0,33.5,80.16666666666667,3.0,11.333333333333334,19.333333333333332,25.0,12.333333333333334,28.666666666666668,21.166666666666668,8.0,6.333333333333333,12.166666666666666,18.166666666666668,0.4903333333333333,0.4386666666666667,0.14033333333333334,0.31983333333333336,28.666666666666668,71.85000000000001,49.300000000000004,63.166666666666664,9.066666666666668,10.833333333333334,11.866666666666667,100.0,100.61666666666666,105.61666666666667,1
2011-2012,2012-03-14,INDIANA PACERS,244.16666666666666,34.166666666666664,80.16666666666667,4.833333333333333,15.0,18.0,25.333333333333332,11.0,29.666666666666668,18.5,9.333333333333334,4.833333333333333,11.5,22.666666666666668,0.4996666666666667,0.45716666666666667,0.18800000000000003,0.3226666666666667,24.783333333333335,69.13333333333334,46.9,54.53333333333334,10.483333333333333,7.683333333333333,11.116666666666667,100.0,102.33333333333333,103.35000000000001,240.0,39.833333333333336,87.66666666666667,5.0,13.333333333333334,15.666666666666666,20.666666666666668,13.666666666666666,35.666666666666664,22.0,7.166666666666667,4.833333333333333,10.166666666666666,15.333333333333334,0.5221666666666666,0.48733333333333334,0.15016666666666667,0.24066666666666667,29.533333333333335,77.85000000000001,54.21666666666667,55.199999999999996,7.833333333333333,7.166666666666665,9.533333333333333,100.0,110.44999999999999,97.39999999999999,1
2011-2012,2012-03-14,LOS ANGELES CLIPPERS,244.16666666666666,36.166666666666664,82.0,7.833333333333333,21.333333333333332,19.333333333333332,27.333333333333332,13.666666666666666,30.833333333333332,17.666666666666668,8.166666666666666,2.8333333333333335,12.0,22.0,0.5296666666666666,0.4891666666666666,0.2608333333333333,0.33483333333333337,32.35,77.28333333333335,54.51666666666667,49.18333333333334,9.183333333333334,5.266666666666667,11.283333333333333,100.0,111.08333333333333,111.46666666666665,244.16666666666666,37.666666666666664,81.83333333333333,8.833333333333334,21.333333333333332,14.5,19.5,10.833333333333334,27.5,21.666666666666668,9.833333333333334,3.5,13.5,20.666666666666668,0.5445000000000001,0.513,0.2605,0.23833333333333337,26.900000000000002,73.33333333333333,49.13333333333333,57.20000000000001,10.966666666666667,6.116666666666667,12.966666666666667,100.0,108.3,105.81666666666666,1
