season,date,home_team,date_home,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,date_away,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,home_won
2010-2011,2011-04-10,CHARLOTTE BOBCATS,244.16666666666666,36.833333333333336,79.83333333333333,3.6666666666666665,11.166666666666666,16.0,19.833333333333332,8.333333333333334,27.166666666666668,24.666666666666668,7.833333333333333,4.166666666666667,11.333333333333334,19.166666666666668,0.5273333333333333,0.4848333333333333,0.1385,0.247,21.78333333333333,76.8,48.199999999999996,67.38333333333334,8.766666666666666,7.2,11.333333333333334,100.0,104.88333333333333,113.25000000000001,240.0,40.166666666666664,82.33333333333333,3.3333333333333335,12.166666666666666,19.333333333333332,23.5,13.166666666666666,27.333333333333332,20.833333333333332,9.166666666666666,3.1666666666666665,15.0,19.166666666666668,0.5571666666666667,0.5103333333333333,0.14666666666666664,0.2893333333333333,33.050000000000004,75.85000000000001,52.949999999999996,51.81666666666666,10.033333333333333,5.016666666666667,13.883333333333333,100.0,111.76666666666665,113.83333333333333,0
2010-2011,2011-04-10,DALLAS MAVERICKS,240.0,37.333333333333336,82.16666666666667,6.333333333333333,22.166666666666668,15.5,23.833333333333332,10.5,29.666666666666668,23.166666666666668,7.666666666666667,4.666666666666667,13.5,20.833333333333332,0.5226666666666667,0.49500000000000005,0.27199999999999996,0.2925,24.183333333333337,76.73333333333333,49.11666666666667,62.0,8.166666666666666,7.866666666666666,12.75,100.0,103.48333333333333,109.68333333333334,240.0,39.166666666666664,81.33333333333333,5.5,17.333333333333332,17.0,21.666666666666668,9.666666666666666,29.833333333333332,21.5,8.5,5.0,13.666666666666666,18.833333333333332,0.5551666666666667,0.5165000000000001,0.21233333333333335,0.27149999999999996,23.599999999999998,73.36666666666667,48.65,54.86666666666667,9.066666666666668,8.266666666666667,13.100000000000001,100.0,108.01666666666667,113.18333333333334,1
2010-2011,2011-04-10,GOLDEN STATE WARRIORS,244.16666666666666,40.0,89.16666666666667,8.166666666666666,22.166666666666668,15.333333333333334,18.666666666666668,12.5,32.0,21.833333333333332,6.5,5.666666666666667,12.166666666666666,19.666666666666668,0.5328333333333334,0.496,0.24816666666666665,0.21266666666666667,27.349999999999998,72.8,49.550000000000004,54.85,6.8999999999999995,8.15,11.183333333333335,100.0,110.63333333333333,105.81666666666668,240.0,38.5,85.33333333333333,4.166666666666667,17.666666666666668,15.166666666666666,20.5,10.5,30.833333333333332,21.666666666666668,7.333333333333333,4.5,14.833333333333334,20.0,0.5133333333333334,0.4781666666666667,0.2076666666666667,0.24300000000000002,24.2,75.68333333333334,49.5,56.73333333333333,7.6499999999999995,6.866666666666666,13.616666666666667,100.0,101.11666666666667,109.61666666666666,0
2010-2011,2011-04-10,INDIANA PACERS,240.0,41.333333333333336,82.0,6.833333333333333,19.0,19.333333333333332,24.5,11.166666666666666,29.666666666666668,21.666666666666668,7.5,5.166666666666667,14.0,20.5,0.5851666666666667,0.5456666666666666,0.23083333333333333,0.29750000000000004,27.850000000000005,74.03333333333335,51.300000000000004,51.949999999999996,7.95,7.900000000000001,13.083333333333334,100.0,116.76666666666667,109.88333333333334,244.16666666666666,41.0,85.0,11.666666666666666,29.333333333333332,23.0,28.666666666666668,10.666666666666666,30.666666666666668,23.666666666666668,9.0,4.5,10.666666666666666,22.0,0.5983333333333333,0.5525,0.34666666666666673,0.34149999999999997,24.766666666666666,71.81666666666666,48.18333333333333,57.333333333333336,9.200000000000001,6.599999999999999,9.783333333333333,100.0,120.76666666666667,109.13333333333333,0
2010-2011,2011-04-10,LOS ANGELES LAKERS,240.0,34.333333333333336,80.83333333333333,6.166666666666667,19.333333333333332,17.5,25.833333333333332,12.833333333333334,34.5,18.5,6.666666666666667,5.333333333333333,14.5,19.5,0.501,0.46399999999999997,0.2396666666666667,0.32316666666666666,27.05,73.06666666666666,50.5,53.833333333333336,7.199999999999999,8.016666666666667,13.5,100.0,101.03333333333335,97.76666666666667,240.0,37.166666666666664,82.66666666666667,5.833333333333333,19.166666666666668,22.5,28.333333333333332,15.166666666666666,31.0,19.5,7.666666666666667,6.333333333333333,12.666666666666666,26.0,0.5398333333333333,0.48566666666666664,0.2336666666666667,0.3441666666666667,35.03333333333333,71.26666666666667,53.199999999999996,52.21666666666666,8.483333333333334,9.816666666666666,11.766666666666666,100.0,114.2,108.55,0
2010-2011,2011-04-10,MEMPHIS GRIZZLIES,240.0,40.833333333333336,82.5,3.3333333333333335,9.166666666666666,15.333333333333334,22.333333333333332,13.0,29.833333333333332,21.333333333333332,10.666666666666666,6.333333333333333,12.333333333333334,17.333333333333332,0.5448333333333334,0.5165000000000001,0.11199999999999999,0.274,33.85,74.1,54.199999999999996,51.916666666666664,11.783333333333333,10.033333333333333,11.75,100.0,112.41666666666667,101.26666666666665,240.0,37.333333333333336,78.83333333333333,5.0,14.166666666666666,16.666666666666668,21.666666666666668,11.666666666666666,26.166666666666668,22.333333333333332,8.333333333333334,3.8333333333333335,10.666666666666666,19.833333333333332,0.5453333333333333,0.5056666666666666,0.17983333333333337,0.2776666666666667,29.11666666666667,70.95,49.349999999999994,60.15,9.783333333333333,6.333333333333333,10.75,100.0,112.83333333333333,112.06666666666668,1
2010-2011,2011-04-10,MIAMI HEAT,240.0,37.833333333333336,74.0,6.666666666666667,17.333333333333332,22.5,29.833333333333332,8.333333333333334,31.333333333333332,23.333333333333332,6.333333333333333,4.5,15.0,20.166666666666668,0.6011666666666667,0.5575,0.23316666666666666,0.40650000000000003,23.55,79.28333333333333,52.75,61.449999999999996,6.95,7.766666666666667,14.65,100.0,114.76666666666667,107.69999999999999,240.0,37.333333333333336,73.66666666666667,3.6666666666666665,11.0,17.5,22.166666666666668,6.666666666666667,31.333333333333332,24.833333333333332,6.5,4.833333333333333,13.166666666666666,16.0,0.5773333333333334,0.5341666666666667,0.1505,0.3041666666666667,19.73333333333333,72.71666666666667,49.31666666666667,65.8,7.316666666666667,7.400000000000001,13.6,100.0,108.68333333333332,102.66666666666667,1
2010-2011,2011-04-10,ORLANDO MAGIC,248.33333333333334,33.666666666666664,74.33333333333333,8.666666666666666,26.833333333333332,18.0,26.333333333333332,8.666666666666666,30.0,17.333333333333332,8.166666666666666,4.333333333333333,14.0,18.833333333333332,0.5466666666666666,0.509,0.3601666666666667,0.3575,22.150000000000002,76.76666666666667,49.53333333333333,51.800000000000004,9.133333333333333,6.866666666666667,13.683333333333332,100.0,105.76666666666667,103.2,240.0,38.666666666666664,79.33333333333333,6.666666666666667,18.0,17.5,21.333333333333332,9.166666666666666,32.666666666666664,27.0,8.5,4.666666666666667,12.666666666666666,17.166666666666668,0.5718333333333333,0.5299999999999999,0.2285,0.26916666666666667,24.900000000000002,77.33333333333333,53.050000000000004,69.88333333333334,9.433333333333334,6.983333333333333,12.516666666666666,100.0,112.95,101.95,0
2010-2011,2011-04-10,TORONTO RAPTORS,240.0,39.0,80.16666666666667,4.333333333333333,11.333333333333334,19.833333333333332,25.0,12.333333333333334,28.166666666666668,20.0,5.166666666666667,4.166666666666667,12.5,23.166666666666668,0.5611666666666667,0.5138333333333333,0.14416666666666667,0.30983333333333335,32.15,74.43333333333332,53.333333333333336,52.38333333333333,5.783333333333334,6.749999999999999,12.1,100.0,114.43333333333334,120.75,240.0,38.833333333333336,84.83333333333333,6.833333333333333,19.166666666666668,17.0,23.5,10.333333333333334,26.5,23.666666666666668,7.833333333333333,3.0,11.333333333333334,21.333333333333332,0.5328333333333333,0.498,0.22616666666666665,0.277,23.066666666666666,71.86666666666667,44.93333333333333,61.01666666666666,8.4,4.8,10.583333333333334,100.0,108.38333333333333,121.18333333333332,1
2010-2011,2011-04-11,ATLANTA HAWKS,240.0,34.833333333333336,75.66666666666667,4.666666666666667,13.5,18.5,22.5,7.833333333333333,28.5,17.833333333333332,4.833333333333333,3.6666666666666665,12.833333333333334,20.166666666666668,0.5426666666666667,0.49150000000000005,0.17866666666666667,0.29616666666666663,19.45,74.31666666666666,46.56666666666666,51.25,5.433333333333333,5.516666666666667,13.066666666666668,100.0,104.96666666666668,113.51666666666667,240.0,38.666666666666664,73.5,6.0,16.166666666666668,23.166666666666668,30.5,9.5,32.166666666666664,23.333333333333332,7.0,4.666666666666667,15.833333333333334,18.833333333333332,0.612,0.5675,0.21966666666666665,0.41733333333333333,27.23333333333333,81.18333333333334,56.300000000000004,59.86666666666667,7.8,7.983333333333333,15.383333333333335,100.0,117.63333333333334,103.71666666666668,0
