team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,2012-11-18,240,39,79,9,22,15,20,10,24,15,8,1,16,17
BROOKLYN NETS,2012-11-18,240,36,75,5,17,22,25,7,26,22,8,6,10,18
SACRAMENTO KINGS,2012-11-18,240,37,80,6,18,10,19,15,27,13,6,4,17,24
ORLANDO MAGIC,2012-11-18,240,32,80,4,13,18,21,8,32,18,2,1,15,22
TORONTO RAPTORS,2012-11-18,240,38,80,7,18,14,23,10,30,22,8,6,10,21
ORLANDO MAGIC,2012-11-19,240,31,82,2,10,8,14,11,44,17,6,5,19,19
ATLANTA HAWKS,2012-11-19,240,34,89,5,25,8,13,11,37,18,12,4,13,18
MILWAUKEE BUCKS,2012-11-19,240,44,93,2,16,8,11,9,30,26,5,12,14,27
CHARLOTTE BOBCATS,2012-11-19,240,36,82,3,11,27,30,11,33,22,7,5,16,14
GOLDEN STATE WARRIORS,2012-11-19,265,37,91,9,24,22,30,19,43,19,10,2,20,24
DALLAS MAVERICKS,2012-11-19,265,37,86,10,21,17,24,7,36,24,12,11,16,22
DENVER NUGGETS,2012-11-19,240,36,81,5,15,20,28,21,26,21,9,3,17,15
MEMPHIS GRIZZLIES,2012-11-19,240,36,78,6,17,14,17,12,21,23,10,4,17,20
LOS ANGELES CLIPPERS,2012-11-19,240,40,85,1,12,11,19,17,35,13,7,7,17,20
SAN ANTONIO SPURS,2012-11-19,240,29,82,6,20,23,28,13,29,16,7,3,13,19
HOUSTON ROCKETS,2012-11-19,240,30,86,7,21,24,31,15,34,18,4,9,14,22
UTAH JAZZ,2012-11-19,240,37,92,9,21,19,23,14,41,30,4,11,14,23
INDIANA PACERS,2012-11-19,240,34,70,3,19,25,29,8,38,20,5,10,20,27
WASHINGTON WIZARDS,2012-11-19,240,31,87,4,17,23,31,14,22,13,10,2,10,27
BROOKLYN NETS,2012-11-20,240,34,82,7,23,15,21,14,32,24,7,3,13,26
LOS ANGELES LAKERS,2012-11-20,240,35,73,6,21,19,37,8,35,23,5,5,11,18
NEW YORK KNICKS,2012-11-20,240,37,83,14,36,14,19,13,36,19,6,3,10,20
NEW ORLEANS HORNETS,2012-11-20,240,29,69,8,18,14,21,5,31,16,2,3,13,21
TORONTO RAPTORS,2012-11-20,240,37,82,4,16,20,29,12,36,28,2,5,11,20
PHILADELPHIA 76ERS,2012-11-20,240,40,85,9,24,17,19,9,32,25,6,10,8,23
WASHINGTON WIZARDS,2012-11-21,265,38,89,7,20,17,24,19,39,20,8,6,20,27
ATLANTA HAWKS,2012-11-21,265,40,92,9,25,12,21,10,27,30,12,5,13,25
SAN ANTONIO SPURS,2012-11-21,240,45,77,8,16,14,19,6,35,26,8,2,17,17
BOSTON CELTICS,2012-11-21,240,41,77,3,8,15,17,1,24,21,9,5,12,18
TORONTO RAPTORS,2012-11-21,240,37,80,9,23,14,20,9,27,23,5,8,14,25
CHARLOTTE BOBCATS,2012-11-21,240,36,86,3,19,23,28,9,28,21,7,9,12,21
PHILADELPHIA 76ERS,2012-11-21,240,31,86,4,17,17,22,11,28,18,12,11,7,16
CLEVELAND CAVALIERS,2012-11-21,240,35,86,13,23,9,14,15,40,17,3,6,16,14
NEW YORK KNICKS,2012-11-21,240,39,77,15,31,18,22,5,32,25,10,2,14,17
DALLAS MAVERICKS,2012-11-21,240,42,85,13,29,17,21,11,31,22,8,1,13,18
BROOKLYN NETS,2012-11-21,240,38,83,6,23,11,15,14,21,26,7,6,8,16
GOLDEN STATE WARRIORS,2012-11-21,240,40,75,7,15,15,19,12,31,24,3,1,15,17
CHICAGO BULLS,2012-11-21,240,38,95,2,16,11,19,16,32,20,11,7,14,22
HOUSTON ROCKETS,2012-11-21,240,32,74,7,19,22,31,10,35,15,8,6,23,18
NEW ORLEANS HORNETS,2012-11-21,265,39,92,6,10,23,27,16,32,17,3,7,9,26
INDIANA PACERS,2012-11-21,265,40,92,15,27,20,28,17,32,26,6,16,8,24
MILWAUKEE BUCKS,2012-11-21,265,46,109,5,29,9,12,16,31,18,9,3,11,21
MIAMI HEAT,2012-11-21,265,41,86,8,18,23,33,12,42,25,7,4,15,13
DENVER NUGGETS,2012-11-21,240,35,79,9,21,22,26,14,35,16,5,8,20,24
MINNESOTA TIMBERWOLVES,2012-11-21,240,34,89,10,28,16,25,17,28,19,11,4,15,21
LOS ANGELES CLIPPERS,2012-11-21,265,40,93,7,20,24,33,17,28,19,16,5,14,27
OKLAHOMA CITY THUNDER,2012-11-21,265,36,79,11,23,34,39,12,32,20,12,5,19,24
DETROIT PISTONS,2012-11-21,240,28,85,3,17,15,22,13,35,15,5,2,14,16
ORLANDO MAGIC,2012-11-21,240,36,83,5,20,13,18,9,44,24,3,5,14,23
PORTLAND TRAIL BLAZERS,2012-11-21,240,31,77,5,19,20,26,13,19,14,7,2,20,21
PHOENIX SUNS,2012-11-21,240,46,77,7,17,15,18,7,28,22,12,3,13,18
LOS ANGELES LAKERS,2012-11-21,240,29,65,12,26,27,39,6,27,16,6,4,20,22
SACRAMENTO KINGS,2012-11-21,240,44,81,7,15,18,22,9,32,23,9,4,16,27
OKLAHOMA CITY THUNDER,2012-11-23,240,37,79,6,24,20,24,8,32,22,6,7,16,23
BOSTON CELTICS,2012-11-23,240,39,80,9,17,21,24,8,28,28,10,1,15,23
LOS ANGELES CLIPPERS,2012-11-23,240,29,72,4,17,14,22,17,28,15,8,7,18,22
BROOKLYN NETS,2012-11-23,240,34,73,5,13,13,19,11,24,19,6,3,15,22
ATLANTA HAWKS,2012-11-23,240,42,78,11,22,6,14,7,34,29,6,15,21,18
CHARLOTTE BOBCATS,2012-11-23,240,31,83,8,22,21,26,7,29,17,16,9,13,15
GOLDEN STATE WARRIORS,2012-11-23,240,35,80,7,17,14,18,8,37,22,8,5,14,30
DENVER NUGGETS,2012-11-23,240,40,84,5,19,17,30,11,28,21,9,7,11,18
TORONTO RAPTORS,2012-11-23,240,32,78,6,18,20,25,9,28,20,6,6,11,23
DETROIT PISTONS,2012-11-23,240,36,78,4,13,15,26,15,31,17,4,2,14,22
NEW YORK KNICKS,2012-11-23,240,37,86,17,39,12,14,6,24,22,8,9,15,21
HOUSTON ROCKETS,2012-11-23,240,46,89,14,25,25,28,11,38,22,8,6,14,17
SAN ANTONIO SPURS,2012-11-23,240,41,83,2,17,20,22,6,31,19,8,2,10,21
INDIANA PACERS,2012-11-23,240,38,92,7,16,14,21,19,30,27,1,5,13,23
LOS ANGELES LAKERS,2012-11-23,240,33,74,12,27,20,24,11,17,19,6,5,18,28
MEMPHIS GRIZZLIES,2012-11-23,240,38,75,6,11,24,30,13,26,23,10,3,15,26
CLEVELAND CAVALIERS,2012-11-23,240,37,87,8,26,22,30,17,21,19,8,1,13,24
ORLANDO MAGIC,2012-11-23,240,40,80,11,21,17,20,12,24,21,5,3,18,30
NEW ORLEANS HORNETS,2012-11-23,265,40,78,13,26,15,18,6,35,27,8,6,18,24
PHOENIX SUNS,2012-11-23,265,44,90,11,25,12,19,10,25,28,10,5,10,19
MINNESOTA TIMBERWOLVES,2012-11-23,240,32,78,3,18,28,37,17,30,15,10,2,14,21
PORTLAND TRAIL BLAZERS,2012-11-23,240,42,78,11,25,8,18,6,27,24,7,6,12,26
SACRAMENTO KINGS,2012-11-23,240,40,80,10,17,12,16,6,25,21,5,3,13,23
UTAH JAZZ,2012-11-23,240,36,83,3,15,29,33,17,26,27,7,6,11,22
LOS ANGELES CLIPPERS,2012-11-24,240,32,75,8,19,21,25,7,30,19,13,3,14,22
ATLANTA HAWKS,2012-11-24,240,38,75,7,17,21,26,8,31,26,5,2,18,18
LOS ANGELES LAKERS,2012-11-24,240,40,82,12,22,23,34,11,50,21,11,4,19,23
DALLAS MAVERICKS,2012-11-24,240,34,92,10,28,11,20,9,30,22,9,6,15,28
MINNESOTA TIMBERWOLVES,2012-11-24,240,33,86,5,27,14,19,11,28,25,8,3,10,24
GOLDEN STATE WARRIORS,2012-11-24,240,33,78,6,21,24,29,13,35,18,1,3,13,25
CLEVELAND CAVALIERS,2012-11-24,240,35,79,14,31,24,33,10,22,21,9,0,10,29
MIAMI HEAT,2012-11-24,240,36,69,9,19,29,37,9,30,21,5,5,18,25
CHICAGO BULLS,2012-11-24,240,32,82,4,16,25,26,20,34,17,4,2,16,18
MILWAUKEE BUCKS,2012-11-24,240,38,88,3,17,7,10,10,30,20,10,10,9,20
OKLAHOMA CITY THUNDER,2012-11-24,265,39,88,6,21,32,37,18,24,21,11,5,12,20
PHILADELPHIA 76ERS,2012-11-24,265,45,91,7,20,12,17,12,31,31,7,4,15,28
UTAH JAZZ,2012-11-24,240,32,79,11,25,22,30,17,21,23,11,4,17,26
SACRAMENTO KINGS,2012-11-24,240,40,74,6,16,22,32,14,23,19,8,2,14,20
CHARLOTTE BOBCATS,2012-11-24,290,34,83,12,28,28,36,5,35,20,12,5,17,33
WASHINGTON WIZARDS,2012-11-24,290,34,93,6,27,32,39,18,35,21,11,5,19,28
PORTLAND TRAIL BLAZERS,2012-11-25,240,34,78,7,17,10,13,9,25,22,8,6,16,19
BROOKLYN NETS,2012-11-25,240,39,92,5,17,15,21,17,31,26,10,9,12,11
NEW ORLEANS HORNETS,2012-11-25,240,33,85,6,13,12,20,15,25,23,6,6,14,18
DENVER NUGGETS,2012-11-25,240,40,75,5,13,17,21,9,32,27,9,12,14,20
DETROIT PISTONS,2012-11-25,240,37,78,9,20,17,22,10,28,20,6,4,19,22
NEW YORK KNICKS,2012-11-25,240,38,79,17,33,28,31,10,27,24,13,4,11,19
BOSTON CELTICS,2012-11-25,265,47,105,7,18,15,19,17,34,26,9,2,15,22
ORLANDO MAGIC,2012-11-25,265,41,90,11,26,17,19,10,32,20,9,8,18,19
PHOENIX SUNS,2012-11-25,240,39,83,4,11,19,20,9,32,24,3,5,12,23
PHILADELPHIA 76ERS,2012-11-25,240,39,81,9,19,17,23,6,27,23,4,4,8,18
SAN ANTONIO SPURS,2012-11-25,290,44,103,8,27,15,19,7,45,25,4,5,11,18
TORONTO RAPTORS,2012-11-25,290,40,110,6,24,20,24,17,44,21,6,8,12,25
NEW YORK KNICKS,2012-11-26,265,33,85,6,21,17,24,17,33,14,9,2,14,24
BROOKLYN NETS,2012-11-26,265,37,91,9,28,13,19,18,32,23,5,7,12,21
MILWAUKEE BUCKS,2012-11-26,240,39,85,3,15,12,19,13,23,23,4,12,12,17
CHICAGO BULLS,2012-11-26,240,35,80,5,11,17,19,14,26,21,8,6,15,21
PORTLAND TRAIL BLAZERS,2012-11-26,240,36,85,6,19,23,31,17,25,23,10,9,11,24
DETROIT PISTONS,2012-11-26,240,42,80,9,15,15,22,12,35,26,6,5,16,25
NEW ORLEANS HORNETS,2012-11-26,240,36,71,15,25,18,23,7,29,23,6,3,15,19
LOS ANGELES CLIPPERS,2012-11-26,240,37,79,18,37,6,11,8,24,26,11,5,14,26
CLEVELAND CAVALIERS,2012-11-26,240,31,76,4,16,12,15,14,27,12,10,5,16,23
MEMPHIS GRIZZLIES,2012-11-26,240,33,71,4,11,14,18,10,23,16,8,5,14,15
CHARLOTTE BOBCATS,2012-11-26,240,23,79,6,22,17,22,11,26,12,9,4,11,19
OKLAHOMA CITY THUNDER,2012-11-26,240,40,78,13,27,21,23,9,45,31,3,7,14,21
DENVER NUGGETS,2012-11-26,240,40,73,5,14,18,32,13,25,22,6,5,17,26
UTAH JAZZ,2012-11-26,240,36,78,8,22,25,34,13,18,19,9,6,12,30
SAN ANTONIO SPURS,2012-11-26,240,45,80,13,23,15,20,10,33,32,4,5,15,15
WASHINGTON WIZARDS,2012-11-26,240,37,90,4,14,14,17,15,25,14,10,2,10,18
PHOENIX SUNS,2012-11-27,240,37,79,6,17,11,18,7,32,22,10,8,15,19
CLEVELAND CAVALIERS,2012-11-27,240,30,84,2,15,16,22,14,31,21,9,4,18,21
TORONTO RAPTORS,2012-11-27,240,42,86,8,23,9,12,11,28,25,6,2,16,15
HOUSTON ROCKETS,2012-11-27,240,44,83,13,26,16,21,12,33,30,11,1,14,15
INDIANA PACERS,2012-11-27,240,29,79,4,19,17,27,10,40,17,9,6,17,32
LOS ANGELES LAKERS,2012-11-27,240,24,76,6,28,23,43,15,41,13,10,5,19,25
DALLAS MAVERICKS,2012-11-27,240,37,81,5,19,19,22,9,28,23,11,1,15,22
PHILADELPHIA 76ERS,2012-11-27,240,35,75,6,14,24,32,13,27,22,9,3,17,25
MINNESOTA TIMBERWOLVES,2012-11-27,240,38,83,6,22,15,18,12,39,25,8,8,17,16
SACRAMENTO KINGS,2012-11-27,240,37,84,6,17,9,14,8,28,21,11,6,13,19
CHARLOTTE BOBCATS,2012-11-28,240,30,76,12,24,19,23,9,36,18,6,7,16,21
ATLANTA HAWKS,2012-11-28,240,36,90,12,32,10,15,15,29,28,9,9,9,18
BROOKLYN NETS,2012-11-28,240,33,82,10,24,19,29,17,33,21,12,3,14,24
BOSTON CELTICS,2012-11-28,240,32,75,1,7,18,24,8,32,14,7,6,17,24
DALLAS MAVERICKS,2012-11-28,240,28,81,4,18,18,20,11,19,18,10,6,14,26
CHICAGO BULLS,2012-11-28,240,34,69,6,10,27,33,10,34,24,8,6,19,19
PHOENIX SUNS,2012-11-28,240,28,82,6,21,15,20,13,26,11,7,5,19,23
DETROIT PISTONS,2012-11-28,240,40,76,12,16,25,35,8,35,28,9,5,12,19
MINNESOTA TIMBERWOLVES,2012-11-28,240,31,82,6,22,27,35,21,31,18,5,6,18,25
LOS ANGELES CLIPPERS,2012-11-28,240,37,81,4,19,23,26,11,24,28,11,6,10,25
TORONTO RAPTORS,2012-11-28,240,29,74,5,17,19,24,7,26,11,5,5,17,29
MEMPHIS GRIZZLIES,2012-11-28,240,38,80,8,18,19,28,12,34,28,10,7,12,19
NEW YORK KNICKS,2012-11-28,240,35,73,11,21,21,25,8,30,18,11,1,14,20
MILWAUKEE BUCKS,2012-11-28,240,33,72,5,13,17,21,5,31,24,8,4,17,20
UTAH JAZZ,2012-11-28,240,31,63,6,11,28,38,6,33,24,11,4,16,25
NEW ORLEANS HORNETS,2012-11-28,240,31,73,5,21,17,21,12,26,15,4,1,19,27
HOUSTON ROCKETS,2012-11-28,240,36,87,8,21,18,30,16,22,20,11,2,16,16
OKLAHOMA CITY THUNDER,2012-11-28,240,47,87,9,22,17,22,15,31,26,10,11,15,22
SAN ANTONIO SPURS,2012-11-28,240,44,84,11,25,11,15,8,31,26,12,9,16,8
ORLANDO MAGIC,2012-11-28,240,41,95,2,15,5,8,18,28,16,8,3,16,14
PORTLAND TRAIL BLAZERS,2012-11-28,240,30,86,10,31,12,18,18,27,14,10,3,11,20
WASHINGTON WIZARDS,2012-11-28,240,31,71,5,12,17,19,8,34,18,7,2,16,19
DENVER NUGGETS,2012-11-29,240,38,84,10,21,19,24,10,30,25,9,7,15,16
GOLDEN STATE WARRIORS,2012-11-29,240,44,86,8,18,10,13,9,34,29,10,5,16,22
SAN ANTONIO SPURS,2012-11-29,240,36,80,10,30,18,24,11,34,22,5,2,19,20
MIAMI HEAT,2012-11-29,240,42,86,5,13,16,19,7,30,22,11,2,10,18
CLEVELAND CAVALIERS,2012-11-30,240,41,85,10,23,21,22,18,31,21,8,3,18,25
ATLANTA HAWKS,2012-11-30,240,38,78,12,20,23,32,10,18,25,12,5,12,18
PORTLAND TRAIL BLAZERS,2012-11-30,240,24,69,3,15,27,37,10,27,12,12,4,21,19
BOSTON CELTICS,2012-11-30,240,36,73,6,16,18,20,5,31,20,16,4,19,27
PHILADELPHIA 76ERS,2012-11-30,240,44,86,8,17,8,10,13,26,26,5,6,10,18
CHARLOTTE BOBCATS,2012-11-30,240,39,83,8,17,12,18,13,28,25,5,6,10,10
DENVER NUGGETS,2012-11-30,240,40,86,8,24,15,22,13,25,22,8,1,15,19
LOS ANGELES LAKERS,2012-11-30,240,47,87,17,33,11,17,15,31,33,11,6,15,22
DETROIT PISTONS,2012-11-30,240,29,72,4,16,16,20,11,35,15,7,5,22,20
MEMPHIS GRIZZLIES,2012-11-30,240,34,85,4,12,18,21,11,28,20,11,5,12,22
MILWAUKEE BUCKS,2012-11-30,240,34,93,5,18,12,16,13,34,14,10,14,11,24
MINNESOTA TIMBERWOLVES,2012-11-30,240,34,87,8,19,19,27,16,40,15,6,6,15,13
WASHINGTON WIZARDS,2012-11-30,240,35,78,5,18,12,21,13,29,11,5,4,17,14
NEW YORK KNICKS,2012-11-30,240,43,81,12,29,10,15,3,29,24,7,1,8,20
UTAH JAZZ,2012-11-30,240,38,92,7,23,11,12,21,19,24,9,8,18,21
OKLAHOMA CITY THUNDER,2012-11-30,240,39,75,4,9,24,33,16,31,21,11,14,21,19
BROOKLYN NETS,2012-11-30,240,38,83,11,20,11,13,11,30,22,4,6,7,17
ORLANDO MAGIC,2012-11-30,240,35,78,1,11,15,19,8,28,20,5,2,9,19
INDIANA PACERS,2012-11-30,240,37,85,9,26,14,19,10,31,27,7,6,9,19
SACRAMENTO KINGS,2012-11-30,240,32,75,6,17,22,25,8,34,15,6,4,12,19
PHOENIX SUNS,2012-11-30,240,37,77,6,16,17,19,4,30,28,6,8,14,20
TORONTO RAPTORS,2012-11-30,240,39,81,8,14,15,22,10,31,24,7,4,13,20
PHILADELPHIA 76ERS,2012-12-01,240,36,82,3,12,13,18,11,26,17,10,5,11,19
CHICAGO BULLS,2012-12-01,240,38,81,4,7,13,21,12,38,28,4,6,13,16
PORTLAND TRAIL BLAZERS,2012-12-01,290,46,94,9,25,17,21,12,29,25,7,9,14,21
CLEVELAND CAVALIERS,2012-12-01,290,43,99,13,35,18,22,15,33,32,6,4,16,21
DETROIT PISTONS,2012-12-01,240,29,85,5,21,14,18,15,37,16,7,7,15,15
DALLAS MAVERICKS,2012-12-01,240,38,93,11,25,5,8,13,36,28,8,9,13,18
INDIANA PACERS,2012-12-01,240,34,74,8,22,16,20,8,28,20,6,7,16,19
GOLDEN STATE WARRIORS,2012-12-01,240,38,80,9,20,18,19,11,30,22,5,3,17,22
UTAH JAZZ,2012-12-01,240,48,94,11,20,9,11,12,26,25,8,6,14,22
HOUSTON ROCKETS,2012-12-01,240,46,83,11,22,21,26,10,28,26,9,7,16,17
SACRAMENTO KINGS,2012-12-01,240,29,76,9,23,14,18,10,30,23,2,3,17,19
LOS ANGELES CLIPPERS,2012-12-01,240,47,86,12,24,10,16,8,33,27,12,6,5,15
BROOKLYN NETS,2012-12-01,240,33,75,6,28,17,27,9,29,20,6,4,18,21
MIAMI HEAT,2012-12-01,240,40,78,7,20,15,19,8,27,20,12,3,10,25
BOSTON CELTICS,2012-12-01,240,34,82,6,19,14,17,11,32,26,8,9,16,19
MILWAUKEE BUCKS,2012-12-01,240,36,79,4,13,15,20,9,33,24,6,6,14,13
OKLAHOMA CITY THUNDER,2012-12-01,240,40,79,7,16,13,17,11,34,21,10,12,14,17
NEW ORLEANS HORNETS,2012-12-01,240,30,81,6,24,13,18,16,27,18,7,5,15,16
MEMPHIS GRIZZLIES,2012-12-01,265,36,99,4,15,19,22,18,34,25,10,4,19,24
SAN ANTONIO SPURS,2012-12-01,265,37,89,7,29,18,24,13,35,21,12,5,16,22
ORLANDO MAGIC,2012-12-02,240,43,86,8,23,19,20,5,39,34,5,10,12,28
LOS ANGELES LAKERS,2012-12-02,240,36,86,6,17,25,39,12,34,20,5,2,11,16
PHOENIX SUNS,2012-12-02,240,39,80,8,23,13,19,11,34,21,5,0,17,23
NEW YORK KNICKS,2012-12-02,240,40,90,12,29,14,17,16,27,21,7,5,7,13
PORTLAND TRAIL BLAZERS,2012-12-03,265,43,92,12,35,20,26,13,35,28,8,7,13,20
CHARLOTTE BOBCATS,2012-12-03,265,41,88,13,27,17,22,9,32,28,6,6,15,19
TORONTO RAPTORS,2012-12-03,240,42,86,9,28,17,19,9,28,19,9,9,16,30
DENVER NUGGETS,2012-12-03,240,40,85,6,15,27,43,23,30,25,11,7,17,20
CLEVELAND CAVALIERS,2012-12-03,240,32,95,3,20,12,17,20,33,19,7,5,11,20
DETROIT PISTONS,2012-12-03,240,36,84,4,18,13,19,15,34,21,6,13,11,16
ORLANDO MAGIC,2012-12-03,240,40,92,8,23,14,16,11,32,29,8,4,8,19
GOLDEN STATE WARRIORS,2012-12-03,240,37,81,7,17,13,18,9,34,23,5,5,13,20
MILWAUKEE BUCKS,2012-12-03,240,29,76,8,19,15,23,19,21,20,5,9,16,16
NEW ORLEANS HORNETS,2012-12-03,240,43,82,5,12,11,11,13,24,29,11,2,8,23
LOS ANGELES CLIPPERS,2012-12-03,240,42,89,4,21,17,24,13,23,19,9,3,10,14
UTAH JAZZ,2012-12-03,240,42,74,9,20,11,15,9,32,25,6,5,17,26
OKLAHOMA CITY THUNDER,2012-12-04,240,40,66,7,14,30,34,2,31,22,5,7,12,19
BROOKLYN NETS,2012-12-04,240,39,91,14,34,19,23,16,24,22,7,1,12,25
INDIANA PACERS,2012-12-04,240,29,80,2,10,20,27,16,30,17,10,4,12,21
CHICAGO BULLS,2012-12-04,240,28,73,4,12,16,20,13,33,18,3,7,19,21
LOS ANGELES LAKERS,2012-12-04,240,38,83,7,21,22,34,15,38,16,7,11,18,25
HOUSTON ROCKETS,2012-12-04,240,38,101,7,34,24,31,21,29,22,7,4,10,28
PHOENIX SUNS,2012-12-04,265,38,82,6,14,16,22,9,23,22,12,5,16,26
MEMPHIS GRIZZLIES,2012-12-04,265,40,85,4,19,24,31,15,35,13,11,9,19,22
MINNESOTA TIMBERWOLVES,2012-12-04,240,41,77,13,25,10,17,7,40,28,6,2,15,18
PHILADELPHIA 76ERS,2012-12-04,240,35,83,5,20,13,23,13,27,24,9,2,13,15
MIAMI HEAT,2012-12-04,240,41,89,8,28,11,16,12,31,27,6,2,12,20
WASHINGTON WIZARDS,2012-12-04,240,38,79,7,19,22,29,8,36,31,7,3,10,14
DENVER NUGGETS,2012-12-05,240,38,79,7,17,21,25,11,29,24,10,4,20,25
ATLANTA HAWKS,2012-12-05,240,42,95,8,22,16,19,19,28,24,13,5,14,19
MINNESOTA TIMBERWOLVES,2012-12-05,240,37,84,6,19,14,30,13,28,19,11,3,13,19
BOSTON CELTICS,2012-12-05,240,41,78,4,17,18,26,6,39,24,6,6,16,24
NEW YORK KNICKS,2012-12-05,240,39,92,13,41,9,13,10,26,23,9,8,8,18
CHARLOTTE BOBCATS,2012-12-05,240,39,83,7,16,13,15,12,38,26,2,4,12,14
CHICAGO BULLS,2012-12-05,240,34,72,4,15,23,27,10,35,22,5,6,15,24
CLEVELAND CAVALIERS,2012-12-05,240,31,85,5,16,18,25,14,27,15,8,2,10,18
GOLDEN STATE WARRIORS,2012-12-05,240,34,75,9,24,27,34,9,26,24,9,7,10,22
DETROIT PISTONS,2012-12-05,240,35,79,6,21,21,31,15,29,22,4,5,17,26
PORTLAND TRAIL BLAZERS,2012-12-05,240,34,79,6,22,18,22,9,28,18,5,3,10,15
INDIANA PACERS,2012-12-05,240,36,80,9,26,18,19,13,33,20,6,7,13,12
DALLAS MAVERICKS,2012-12-05,240,34,84,5,19,17,19,11,30,20,8,6,22,18
LOS ANGELES CLIPPERS,2012-12-05,240,45,90,6,20,16,21,12,37,30,18,6,17,17
LOS ANGELES LAKERS,2012-12-05,240,37,80,13,28,16,22,9,37,24,11,8,9,16
NEW ORLEANS HORNETS,2012-12-05,240,35,85,7,19,10,18,12,34,22,2,7,12,20
TORONTO RAPTORS,2012-12-05,240,35,86,6,23,24,28,10,30,25,6,9,11,23
SACRAMENTO KINGS,2012-12-05,240,38,82,6,15,25,34,10,37,18,5,7,15,18
MILWAUKEE BUCKS,2012-12-05,240,35,84,5,12,24,29,8,28,24,11,4,11,21
SAN ANTONIO SPURS,2012-12-05,240,40,85,6,21,24,28,14,39,27,6,4,17,20
ORLANDO MAGIC,2012-12-05,240,34,77,1,15,12,17,13,33,15,6,7,19,20
UTAH JAZZ,2012-12-05,240,32,77,1,10,22,27,8,30,17,13,4,12,16
NEW YORK KNICKS,2012-12-06,240,41,91,18,44,12,19,11,35,20,9,4,7,19
MIAMI HEAT,2012-12-06,240,32,76,6,16,22,28,7,36,17,7,4,14,21
DALLAS MAVERICKS,2012-12-06,240,37,78,4,12,19,24,11,33,15,8,4,16,23
PHOENIX SUNS,2012-12-06,240,34,85,8,21,18,25,13,29,19,11,4,12,20
WASHINGTON WIZARDS,2012-12-07,240,36,79,7,16,16,20,7,25,22,6,4,11,17
ATLANTA HAWKS,2012-12-07,240,41,85,10,26,12,19,15,32,23,7,1,14,19
GOLDEN STATE WARRIORS,2012-12-07,240,46,90,9,19,8,10,15,32,24,9,1,11,21
BROOKLYN NETS,2012-12-07,240,37,87,11,33,17,23,15,29,23,5,4,13,13
CHICAGO BULLS,2012-12-07,240,43,82,5,14,17,21,13,28,23,6,4,8,20
DETROIT PISTONS,2012-12-07,240,36,70,8,14,24,31,5,23,14,6,1,8,19
DENVER NUGGETS,2012-12-07,240,38,86,3,17,13,20,10,27,24,10,4,8,17
INDIANA PACERS,2012-12-07,240,34,76,10,23,11,18,9,33,27,5,9,18,22
CHARLOTTE BOBCATS,2012-12-07,240,36,81,3,13,18,32,14,31,18,9,6,11,23
MILWAUKEE BUCKS,2012-12-07,240,38,94,6,14,26,32,23,36,20,5,14,10,17
CLEVELAND CAVALIERS,2012-12-07,240,30,87,7,24,6,9,11,30,15,15,2,18,24
MINNESOTA TIMBERWOLVES,2012-12-07,240,30,70,4,19,27,35,13,40,18,13,8,21,17
MEMPHIS GRIZZLIES,2012-12-07,240,36,72,8,17,16,22,11,35,23,9,6,16,17
NEW ORLEANS HORNETS,2012-12-07,240,36,75,8,16,9,12,5,24,22,9,8,12,16
LOS ANGELES LAKERS,2012-12-07,240,36,84,11,28,25,31,15,30,17,11,5,17,23
OKLAHOMA CITY THUNDER,2012-12-07,240,41,84,9,17,23,28,11,25,22,6,3,14,24
BOSTON CELTICS,2012-12-07,265,35,81,6,22,18,25,7,46,24,6,7,18,23
PHILADELPHIA 76ERS,2012-12-07,265,37,99,2,11,19,26,17,37,19,12,4,9,26
ORLANDO MAGIC,2012-12-07,240,30,80,4,15,18,21,6,34,17,6,3,16,24
SACRAMENTO KINGS,2012-12-07,240,32,79,4,21,23,28,10,41,20,11,6,18,19
HOUSTON ROCKETS,2012-12-07,240,37,95,11,33,7,8,10,27,23,11,2,18,14
SAN ANTONIO SPURS,2012-12-07,240,48,87,6,20,12,13,6,44,33,10,7,17,10
TORONTO RAPTORS,2012-12-07,240,33,82,7,24,26,31,12,29,13,5,7,15,28
UTAH JAZZ,2012-12-07,240,45,91,13,23,28,35,15,36,31,10,8,11,26
PHILADELPHIA 76ERS,2012-12-08,240,31,79,4,17,13,16,12,24,16,4,3,8,19
BOSTON CELTICS,2012-12-08,240,40,75,4,14,8,12,7,25,25,6,2,11,19
SAN ANTONIO SPURS,2012-12-08,240,50,90,19,34,13,15,9,36,38,7,5,11,22
CHARLOTTE BOBCATS,2012-12-08,240,37,79,6,15,22,31,7,23,18,6,7,11,16
NEW YORK KNICKS,2012-12-08,240,27,84,8,23,23,28,14,26,14,10,6,15,17
CHICAGO BULLS,2012-12-08,240,34,78,7,13,18,18,10,37,18,10,6,19,20
DETROIT PISTONS,2012-12-08,240,35,75,9,15,25,33,10,25,17,5,5,9,22
CLEVELAND CAVALIERS,2012-12-08,240,39,91,6,27,13,17,20,26,19,3,8,14,27
DALLAS MAVERICKS,2012-12-08,240,43,91,10,24,20,25,11,29,24,7,2,12,24
HOUSTON ROCKETS,2012-12-08,240,35,72,12,35,27,38,4,33,28,8,4,19,26
