true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.5,0.484,0.323,0.073,18.9,73.7,41.8,65.9,8.5,0.0,7.5,100.0,104.7,114.2
0.601,0.558,0.179,0.346,26.3,81.1,58.2,61.0,2.1,6.2,14.3,100.0,114.2,104.7
0.515,0.464,0.289,0.277,29.2,64.3,45.6,38.2,11.4,6.0,16.9,100.0,99.7,117.3
0.576,0.56,0.088,0.176,35.7,70.8,54.4,40.0,14.5,3.4,13.3,100.0,117.3,99.7
0.561,0.487,0.197,0.474,26.8,77.8,53.5,58.8,6.8,6.3,8.9,100.0,116.0,104.7
0.504,0.464,0.241,0.253,22.2,73.2,46.5,61.1,7.9,9.8,9.8,100.0,104.7,116.0
0.358,0.316,0.221,0.168,36.5,71.4,49.0,55.2,8.9,9.4,12.1,100.0,80.9,94.2
0.543,0.508,0.197,0.424,28.6,63.5,51.0,75.0,10.0,16.2,23.5,100.0,94.2,80.9
0.446,0.432,0.27,0.135,23.3,66.7,43.0,50.0,10.0,1.8,14.2,100.0,87.7,111.5
0.555,0.535,0.225,0.296,33.3,76.7,57.0,68.6,8.8,7.4,13.9,100.0,111.5,87.7
0.502,0.482,0.207,0.183,24.4,62.0,44.2,48.6,6.6,4.3,14.5,100.0,97.8,107.6
0.489,0.462,0.242,0.231,38.0,75.6,55.8,78.9,11.0,3.1,11.5,100.0,107.6,97.8
0.401,0.333,0.226,0.258,25.9,75.0,41.9,40.0,15.6,10.4,13.4,100.0,81.0,107.3
0.642,0.625,0.118,0.289,25.0,74.1,58.1,67.4,13.7,15.3,24.0,100.0,107.3,81.0
0.581,0.559,0.158,0.276,22.9,74.4,51.3,77.5,6.7,6.1,15.0,100.0,109.9,92.1
0.445,0.415,0.068,0.136,25.6,77.1,48.7,50.0,10.0,1.6,10.5,100.0,92.1,109.9
0.533,0.507,0.211,0.224,17.6,84.4,50.0,42.9,3.2,0.0,18.5,100.0,95.3,125.3
0.632,0.61,0.195,0.293,15.6,82.4,50.0,63.8,12.8,5.0,7.0,100.0,125.3,95.3
0.482,0.384,0.275,0.565,20.5,79.4,46.2,50.0,7.2,5.1,21.1,100.0,85.8,121.9
0.639,0.575,0.263,0.35,20.6,79.5,53.8,59.5,12.4,2.0,12.3,100.0,121.9,85.8
0.495,0.431,0.113,0.313,29.8,65.3,47.9,48.5,14.8,3.3,9.9,100.0,102.6,98.0
0.465,0.445,0.256,0.293,34.7,70.2,52.1,45.5,5.7,4.2,15.5,100.0,98.0,102.6
0.538,0.5,0.186,0.209,26.8,69.2,47.5,53.7,9.1,10.1,7.8,100.0,114.9,105.8
0.517,0.462,0.127,0.316,30.8,73.2,52.5,60.0,6.8,7.1,12.6,100.0,105.8,114.9
0.626,0.594,0.129,0.247,19.4,73.2,48.1,57.4,9.2,0.0,12.1,100.0,120.3,112.2
0.586,0.559,0.341,0.235,26.8,80.6,51.9,45.2,8.2,6.8,15.3,100.0,112.2,120.3
0.421,0.376,0.129,0.194,27.5,63.8,44.9,35.3,7.6,12.1,8.2,100.0,92.4,111.9
0.536,0.506,0.224,0.294,36.2,72.5,55.1,69.2,4.3,3.7,13.5,100.0,111.9,92.4
0.538,0.519,0.25,0.238,12.2,78.0,45.1,48.6,9.8,9.8,10.2,100.0,103.8,110.4
0.57,0.538,0.218,0.308,22.0,87.8,54.9,62.2,4.4,11.7,12.8,100.0,110.4,103.8
0.416,0.34,0.284,0.321,26.5,82.1,51.1,66.7,7.0,12.0,10.6,100.0,89.8,107.3
0.556,0.532,0.351,0.169,17.9,73.5,48.9,63.9,4.7,6.9,11.7,100.0,107.3,89.8
0.517,0.48,0.275,0.225,28.0,73.7,52.3,55.6,5.3,8.3,15.8,100.0,101.7,95.5
0.477,0.415,0.234,0.489,26.3,72.0,47.7,61.1,8.8,6.8,13.0,100.0,95.5,101.7
0.528,0.468,0.139,0.342,31.0,77.3,54.7,40.5,2.2,7.8,12.5,100.0,106.3,118.5
0.533,0.489,0.135,0.292,22.7,69.0,45.3,48.8,5.5,10.3,3.8,100.0,118.5,106.3
0.587,0.572,0.25,0.276,17.9,51.1,36.0,66.7,12.6,2.9,19.0,100.0,104.7,107.8
0.494,0.429,0.231,0.33,48.9,82.1,64.0,43.2,10.5,7.0,15.4,100.0,107.8,104.7
0.412,0.357,0.247,0.273,25.0,82.0,55.3,40.7,5.6,15.1,14.8,100.0,80.0,104.8
0.5,0.488,0.384,0.186,18.0,75.0,44.7,64.7,10.1,1.7,7.9,100.0,104.8,80.0
0.495,0.45,0.175,0.225,34.1,82.5,57.1,53.1,10.0,1.9,11.1,100.0,108.2,92.0
0.483,0.432,0.212,0.364,17.5,65.9,42.9,61.5,5.0,12.1,13.6,100.0,92.0,108.2
0.5,0.479,0.211,0.168,34.8,69.8,51.7,69.0,8.6,5.8,12.1,100.0,109.3,102.9
0.518,0.5,0.207,0.149,30.2,65.2,48.3,57.5,5.4,12.0,13.1,100.0,102.9,109.3
0.527,0.519,0.182,0.247,23.8,61.5,42.0,50.0,9.8,1.5,17.4,100.0,97.9,105.5
