true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.446,0.428,0.256,0.189,25.0,73.8,47.8,60.0,7.3,18.6,14.1,100.0,90.7,96.0
0.476,0.42,0.322,0.253,26.2,75.0,52.2,69.7,7.3,11.9,11.9,100.0,96.0,90.7
0.499,0.46,0.33,0.159,20.0,81.3,51.6,59.5,9.7,12.2,10.5,100.0,101.2,99.0
0.497,0.453,0.43,0.174,18.8,80.0,48.4,84.4,7.5,22.0,10.6,100.0,99.0,101.2
0.548,0.523,0.345,0.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,100.0,106.4,96.1
0.478,0.424,0.4,0.329,16.3,81.0,46.2,58.1,8.3,15.8,11.0,100.0,96.1,106.4
0.512,0.468,0.456,0.228,7.5,73.8,41.5,62.5,9.3,4.7,16.4,100.0,92.0,112.7
0.572,0.541,0.256,0.244,26.2,92.5,58.5,57.1,11.4,11.6,11.2,100.0,112.7,92.0
0.463,0.429,0.283,0.207,27.5,61.8,41.2,57.1,8.4,4.9,11.5,100.0,97.2,122.3
0.623,0.599,0.291,0.209,38.2,72.5,58.8,71.1,9.4,15.2,16.8,100.0,122.3,97.2
0.547,0.457,0.275,0.348,20.0,59.1,41.8,72.4,6.8,12.3,18.5,100.0,98.0,119.4
0.536,0.517,0.278,0.222,40.9,80.0,58.2,53.7,13.5,6.0,11.6,100.0,119.4,98.0
0.61,0.582,0.315,0.356,24.2,73.7,50.7,63.2,6.6,11.7,14.2,100.0,113.2,105.5
0.541,0.494,0.241,0.278,26.3,75.8,49.3,58.3,3.3,8.0,16.9,100.0,105.5,113.2
0.329,0.286,0.24,0.208,16.7,76.7,40.4,80.8,7.9,11.9,9.5,100.0,68.2,117.6
0.612,0.577,0.298,0.357,23.3,83.3,59.6,74.4,7.9,17.8,12.6,100.0,117.6,68.2
0.56,0.536,0.274,0.262,34.1,85.4,61.8,42.5,6.8,15.0,20.4,100.0,102.0,106.9
0.54,0.511,0.326,0.326,14.6,65.9,38.2,53.7,17.5,11.5,10.5,100.0,106.9,102.0
0.448,0.413,0.306,0.214,27.1,92.9,54.5,63.9,8.2,1.8,7.7,100.0,98.3,104.5
0.56,0.506,0.321,0.284,7.1,72.9,45.5,54.1,4.1,7.4,10.8,100.0,104.5,98.3
0.542,0.511,0.337,0.225,25.0,81.4,52.9,43.9,5.0,9.1,14.1,100.0,105.6,100.6
0.525,0.449,0.165,0.494,18.6,75.0,47.1,64.7,10.0,6.8,13.5,100.0,100.6,105.6
0.543,0.519,0.165,0.215,20.0,68.5,47.9,53.8,6.7,9.2,13.1,100.0,105.4,94.1
0.428,0.382,0.146,0.236,31.5,80.0,52.1,53.1,9.0,4.5,9.2,100.0,94.1,105.4
0.596,0.568,0.272,0.247,20.0,80.0,53.8,66.7,5.2,14.8,15.1,100.0,110.4,103.2
0.526,0.488,0.282,0.271,20.0,80.0,46.3,57.9,7.2,8.5,12.0,100.0,103.2,110.4
0.561,0.567,0.333,0.089,9.1,70.7,38.8,59.1,5.1,0.0,11.4,100.0,107.1,132.6
0.643,0.593,0.253,0.253,29.3,90.9,61.2,55.3,6.1,6.7,8.2,100.0,132.6,107.1
0.546,0.482,0.207,0.317,25.0,72.5,51.6,48.6,8.3,9.5,14.6,100.0,106.4,94.9
0.469,0.424,0.267,0.291,27.5,75.0,48.4,60.6,5.2,4.6,13.4,100.0,94.9,106.4
0.504,0.472,0.261,0.136,27.9,61.2,45.7,55.3,16.1,7.8,13.9,100.0,100.7,87.9
0.439,0.413,0.256,0.198,38.8,72.1,54.3,42.4,8.6,7.7,19.7,100.0,87.9,100.7
0.608,0.547,0.235,0.365,27.5,77.6,55.1,69.8,5.0,11.7,12.4,100.0,121.1,110.0
0.531,0.453,0.302,0.442,22.4,72.5,44.9,50.0,9.1,6.2,8.9,100.0,110.0,121.1
0.492,0.45,0.233,0.244,30.8,72.9,51.0,67.6,10.4,1.7,13.1,100.0,101.6,95.4
0.494,0.471,0.326,0.186,27.1,69.2,49.0,34.2,10.4,13.0,16.2,100.0,95.4,101.6
0.541,0.506,0.2,0.133,21.7,81.8,54.5,57.1,4.9,5.6,15.9,100.0,100.8,92.0
0.465,0.422,0.4,0.278,18.2,78.3,45.5,71.9,11.7,12.5,12.2,100.0,92.0,100.8
0.548,0.5,0.241,0.301,30.8,82.6,58.8,57.5,5.3,13.0,14.5,100.0,108.7,93.9
0.486,0.439,0.27,0.541,17.4,69.2,41.2,58.6,8.4,1.6,12.4,100.0,93.9,108.7
0.49,0.464,0.253,0.157,33.3,82.9,55.8,66.7,9.9,7.4,17.6,100.0,95.7,111.1
0.583,0.539,0.289,0.316,17.1,66.7,44.2,73.0,16.5,16.1,13.1,100.0,111.1,95.7
0.475,0.44,0.286,0.179,18.8,77.5,45.5,48.5,6.4,12.5,11.7,100.0,92.2,102.9
0.494,0.44,0.325,0.386,22.5,81.3,54.5,63.6,5.4,3.3,10.2,100.0,102.9,92.2
0.553,0.534,0.25,0.25,23.3,77.5,49.4,55.8,6.2,6.8,10.1,100.0,110.8,114.9
0.568,0.518,0.306,0.365,22.5,76.7,50.6,71.8,6.2,7.6,10.8,100.0,114.9,110.8
0.574,0.544,0.22,0.209,22.0,64.4,44.2,60.9,11.7,11.1,12.4,100.0,111.1,116.0
0.578,0.54,0.386,0.386,35.6,78.0,55.8,66.7,7.8,1.4,15.6,100.0,116.0,111.1
0.529,0.482,0.325,0.265,31.9,61.8,48.0,57.1,7.4,7.4,17.0,100.0,104.2,106.3
0.482,0.429,0.253,0.319,38.2,68.1,52.0,51.4,10.6,1.8,11.9,100.0,106.3,104.2
0.497,0.457,0.346,0.185,30.0,83.0,58.6,67.6,4.4,14.3,17.0,100.0,94.9,99.2
0.487,0.453,0.267,0.198,17.0,70.0,41.4,68.6,6.5,7.5,9.7,100.0,99.2,94.9
0.536,0.449,0.177,0.494,28.6,75.0,52.3,36.4,14.8,5.1,12.7,100.0,108.6,103.4
0.556,0.524,0.28,0.171,25.0,71.4,47.7,66.7,8.4,15.4,17.7,100.0,103.4,108.6
0.543,0.542,0.286,0.143,17.9,74.3,44.6,62.5,9.2,6.7,16.0,100.0,98.6,120.0
0.637,0.627,0.277,0.265,25.7,82.1,55.4,60.0,14.2,6.7,16.3,100.0,120.0,98.6
0.593,0.604,0.325,0.416,35.1,68.6,54.5,26.8,5.3,10.9,17.3,100.0,115.5,98.4
0.449,0.403,0.273,0.375,31.4,64.9,45.5,27.3,12.8,15.4,8.1,100.0,98.4,115.5
0.551,0.5,0.272,0.247,23.7,90.9,59.8,56.8,5.1,4.7,18.2,100.0,101.0,104.0
0.547,0.529,0.264,0.161,9.1,76.3,40.2,64.3,11.2,5.1,9.7,100.0,104.0,101.0
0.528,0.482,0.155,0.238,20.0,76.1,48.4,55.3,2.2,11.1,8.8,100.0,107.2,113.8
0.524,0.483,0.2,0.233,23.9,80.0,51.6,50.0,3.3,9.9,5.7,100.0,113.8,107.2
0.56,0.528,0.303,0.191,18.2,83.3,52.2,43.2,8.2,11.3,10.2,100.0,110.8,96.4
0.501,0.427,0.354,0.329,16.7,81.8,47.8,53.1,8.2,3.2,12.2,100.0,96.4,110.8
0.519,0.5,0.282,0.2,26.1,73.8,48.9,62.2,6.9,11.5,9.8,100.0,109.9,96.2
0.483,0.424,0.278,0.472,26.2,73.9,51.1,57.1,4.6,9.8,13.0,100.0,96.2,109.9
0.552,0.513,0.184,0.329,17.1,77.8,48.8,37.8,6.3,8.2,15.5,100.0,100.2,87.7
0.444,0.376,0.141,0.259,22.2,82.9,51.2,53.3,7.3,9.7,14.5,100.0,87.7,100.2
0.557,0.526,0.26,0.273,17.5,67.4,43.4,54.1,4.6,8.8,8.5,100.0,110.4,132.2
0.6,0.592,0.345,0.23,32.6,82.5,56.6,65.9,3.4,5.3,7.7,100.0,132.2,110.4
0.499,0.455,0.284,0.261,20.8,70.0,45.9,63.9,9.3,11.9,19.7,100.0,90.8,109.4
0.551,0.515,0.309,0.237,30.0,79.2,54.1,54.5,16.7,7.9,13.7,100.0,109.4,90.8
0.544,0.468,0.295,0.513,13.5,71.4,46.5,42.4,8.9,8.1,13.6,100.0,102.8,96.9
0.481,0.446,0.204,0.215,28.6,86.5,53.5,52.5,5.9,10.9,12.8,100.0,96.9,102.8
0.596,0.582,0.291,0.19,17.1,73.8,45.8,56.1,9.4,6.5,15.7,100.0,106.4,112.6
0.579,0.568,0.295,0.136,26.2,82.9,54.2,64.4,9.4,0.0,15.4,100.0,112.6,106.4
0.511,0.467,0.261,0.239,20.0,72.3,45.4,59.0,12.1,8.9,15.7,100.0,96.9,110.8
0.59,0.586,0.398,0.194,27.7,80.0,54.6,87.0,9.3,8.8,16.5,100.0,110.8,96.9
0.502,0.481,0.247,0.16,17.1,78.6,48.2,58.3,5.5,9.2,11.3,100.0,96.4,99.7
0.497,0.481,0.188,0.3,21.4,82.9,51.8,58.3,4.4,8.2,11.7,100.0,99.7,96.4
0.655,0.591,0.273,0.455,18.8,85.4,56.2,73.2,10.1,11.1,14.0,100.0,122.3,116.3
0.608,0.56,0.357,0.286,14.6,81.3,43.8,71.4,9.1,12.5,11.3,100.0,116.3,122.3
0.528,0.451,0.173,0.358,31.0,66.7,48.8,60.0,6.7,8.8,11.3,100.0,110.3,102.5
0.493,0.432,0.296,0.346,33.3,69.0,51.2,60.6,3.3,7.5,13.8,100.0,102.5,110.3
0.44,0.378,0.267,0.337,30.6,82.9,52.4,43.3,5.6,9.6,8.4,100.0,97.8,103.4
0.531,0.487,0.325,0.286,17.1,69.4,47.6,66.7,4.5,6.3,12.2,100.0,103.4,97.8
0.557,0.554,0.297,0.486,14.6,78.8,50.5,40.5,8.1,4.8,14.3,100.0,100.8,92.8
0.471,0.457,0.326,0.141,21.2,85.4,49.5,37.8,8.1,5.8,14.1,100.0,92.8,100.8
0.618,0.579,0.439,0.329,32.6,71.4,53.3,57.5,7.9,6.2,18.3,100.0,114.5,108.6
0.52,0.478,0.301,0.312,28.6,67.4,46.7,65.0,13.8,6.5,12.4,100.0,108.6,114.5
0.579,0.538,0.308,0.218,21.6,76.7,51.3,71.1,11.0,5.1,21.9,100.0,99.3,114.4
