team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,2018-02-26,240,39,86,12,37,19,27,9,35,25,5,5,8,23
CHICAGO BULLS,2018-02-26,240,33,93,6,23,15,23,15,41,17,8,7,13,11
BROOKLYN NETS,2018-02-26,240,40,90,16,42,8,8,7,41,31,4,9,15,20
INDIANA PACERS,2018-02-26,240,41,87,5,20,16,23,9,41,22,6,4,12,19
DALLAS MAVERICKS,2018-02-26,240,40,88,14,37,15,18,7,37,20,9,3,10,21
PHOENIX SUNS,2018-02-26,240,42,97,7,24,25,32,14,37,23,9,5,14,33
NEW ORLEANS PELICANS,2018-02-26,240,43,91,8,28,31,40,9,37,30,7,8,14,22
GOLDEN STATE WARRIORS,2018-02-26,240,44,85,15,31,22,26,8,35,31,8,5,12,13
NEW YORK KNICKS,2018-02-26,240,47,96,10,25,7,9,10,29,28,7,3,14,18
ORLANDO MAGIC,2018-02-26,240,39,84,12,29,15,21,8,27,23,15,6,16,19
OKLAHOMA CITY THUNDER,2018-02-26,240,42,88,11,25,17,20,14,36,24,6,6,20,13
MINNESOTA TIMBERWOLVES,2018-02-26,240,39,76,7,16,33,36,8,35,22,11,4,12,14
SACRAMENTO KINGS,2018-02-26,240,40,84,8,22,12,13,8,23,22,5,3,14,23
DETROIT PISTONS,2018-02-26,240,36,94,7,22,15,20,13,29,20,11,3,13,22
TORONTO RAPTORS,2018-02-26,240,42,80,17,38,22,23,6,41,31,10,7,18,18
HOUSTON ROCKETS,2018-02-26,240,34,79,9,33,19,25,9,31,15,15,2,15,21
UTAH JAZZ,2018-02-26,240,31,71,7,29,16,22,7,32,21,6,4,22,19
CHICAGO BULLS,2018-02-27,240,39,81,9,24,16,21,11,33,26,8,5,20,23
CHARLOTTE HORNETS,2018-02-27,240,44,82,15,35,15,21,6,29,28,11,8,14,14
BROOKLYN NETS,2018-02-27,240,44,82,12,32,23,30,3,33,29,6,0,12,21
CLEVELAND CAVALIERS,2018-02-27,240,50,97,12,24,17,27,14,41,24,7,1,11,24
LOS ANGELES CLIPPERS,2018-02-27,240,46,89,7,26,23,31,13,30,26,12,7,18,25
DENVER NUGGETS,2018-02-27,240,43,87,10,31,24,30,11,30,27,11,7,20,27
PHILADELPHIA 76ERS,2018-02-27,240,35,84,12,31,19,23,10,34,25,10,3,23,24
MIAMI HEAT,2018-02-27,240,36,82,9,27,21,28,11,26,19,12,9,15,19
WASHINGTON WIZARDS,2018-02-27,240,42,88,7,20,16,22,9,31,30,9,6,11,22
MILWAUKEE BUCKS,2018-02-27,240,35,77,10,26,24,28,8,32,20,10,9,16,20
SACRAMENTO KINGS,2018-02-27,240,39,88,7,22,14,15,6,30,20,14,4,12,12
PORTLAND TRAIL BLAZERS,2018-02-27,240,44,84,15,34,13,17,10,37,27,10,2,17,15
INDIANA PACERS,2018-02-28,240,38,90,11,32,15,20,11,32,21,13,5,24,20
ATLANTA HAWKS,2018-02-28,240,38,87,9,29,22,27,15,34,21,13,11,21,23
CHARLOTTE HORNETS,2018-02-28,240,42,91,9,27,13,22,9,24,24,6,6,7,17
BOSTON CELTICS,2018-02-28,240,54,87,12,20,14,15,4,43,31,3,4,10,20
OKLAHOMA CITY THUNDER,2018-02-28,265,42,93,10,36,17,19,19,37,19,7,2,22,24
DALLAS MAVERICKS,2018-02-28,265,44,91,13,36,9,15,8,28,30,11,1,16,22
MILWAUKEE BUCKS,2018-02-28,240,28,73,8,24,23,28,6,29,16,7,3,13,20
DETROIT PISTONS,2018-02-28,240,42,95,9,29,17,22,22,35,26,9,0,9,20
HOUSTON ROCKETS,2018-02-28,240,36,85,13,43,20,24,10,31,21,11,5,10,21
LOS ANGELES CLIPPERS,2018-02-28,240,36,79,7,23,13,19,4,35,17,6,2,16,19
PHOENIX SUNS,2018-02-28,240,38,83,6,21,28,38,8,39,19,12,6,16,28
MEMPHIS GRIZZLIES,2018-02-28,240,33,87,13,31,23,28,11,37,23,8,8,20,29
TORONTO RAPTORS,2018-02-28,240,45,83,12,30,15,24,7,35,33,9,7,12,22
ORLANDO MAGIC,2018-02-28,240,39,82,13,30,13,23,8,34,27,8,2,13,19
NEW ORLEANS PELICANS,2018-02-28,240,50,99,9,26,12,15,12,31,26,7,3,12,17
SAN ANTONIO SPURS,2018-02-28,240,48,99,9,26,11,14,13,34,23,7,9,11,15
GOLDEN STATE WARRIORS,2018-02-28,240,37,72,10,24,25,30,3,33,24,10,8,14,21
WASHINGTON WIZARDS,2018-02-28,240,36,90,11,32,18,21,18,33,25,6,4,16,24
PHILADELPHIA 76ERS,2018-03-01,240,40,90,10,30,18,27,14,40,22,4,5,9,20
CLEVELAND CAVALIERS,2018-03-01,240,36,87,9,32,16,23,10,35,23,4,6,9,21
LOS ANGELES LAKERS,2018-03-01,240,47,79,16,29,21,26,6,30,29,9,5,13,17
MIAMI HEAT,2018-03-01,240,46,95,9,31,12,16,14,26,23,6,5,11,21
MINNESOTA TIMBERWOLVES,2018-03-01,240,38,85,4,20,19,21,9,40,16,5,7,15,24
PORTLAND TRAIL BLAZERS,2018-03-01,240,36,92,9,30,27,35,12,36,17,9,6,8,18
BROOKLYN NETS,2018-03-01,265,40,96,17,46,14,17,16,35,27,10,4,21,14
SACRAMENTO KINGS,2018-03-01,265,50,97,6,14,10,12,11,33,23,15,6,15,13
GOLDEN STATE WARRIORS,2018-03-02,240,42,79,11,31,19,22,2,33,33,12,5,18,20
ATLANTA HAWKS,2018-03-02,240,38,86,15,35,18,20,3,32,21,10,2,19,21
DALLAS MAVERICKS,2018-03-02,240,35,84,13,29,17,21,13,33,21,6,4,17,15
CHICAGO BULLS,2018-03-02,240,42,89,10,27,14,20,11,34,24,10,2,13,18
NEW YORK KNICKS,2018-03-02,240,41,89,11,25,12,16,10,23,24,4,4,17,22
LOS ANGELES CLIPPERS,2018-03-02,240,50,89,9,25,19,24,14,37,34,14,6,11,17
DENVER NUGGETS,2018-03-02,240,40,73,6,22,22,26,6,31,18,17,3,22,22
MEMPHIS GRIZZLIES,2018-03-02,240,40,91,10,27,12,15,17,23,26,14,3,20,23
INDIANA PACERS,2018-03-02,240,37,83,6,16,23,30,13,35,19,12,4,14,23
MILWAUKEE BUCKS,2018-03-02,240,31,81,9,25,25,32,14,29,15,9,13,15,24
DETROIT PISTONS,2018-03-02,265,40,92,12,29,14,24,13,30,22,10,1,14,17
ORLANDO MAGIC,2018-03-02,265,44,86,13,36,14,19,7,38,34,8,3,16,23
CHARLOTTE HORNETS,2018-03-02,240,34,81,11,24,20,32,7,32,21,7,0,10,25
PHILADELPHIA 76ERS,2018-03-02,240,41,81,9,24,19,25,7,39,27,4,5,11,22
OKLAHOMA CITY THUNDER,2018-03-02,240,46,96,11,34,21,29,16,32,22,5,11,11,20
PHOENIX SUNS,2018-03-02,240,46,96,11,25,13,18,13,31,26,5,12,13,25
MINNESOTA TIMBERWOLVES,2018-03-02,240,38,74,9,17,23,31,2,25,14,9,0,12,23
UTAH JAZZ,2018-03-02,240,40,78,9,29,27,35,11,34,21,7,5,18,21
TORONTO RAPTORS,2018-03-02,240,36,78,10,33,20,32,8,26,19,9,5,7,22
WASHINGTON WIZARDS,2018-03-02,240,36,79,9,24,14,21,15,32,24,2,5,17,25
DENVER NUGGETS,2018-03-03,240,47,86,19,35,13,15,6,29,35,4,3,9,19
CLEVELAND CAVALIERS,2018-03-03,240,46,88,9,24,16,21,12,29,25,5,2,9,16
BOSTON CELTICS,2018-03-03,240,44,91,13,24,19,21,10,28,22,6,3,13,21
HOUSTON ROCKETS,2018-03-03,240,39,87,19,49,26,30,10,30,24,11,5,10,21
DETROIT PISTONS,2018-03-03,240,37,89,7,24,15,21,17,29,18,8,2,18,23
MIAMI HEAT,2018-03-03,240,37,82,12,29,19,28,15,30,19,11,5,13,20
MEMPHIS GRIZZLIES,2018-03-03,240,38,93,6,22,18,26,13,33,24,9,3,9,26
ORLANDO MAGIC,2018-03-03,240,36,72,8,25,27,33,5,39,19,4,9,14,23
OKLAHOMA CITY THUNDER,2018-03-03,240,40,91,6,27,14,21,9,31,18,6,6,12,21
