team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,2017-10-24,240,42,86,9,24,14,22,9,18,27,9,4,14,14
BROOKLYN NETS,2017-10-24,240,40,96,11,35,30,34,14,35,21,8,4,15,27
ORLANDO MAGIC,2017-10-24,240,41,83,8,23,35,40,6,38,20,8,5,11,23
NEW ORLEANS PELICANS,2017-10-24,240,30,76,9,30,24,32,4,38,17,5,7,17,26
PORTLAND TRAIL BLAZERS,2017-10-24,240,33,88,10,29,27,33,18,45,17,7,7,18,22
CLEVELAND CAVALIERS,2017-10-25,240,39,81,12,35,17,26,9,38,21,5,7,21,17
BROOKLYN NETS,2017-10-25,240,40,93,17,46,15,21,10,28,22,11,3,12,22
DENVER NUGGETS,2017-10-25,240,38,100,8,31,9,15,18,33,18,6,1,13,23
CHARLOTTE HORNETS,2017-10-25,240,38,81,13,31,21,26,10,40,17,5,5,14,16
MEMPHIS GRIZZLIES,2017-10-25,240,33,72,12,31,16,24,6,30,14,7,2,17,22
DALLAS MAVERICKS,2017-10-25,240,36,74,11,26,20,29,4,31,20,6,4,11,20
MINNESOTA TIMBERWOLVES,2017-10-25,240,37,85,9,25,18,21,7,30,19,5,4,14,19
DETROIT PISTONS,2017-10-25,240,48,92,15,34,11,17,12,35,32,7,3,14,22
TORONTO RAPTORS,2017-10-25,240,43,94,8,34,18,19,17,25,30,10,6,16,16
GOLDEN STATE WARRIORS,2017-10-25,240,43,77,12,26,19,22,6,31,32,10,7,17,15
WASHINGTON WIZARDS,2017-10-25,265,39,95,6,26,15,23,7,38,20,11,5,13,19
LOS ANGELES LAKERS,2017-10-25,265,41,92,7,30,13,16,6,47,27,9,5,21,26
SAN ANTONIO SPURS,2017-10-25,240,42,76,10,17,23,30,8,36,18,6,3,13,20
MIAMI HEAT,2017-10-25,240,37,80,9,26,17,18,4,28,19,6,2,9,25
INDIANA PACERS,2017-10-25,240,28,83,10,29,30,35,14,27,13,13,2,19,23
OKLAHOMA CITY THUNDER,2017-10-25,240,43,89,10,27,18,26,16,33,26,8,8,21,27
HOUSTON ROCKETS,2017-10-25,240,36,75,12,39,21,24,7,33,22,11,13,19,13
PHILADELPHIA 76ERS,2017-10-25,240,43,97,12,36,6,10,12,31,29,14,7,14,19
UTAH JAZZ,2017-10-25,240,32,77,6,25,18,25,7,37,20,8,10,23,19
PHOENIX SUNS,2017-10-25,240,42,96,6,19,7,9,16,39,18,8,5,16,25
ATLANTA HAWKS,2017-10-26,240,32,81,11,28,11,13,7,33,22,10,5,10,23
CHICAGO BULLS,2017-10-26,240,31,86,7,32,22,29,18,44,20,5,4,13,15
DALLAS MAVERICKS,2017-10-26,240,32,94,10,34,17,20,18,35,20,10,3,14,22
MEMPHIS GRIZZLIES,2017-10-26,240,30,73,10,34,26,30,9,37,18,7,6,18,23
BOSTON CELTICS,2017-10-26,240,33,78,11,30,19,22,6,39,21,7,4,15,14
MILWAUKEE BUCKS,2017-10-26,240,35,77,11,25,8,14,2,35,22,6,3,16,20
LOS ANGELES CLIPPERS,2017-10-26,240,36,77,9,28,23,36,14,32,11,4,5,11,19
PORTLAND TRAIL BLAZERS,2017-10-26,240,35,89,14,31,19,22,16,28,19,5,4,9,26
NEW ORLEANS PELICANS,2017-10-26,240,42,86,13,32,17,23,10,37,22,5,3,15,24
SACRAMENTO KINGS,2017-10-26,240,38,81,7,20,23,25,5,29,25,7,5,12,17
DENVER NUGGETS,2017-10-27,240,42,91,4,20,17,23,11,35,25,8,4,11,12
ATLANTA HAWKS,2017-10-27,240,37,89,14,33,12,12,11,32,23,7,4,12,21
HOUSTON ROCKETS,2017-10-27,240,38,85,22,57,11,13,7,44,21,5,6,15,26
CHARLOTTE HORNETS,2017-10-27,240,33,88,11,29,16,28,11,33,16,6,5,9,14
WASHINGTON WIZARDS,2017-10-27,240,43,97,15,33,16,22,12,29,30,7,6,14,21
GOLDEN STATE WARRIORS,2017-10-27,240,46,95,10,38,18,20,15,38,33,7,13,17,20
TORONTO RAPTORS,2017-10-27,240,40,93,7,29,14,20,9,31,27,12,4,12,24
LOS ANGELES LAKERS,2017-10-27,240,36,79,3,23,17,24,9,40,20,7,6,21,22
OKLAHOMA CITY THUNDER,2017-10-27,240,43,86,8,28,22,25,11,24,19,8,9,14,29
MINNESOTA TIMBERWOLVES,2017-10-27,240,42,86,8,22,27,35,17,27,23,5,7,15,21
BROOKLYN NETS,2017-10-27,240,30,75,11,30,15,21,5,30,18,5,1,16,20
NEW YORK KNICKS,2017-10-27,240,44,98,9,27,10,17,19,36,19,7,6,11,19
SAN ANTONIO SPURS,2017-10-27,240,30,89,4,24,23,27,17,32,19,8,8,17,15
ORLANDO MAGIC,2017-10-27,240,48,84,11,23,7,14,6,39,22,9,7,17,24
OKLAHOMA CITY THUNDER,2017-10-28,240,39,88,13,34,10,14,11,41,28,16,8,11,17
CHICAGO BULLS,2017-10-28,240,22,78,10,37,15,20,12,35,16,9,5,19,16
PHILADELPHIA 76ERS,2017-10-28,240,43,87,16,35,10,14,11,31,25,10,1,13,21
DALLAS MAVERICKS,2017-10-28,240,38,74,19,40,15,19,3,30,22,7,2,17,15
DETROIT PISTONS,2017-10-28,240,36,88,9,28,14,21,12,38,16,11,6,12,20
LOS ANGELES CLIPPERS,2017-10-28,240,28,84,15,38,16,22,15,36,19,6,6,18,18
HOUSTON ROCKETS,2017-10-28,240,29,77,14,38,17,21,8,35,18,4,3,17,23
MEMPHIS GRIZZLIES,2017-10-28,240,40,85,14,33,9,12,6,36,26,10,6,9,20
BOSTON CELTICS,2017-10-28,240,34,81,6,23,22,26,11,30,15,11,5,12,14
MIAMI HEAT,2017-10-28,240,34,79,7,31,15,16,6,34,17,6,9,19,23
CLEVELAND CAVALIERS,2017-10-28,240,36,78,12,32,17,23,5,32,19,8,2,18,19
NEW ORLEANS PELICANS,2017-10-28,240,49,95,13,33,12,16,10,37,33,10,4,11,20
PHOENIX SUNS,2017-10-28,240,37,87,9,26,24,30,12,34,21,12,7,17,23
PORTLAND TRAIL BLAZERS,2017-10-28,240,40,91,11,26,23,28,12,41,27,8,7,14,26
LOS ANGELES LAKERS,2017-10-28,240,31,81,5,22,14,20,14,25,17,12,4,16,20
UTAH JAZZ,2017-10-28,240,37,79,13,31,9,13,14,35,18,9,5,21,20
MILWAUKEE BUCKS,2017-10-29,240,44,81,13,26,16,21,5,38,30,9,3,14,27
ATLANTA HAWKS,2017-10-29,240,36,77,13,29,21,26,3,28,27,9,2,16,21
DENVER NUGGETS,2017-10-29,240,47,94,11,20,19,22,4,42,23,7,7,6,22
BROOKLYN NETS,2017-10-29,240,39,96,12,31,21,31,17,39,24,5,4,15,18
ORLANDO MAGIC,2017-10-29,240,41,97,11,33,20,26,9,30,28,11,4,11,20
CHARLOTTE HORNETS,2017-10-29,240,53,97,6,18,8,17,12,47,31,6,7,17,24
NEW YORK KNICKS,2017-10-29,240,42,89,13,28,17,21,11,40,27,9,6,14,26
CLEVELAND CAVALIERS,2017-10-29,240,31,81,10,33,23,27,7,34,20,5,5,15,23
DETROIT PISTONS,2017-10-29,240,43,93,12,27,17,17,17,20,22,16,0,13,9
GOLDEN STATE WARRIORS,2017-10-29,240,44,77,10,27,9,12,10,30,29,3,11,25,14
SAN ANTONIO SPURS,2017-10-29,240,36,90,9,28,13,18,12,32,19,12,8,15,11
INDIANA PACERS,2017-10-29,240,36,77,10,22,15,20,6,38,21,9,3,19,20
WASHINGTON WIZARDS,2017-10-29,240,40,85,17,34,13,20,13,36,28,9,3,15,18
SACRAMENTO KINGS,2017-10-29,240,32,82,6,22,13,16,11,32,13,8,2,17,20
SAN ANTONIO SPURS,2017-10-30,240,36,87,12,26,10,20,12,28,24,8,4,11,14
BOSTON CELTICS,2017-10-30,240,42,88,11,31,13,16,15,39,24,10,6,13,22
PHILADELPHIA 76ERS,2017-10-30,240,44,80,10,24,17,24,7,41,27,10,4,19,31
HOUSTON ROCKETS,2017-10-30,240,33,83,13,47,28,38,10,25,17,12,3,15,23
GOLDEN STATE WARRIORS,2017-10-30,240,52,89,14,29,23,30,14,32,37,8,8,12,23
LOS ANGELES CLIPPERS,2017-10-30,240,39,86,10,25,25,30,9,26,21,4,3,12,20
CHARLOTTE HORNETS,2017-10-30,240,37,89,7,17,23,29,10,46,15,3,7,11,22
MEMPHIS GRIZZLIES,2017-10-30,240,32,93,8,35,27,33,11,37,17,7,8,7,22
MINNESOTA TIMBERWOLVES,2017-10-30,265,41,91,11,23,32,35,10,30,20,16,4,16,25
MIAMI HEAT,2017-10-30,265,49,93,7,27,17,25,15,35,17,8,5,24,28
ORLANDO MAGIC,2017-10-30,240,43,85,16,34,13,18,6,37,27,10,1,16,19
NEW ORLEANS PELICANS,2017-10-30,240,39,85,7,28,14,18,9,34,30,9,5,19,22
DENVER NUGGETS,2017-10-30,240,35,85,18,41,22,31,13,23,20,13,5,13,22
NEW YORK KNICKS,2017-10-30,240,41,82,13,32,21,23,11,38,27,8,10,22,27
TORONTO RAPTORS,2017-10-30,240,39,87,8,24,13,17,8,39,17,10,9,9,14
PORTLAND TRAIL BLAZERS,2017-10-30,240,31,80,8,26,15,19,6,32,13,5,7,13,15
DALLAS MAVERICKS,2017-10-30,240,34,76,12,24,9,11,9,33,17,4,3,24,16
UTAH JAZZ,2017-10-30,240,38,81,16,35,12,15,6,29,25,16,8,14,17
PHOENIX SUNS,2017-10-31,240,45,96,10,22,22,24,10,56,18,5,5,18,26
BROOKLYN NETS,2017-10-31,240,42,102,9,31,21,30,7,37,15,9,4,7,22
SACRAMENTO KINGS,2017-10-31,240,37,88,2,14,7,14,9,36,15,8,5,14,18
INDIANA PACERS,2017-10-31,240,36,85,12,29,17,22,14,39,25,8,7,14,17
DETROIT PISTONS,2017-10-31,240,41,94,10,33,1,3,10,34,21,7,3,12,11
LOS ANGELES LAKERS,2017-10-31,240,45,91,12,26,11,14,11,42,30,9,5,14,14
OKLAHOMA CITY THUNDER,2017-10-31,240,40,81,12,28,18,21,9,37,24,6,3,15,20
MILWAUKEE BUCKS,2017-10-31,240,32,77,9,31,18,22,4,27,24,8,4,14,22
SACRAMENTO KINGS,2017-11-01,240,35,81,6,20,10,12,7,19,24,10,5,15,18
BOSTON CELTICS,2017-11-01,240,40,82,17,41,16,19,16,36,30,10,3,16,19
MILWAUKEE BUCKS,2017-11-01,240,45,91,19,36,12,15,9,31,29,3,3,14,25
CHARLOTTE HORNETS,2017-11-01,240,45,84,14,25,22,29,7,34,21,5,3,11,18
INDIANA PACERS,2017-11-01,240,49,90,16,26,10,13,8,35,35,9,1,11,23
CLEVELAND CAVALIERS,2017-11-01,240,43,86,7,31,14,20,8,33,25,6,3,16,19
TORONTO RAPTORS,2017-11-01,240,42,85,11,31,16,25,9,29,20,7,4,13,25
DENVER NUGGETS,2017-11-01,240,47,88,16,32,19,29,9,34,35,9,4,12,20
DALLAS MAVERICKS,2017-11-01,240,35,89,12,36,16,20,9,29,20,8,5,14,22
LOS ANGELES CLIPPERS,2017-11-01,240,41,78,13,28,24,29,7,42,27,9,5,16,20
ORLANDO MAGIC,2017-11-01,240,38,75,13,29,12,14,6,32,25,6,8,24,22
MEMPHIS GRIZZLIES,2017-11-01,240,39,82,10,30,11,16,5,26,21,12,3,13,16
CHICAGO BULLS,2017-11-01,240,36,89,7,28,12,19,7,47,20,7,6,12,19
MIAMI HEAT,2017-11-01,240,34,83,12,31,17,19,3,45,21,8,0,11,19
MINNESOTA TIMBERWOLVES,2017-11-01,240,41,83,6,22,16,24,11,36,20,13,3,21,21
NEW ORLEANS PELICANS,2017-11-01,240,36,84,8,31,18,21,9,29,27,13,4,19,24
HOUSTON ROCKETS,2017-11-01,240,42,88,19,52,16,21,9,37,21,6,4,14,20
NEW YORK KNICKS,2017-11-01,240,39,90,8,26,11,13,6,36,23,8,1,19,18
ATLANTA HAWKS,2017-11-01,240,41,94,8,23,19,27,12,37,22,11,4,18,28
PHILADELPHIA 76ERS,2017-11-01,240,46,99,13,35,14,25,15,38,36,10,4,16,26
PORTLAND TRAIL BLAZERS,2017-11-01,265,37,93,9,34,20,27,11,42,17,8,8,17,25
UTAH JAZZ,2017-11-01,265,34,90,13,29,31,36,10,45,16,9,8,14,21
PHOENIX SUNS,2017-11-01,240,41,83,9,24,31,38,11,34,23,5,5,9,24
WASHINGTON WIZARDS,2017-11-01,240,41,92,10,30,24,30,15,30,20,5,4,12,28
LOS ANGELES LAKERS,2017-11-02,240,43,79,4,18,20,27,2,30,16,8,8,11,20
PORTLAND TRAIL BLAZERS,2017-11-02,240,40,86,9,22,24,27,10,31,22,7,4,12,21
GOLDEN STATE WARRIORS,2017-11-02,240,43,83,14,28,12,16,5,36,30,11,12,14,20
SAN ANTONIO SPURS,2017-11-02,240,34,87,7,24,17,23,14,32,19,6,8,16,10
HOUSTON ROCKETS,2017-11-03,240,42,89,16,47,19,23,9,35,28,14,4,12,16
ATLANTA HAWKS,2017-11-03,240,39,81,11,33,15,18,5,36,16,8,8,18,16
NEW ORLEANS PELICANS,2017-11-03,240,36,89,7,29,20,26,9,44,23,9,4,12,22
DALLAS MAVERICKS,2017-11-03,240,34,88,9,34,17,22,9,38,19,4,7,15,24
MIAMI HEAT,2017-11-03,240,36,77,15,37,7,11,8,33,23,9,6,23,24
DENVER NUGGETS,2017-11-03,240,36,80,9,23,14,25,13,28,17,9,6,17,16
MILWAUKEE BUCKS,2017-11-03,240,39,83,10,25,8,9,7,29,27,6,6,13,24
DETROIT PISTONS,2017-11-03,240,37,78,8,26,23,28,7,32,21,10,4,12,11
BROOKLYN NETS,2017-11-03,240,37,91,9,38,29,38,8,35,23,8,5,16,22
LOS ANGELES LAKERS,2017-11-03,240,48,94,9,21,19,27,7,50,26,10,7,16,29
PHOENIX SUNS,2017-11-03,240,34,97,9,32,30,37,20,27,17,7,3,10,25
NEW YORK KNICKS,2017-11-03,240,45,87,8,26,22,25,9,40,24,5,7,12,24
BOSTON CELTICS,2017-11-03,240,36,84,13,28,16,24,11,38,23,6,2,10,14
OKLAHOMA CITY THUNDER,2017-11-03,240,35,87,13,35,11,14,11,37,20,4,7,12,18
CHICAGO BULLS,2017-11-03,240,40,85,14,29,11,12,9,39,23,6,2,14,13
ORLANDO MAGIC,2017-11-03,240,35,86,10,35,3,5,7,31,23,6,2,16,11
INDIANA PACERS,2017-11-03,240,45,97,8,28,12,19,8,32,25,6,6,11,18
PHILADELPHIA 76ERS,2017-11-03,240,46,92,18,36,11,14,12,38,34,7,9,18,20
CHARLOTTE HORNETS,2017-11-03,240,33,80,8,24,27,42,11,35,16,11,1,12,20
SAN ANTONIO SPURS,2017-11-03,240,39,83,9,27,21,26,7,38,31,7,6,15,26
TORONTO RAPTORS,2017-11-03,240,38,71,11,30,22,28,5,34,20,9,4,16,27
UTAH JAZZ,2017-11-03,240,35,80,8,23,22,24,10,23,11,9,5,13,25
CLEVELAND CAVALIERS,2017-11-03,240,46,82,12,27,26,28,8,26,20,11,4,14,27
WASHINGTON WIZARDS,2017-11-03,240,45,84,11,28,21,31,9,28,25,5,2,16,24
NEW ORLEANS PELICANS,2017-11-04,265,35,87,9,31,17,22,5,47,23,9,4,13,9
CHICAGO BULLS,2017-11-04,265,35,99,11,42,9,12,16,42,23,10,5,17,19
GOLDEN STATE WARRIORS,2017-11-04,240,50,91,18,40,9,17,7,34,38,13,4,13,23
DENVER NUGGETS,2017-11-04,240,40,87,6,24,22,27,9,37,26,9,6,17,18
SACRAMENTO KINGS,2017-11-04,240,40,76,10,21,9,13,3,29,24,6,1,17,23
DETROIT PISTONS,2017-11-04,240,40,79,13,24,15,22,8,27,28,10,3,14,19
MEMPHIS GRIZZLIES,2017-11-04,240,40,84,13,31,20,24,9,30,21,8,7,11,28
LOS ANGELES CLIPPERS,2017-11-04,240,38,83,4,26,24,31,15,28,18,7,7,13,22
DALLAS MAVERICKS,2017-11-04,240,40,87,10,27,9,12,7,24,18,7,2,15,19
MINNESOTA TIMBERWOLVES,2017-11-04,240,43,79,10,24,16,20,10,38,33,7,9,18,20
ATLANTA HAWKS,2017-11-05,240,41,86,11,25,24,34,11,33,24,4,6,17,20
CLEVELAND CAVALIERS,2017-11-05,240,42,96,10,36,21,23,15,32,27,6,6,13,29
UTAH JAZZ,2017-11-05,240,38,88,13,34,21,24,8,25,22,7,3,13,18
HOUSTON ROCKETS,2017-11-05,240,48,81,23,39,18,21,5,37,26,9,7,20,24
MIAMI HEAT,2017-11-05,240,37,84,14,36,16,19,10,27,23,12,6,16,26
LOS ANGELES CLIPPERS,2017-11-05,240,34,87,9,31,24,30,18,32,16,11,4,15,22
MEMPHIS GRIZZLIES,2017-11-05,240,40,87,11,37,11,14,6,33,23,6,7,12,22
LOS ANGELES LAKERS,2017-11-05,240,40,85,9,27,18,23,8,38,25,5,4,16,16
CHARLOTTE HORNETS,2017-11-05,240,37,89,9,28,11,21,10,30,24,8,3,11,24
MINNESOTA TIMBERWOLVES,2017-11-05,240,38,83,10,24,26,30,12,42,20,4,4,16,19
INDIANA PACERS,2017-11-05,240,37,79,12,25,15,17,4,30,24,6,2,12,17
NEW YORK KNICKS,2017-11-05,240,44,88,6,23,14,19,12,34,24,8,7,12,21
BOSTON CELTICS,2017-11-05,240,39,89,11,33,15,20,9,45,26,10,1,13,21
ORLANDO MAGIC,2017-11-05,240,33,91,6,29,16,18,10,35,18,4,4,13,19
OKLAHOMA CITY THUNDER,2017-11-05,240,40,89,11,33,8,15,6,26,17,11,2,11,27
PORTLAND TRAIL BLAZERS,2017-11-05,240,37,74,7,20,22,28,7,37,20,6,7,21,20
PHOENIX SUNS,2017-11-05,240,37,81,8,23,13,22,11,34,23,5,4,18,16
SAN ANTONIO SPURS,2017-11-05,240,44,88,11,22,13,18,8,35,21,9,4,9,19
WASHINGTON WIZARDS,2017-11-05,240,40,85,11,23,16,23,11,35,19,9,3,17,26
TORONTO RAPTORS,2017-11-05,240,37,80,5,24,17,27,9,27,17,7,8,13,24
BOSTON CELTICS,2017-11-06,240,39,81,14,36,18,22,7,35,28,3,3,13,21
ATLANTA HAWKS,2017-11-06,240,39,81,13,26,16,20,5,31,24,8,4,14,22
MIAMI HEAT,2017-11-06,240,30,83,8,26,12,17,7,37,19,10,6,20,20
GOLDEN STATE WARRIORS,2017-11-06,240,32,87,11,32,22,24,13,38,20,12,10,14,21
BROOKLYN NETS,2017-11-06,240,35,87,8,32,20,29,11,37,20,10,4,16,30
PHOENIX SUNS,2017-11-06,240,30,86,6,25,26,35,14,38,13,8,7,17,29
MILWAUKEE BUCKS,2017-11-07,240,47,83,13,30,12,16,8,28,29,6,8,16,31
CLEVELAND CAVALIERS,2017-11-07,240,41,82,9,18,33,38,12,27,18,7,4,12,16
BROOKLYN NETS,2017-11-07,240,38,89,11,35,17,22,8,39,22,12,6,25,16
DENVER NUGGETS,2017-11-07,240,44,93,9,34,15,20,9,38,26,16,9,19,21
NEW ORLEANS PELICANS,2017-11-07,240,44,87,14,35,15,22,11,32,23,6,5,12,18
INDIANA PACERS,2017-11-07,240,44,93,9,24,15,18,11,30,19,4,4,10,21
CHARLOTTE HORNETS,2017-11-07,240,42,91,15,37,14,17,17,23,24,8,2,13,22
NEW YORK KNICKS,2017-11-07,240,45,75,12,25,16,21,6,29,29,5,5,16,19
MEMPHIS GRIZZLIES,2017-11-07,240,35,73,7,19,21,25,5,29,18,8,10,14,21
PORTLAND TRAIL BLAZERS,2017-11-07,240,36,81,6,19,19,20,10,32,11,9,1,16,18
OKLAHOMA CITY THUNDER,2017-11-07,240,29,86,10,37,18,23,9,35,15,16,2,14,17
SACRAMENTO KINGS,2017-11-07,240,37,79,9,24,11,12,5,42,21,6,5,23,24
LOS ANGELES CLIPPERS,2017-11-07,240,42,82,11,30,12,17,10,29,20,6,4,17,19
SAN ANTONIO SPURS,2017-11-07,240,45,84,15,28,15,19,11,28,33,13,3,13,21
CHICAGO BULLS,2017-11-07,240,40,80,11,29,23,28,8,29,26,10,2,13,23
TORONTO RAPTORS,2017-11-07,240,44,81,13,25,18,24,7,30,22,5,0,15,22
PHILADELPHIA 76ERS,2017-11-07,240,34,81,12,27,24,30,8,48,23,5,6,22,34
UTAH JAZZ,2017-11-07,240,30,99,9,39,28,35,14,31,15,14,6,12,23
DALLAS MAVERICKS,2017-11-07,240,43,91,11,30,16,20,11,42,26,6,8,11,23
WASHINGTON WIZARDS,2017-11-07,240,32,75,10,25,25,32,3,36,21,5,5,15,19
LOS ANGELES LAKERS,2017-11-08,240,37,85,5,24,17,23,12,36,16,8,8,20,30
BOSTON CELTICS,2017-11-08,240,38,98,7,29,24,31,16,32,20,8,6,13,20
INDIANA PACERS,2017-11-08,240,38,88,7,24,14,18,7,31,22,8,3,15,24
DETROIT PISTONS,2017-11-08,240,43,83,12,27,16,25,8,42,25,3,5,15,22
MINNESOTA TIMBERWOLVES,2017-11-08,240,38,92,5,24,20,27,9,32,21,15,0,13,14
GOLDEN STATE WARRIORS,2017-11-08,240,48,85,15,36,14,18,3,42,37,10,9,19,23
NEW YORK KNICKS,2017-11-08,240,42,80,5,12,10,13,12,30,26,7,2,23,21
ORLANDO MAGIC,2017-11-08,240,43,80,13,28,13,22,6,23,31,16,7,12,15
MIAMI HEAT,2017-11-08,240,43,81,12,30,28,35,11,42,21,5,4,14,25
PHOENIX SUNS,2017-11-08,240,40,88,12,29,23,30,6,28,20,4,2,11,29
OKLAHOMA CITY THUNDER,2017-11-09,240,38,90,11,30,7,14,18,26,16,15,7,16,23
DENVER NUGGETS,2017-11-09,240,38,82,9,27,17,22,14,31,27,7,7,18,15
CLEVELAND CAVALIERS,2017-11-09,240,45,81,12,27,11,14,4,22,24,9,1,18,30
HOUSTON ROCKETS,2017-11-09,240,36,77,16,46,29,36,17,28,21,11,5,22,27
PHILADELPHIA 76ERS,2017-11-09,240,37,87,15,37,19,27,13,43,23,6,5,17,28
SACRAMENTO KINGS,2017-11-09,240,40,93,12,27,17,28,8,37,29,6,5,9,19
NEW ORLEANS PELICANS,2017-11-09,240,44,82,13,31,17,25,4,34,31,7,4,13,20
TORONTO RAPTORS,2017-11-09,240,45,98,16,42,16,23,10,38,27,8,4,12,24
LOS ANGELES LAKERS,2017-11-09,240,31,86,3,23,30,41,17,29,17,9,4,19,19
WASHINGTON WIZARDS,2017-11-09,240,43,83,7,21,18,20,7,38,20,7,4,19,31
CHARLOTTE HORNETS,2017-11-10,240,31,80,6,22,19,33,7,40,20,5,7,14,21
BOSTON CELTICS,2017-11-10,240,30,84,9,31,21,25,9,40,15,6,5,13,26
INDIANA PACERS,2017-11-10,240,43,84,12,29,7,12,7,44,27,8,3,18,17
CHICAGO BULLS,2017-11-10,240,37,93,7,27,6,9,11,32,24,10,3,12,13
ATLANTA HAWKS,2017-11-10,240,44,89,8,24,8,11,11,34,28,11,7,15,21
DETROIT PISTONS,2017-11-10,240,39,89,12,30,21,27,20,31,23,7,5,17,18
LOS ANGELES CLIPPERS,2017-11-10,240,39,84,12,30,21,30,16,30,13,4,2,18,30
OKLAHOMA CITY THUNDER,2017-11-10,240,40,78,11,26,29,40,11,29,23,8,7,11,29
ORLANDO MAGIC,2017-11-10,240,43,82,13,28,29,43,7,37,29,8,5,18,20
PHOENIX SUNS,2017-11-10,240,44,94,5,24,19,25,12,28,13,8,5,15,29
BROOKLYN NETS,2017-11-10,240,39,91,12,38,11,19,11,38,25,7,4,10,13
PORTLAND TRAIL BLAZERS,2017-11-10,240,40,95,8,23,9,11,12,39,17,4,4,10,17
MILWAUKEE BUCKS,2017-11-10,240,41,89,5,18,7,14,11,36,27,10,7,13,13
SAN ANTONIO SPURS,2017-11-10,240,34,80,9,29,10,11,9,34,23,8,6,18,15
MIAMI HEAT,2017-11-10,240,30,77,10,25,14,18,7,41,10,9,6,19,20
UTAH JAZZ,2017-11-10,240,25,74,5,21,19,22,4,36,12,10,7,17,20
CLEVELAND CAVALIERS,2017-11-11,240,35,81,12,31,29,35,10,43,18,8,3,17,18
DALLAS MAVERICKS,2017-11-11,240,39,92,10,34,16,21,9,33,21,7,3,10,26
ORLANDO MAGIC,2017-11-11,240,41,87,11,31,14,20,8,28,24,7,5,12,19
DENVER NUGGETS,2017-11-11,240,46,87,12,29,21,27,13,37,29,9,4,12,16
PHILADELPHIA 76ERS,2017-11-11,240,44,94,12,28,14,20,13,25,30,10,2,19,19
GOLDEN STATE WARRIORS,2017-11-11,240,48,82,14,27,25,26,4,35,31,15,11,22,23
MEMPHIS GRIZZLIES,2017-11-11,240,38,79,6,20,14,18,5,36,23,9,5,19,20
HOUSTON ROCKETS,2017-11-11,240,37,83,16,45,21,28,11,35,18,14,4,15,19
LOS ANGELES LAKERS,2017-11-11,240,31,74,6,22,22,37,8,40,21,7,9,21,22
MILWAUKEE BUCKS,2017-11-11,240,35,85,6,23,22,26,9,33,16,11,4,12,27
LOS ANGELES CLIPPERS,2017-11-11,240,35,86,10,26,23,27,8,29,16,12,1,11,24
NEW ORLEANS PELICANS,2017-11-11,240,43,80,6,16,19,24,8,43,26,7,4,23,19
SACRAMENTO KINGS,2017-11-11,240,30,80,7,22,24,30,11,31,19,6,4,13,18
NEW YORK KNICKS,2017-11-11,240,47,90,12,27,12,15,8,32,29,6,6,11,22
MINNESOTA TIMBERWOLVES,2017-11-11,240,39,96,4,20,28,35,19,28,16,12,4,11,21
PHOENIX SUNS,2017-11-11,240,46,86,10,26,16,24,7,39,21,4,10,18,25
CHICAGO BULLS,2017-11-11,240,40,86,6,23,8,13,5,23,22,9,4,13,15
SAN ANTONIO SPURS,2017-11-11,240,51,85,18,27,13,16,8,36,33,5,6,13,16
BROOKLYN NETS,2017-11-11,240,35,76,7,23,29,39,10,31,13,7,4,17,22
UTAH JAZZ,2017-11-11,240,41,85,11,29,21,25,12,32,19,12,3,16,29
ATLANTA HAWKS,2017-11-11,240,34,83,14,33,12,17,10,22,19,11,1,24,23
WASHINGTON WIZARDS,2017-11-11,240,42,78,7,24,22,28,11,31,22,14,10,23,22
TORONTO RAPTORS,2017-11-12,240,32,69,10,24,20,23,6,30,18,8,8,17,20
BOSTON CELTICS,2017-11-12,240,35,87,10,26,15,19,15,31,24,9,2,14,18
MIAMI HEAT,2017-11-12,240,39,90,13,37,12,16,7,32,25,8,5,9,22
DETROIT PISTONS,2017-11-12,240,42,87,14,28,14,20,11,43,24,2,5,13,17
HOUSTON ROCKETS,2017-11-12,240,43,90,17,47,15,18,10,37,24,10,5,13,20
INDIANA PACERS,2017-11-12,240,37,83,8,22,13,21,7,34,18,5,7,13,15
DALLAS MAVERICKS,2017-11-12,240,37,87,11,37,14,18,11,30,18,9,4,20,20
OKLAHOMA CITY THUNDER,2017-11-12,240,36,72,15,32,25,33,3,34,21,10,4,15,23
ORLANDO MAGIC,2017-11-13,240,37,88,10,32,16,18,4,31,26,10,3,11,18
GOLDEN STATE WARRIORS,2017-11-13,240,44,88,8,23,14,16,12,38,35,4,5,16,21
PHILADELPHIA 76ERS,2017-11-13,240,38,77,7,32,26,35,10,41,27,9,2,20,26
LOS ANGELES CLIPPERS,2017-11-13,240,36,82,12,32,21,32,9,25,16,8,4,15,26
MEMPHIS GRIZZLIES,2017-11-13,240,37,76,11,26,18,21,8,29,21,5,1,14,25
MILWAUKEE BUCKS,2017-11-13,240,40,82,12,22,18,25,10,26,23,6,5,9,19
ATLANTA HAWKS,2017-11-13,240,40,87,17,36,8,9,10,26,25,14,1,16,18
NEW ORLEANS PELICANS,2017-11-13,240,41,75,13,33,11,17,7,31,31,10,5,19,13
