team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
CHARLOTTE BOBCATS,2013-11-02,240,30,80,3,21,21,36,14,27,13,8,4,13,22,0.43799999999999994,0.39399999999999996,0.263,0.45,28.6,77.1,48.8,43.3,8.6,6.5,11.9,100,90.3,112.9,2013-2014
NEW ORLEANS PELICANS,2013-11-02,240,37,75,7,13,24,28,8,35,30,10,18,17,26,0.601,0.54,0.17300000000000001,0.373,22.9,71.4,51.2,81.1,10.8,30.5,16.3,100,112.9,90.3,2013-2014
CHICAGO BULLS,2013-11-02,240,42,93,3,14,17,19,17,34,28,8,5,18,14,0.513,0.46799999999999997,0.151,0.204,37.0,77.3,56.7,66.7,8.2,7.8,15.1,100,106.2,109.2,2013-2014
PHILADELPHIA 76ERS,2013-11-02,240,42,86,11,22,12,18,10,29,24,8,6,15,18,0.57,0.552,0.256,0.209,22.7,63.0,43.3,57.1,8.2,7.6,13.8,100,109.2,106.2,2013-2014
SAN ANTONIO SPURS,2013-11-02,240,47,94,6,12,5,8,12,23,24,6,2,12,25,0.5379999999999999,0.532,0.128,0.085,27.3,76.7,47.3,51.1,6.3,3.3,11.0,100,109.9,120.4,2013-2014
PORTLAND TRAIL BLAZERS,2013-11-02,240,45,81,8,20,17,19,7,32,29,3,7,16,15,0.643,0.605,0.247,0.235,23.3,72.7,52.7,64.4,3.1,8.5,15.2,100,120.4,109.9,2013-2014
HOUSTON ROCKETS,2013-11-02,240,34,67,9,22,27,35,9,31,16,6,7,18,23,0.631,0.575,0.32799999999999996,0.522,27.3,67.4,50.6,47.1,6.7,11.9,17.9,100,115.7,103.5,2013-2014
UTAH JAZZ,2013-11-02,240,34,81,4,22,21,27,15,24,12,9,6,15,25,0.501,0.444,0.272,0.33299999999999996,32.6,72.7,49.4,35.3,10.0,13.3,13.9,100,103.5,115.7,2013-2014
BOSTON CELTICS,2013-11-03,240,31,74,3,16,12,12,8,29,15,15,3,23,22,0.486,0.439,0.21600000000000003,0.162,21.6,65.9,45.7,48.4,16.2,4.8,22.5,100,83.2,94.0,2013-2014
DETROIT PISTONS,2013-11-03,240,34,76,2,13,17,29,15,29,16,15,7,21,15,0.49,0.461,0.171,0.382,34.1,78.4,54.3,47.1,16.2,12.1,19.1,100,94.0,83.2,2013-2014
ATLANTA HAWKS,2013-11-03,240,40,90,9,22,14,26,10,42,26,9,3,11,22,0.508,0.494,0.244,0.289,17.5,87.5,49.5,65.0,8.7,4.7,9.8,100,99.6,101.6,2013-2014
LOS ANGELES LAKERS,2013-11-03,240,38,89,9,25,20,24,6,47,27,5,7,13,24,0.527,0.478,0.281,0.27,12.5,82.5,50.5,71.1,4.8,10.3,11.5,100,101.6,99.6,2013-2014
WASHINGTON WIZARDS,2013-11-03,240,35,82,12,30,11,16,17,24,22,8,2,20,26,0.522,0.5,0.366,0.195,41.5,75.0,56.2,62.9,9.1,4.7,18.3,100,106.0,117.4,2013-2014
MIAMI HEAT,2013-11-03,240,37,70,11,27,18,27,8,24,32,9,6,16,18,0.629,0.607,0.386,0.386,25.0,58.5,43.8,86.5,10.3,11.5,16.3,100,117.4,106.0,2013-2014
