team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
BOSTON CELTICS,2016-04-13,240,37,86,5,14,19,22,10,29,20,7,3,7,20,0.512,0.45899999999999996,0.163,0.256,25.0,67.4,47.0,54.1,8.1,4.3,6.8,100,113.9,102.3,2015-2016
TORONTO RAPTORS,2016-04-13,240,41,93,13,37,8,15,16,41,24,5,10,9,12,0.517,0.511,0.39799999999999996,0.161,32.0,89.1,59.4,58.5,5.4,15.9,8.3,100,110.6,103.1,2015-2016
BROOKLYN NETS,2016-04-13,240,39,89,10,26,8,12,5,34,26,8,8,8,17,0.509,0.494,0.292,0.135,10.9,68.0,40.6,66.7,8.6,14.3,7.8,100,103.1,110.6,2015-2016
PHILADELPHIA 76ERS,2016-04-13,240,37,81,17,35,14,18,4,27,28,10,7,13,24,0.59,0.562,0.43200000000000005,0.222,9.8,62.8,36.9,75.7,10.5,11.9,12.8,100,110.6,121.1,2015-2016
CHICAGO BULLS,2016-04-13,240,39,83,15,24,22,27,16,37,27,8,8,17,13,0.606,0.56,0.289,0.325,37.2,90.2,63.1,69.2,8.4,17.4,15.2,100,121.1,110.6,2015-2016
ORLANDO MAGIC,2016-04-13,240,42,91,8,27,11,18,5,34,22,7,4,10,18,0.521,0.505,0.297,0.198,10.9,87.2,45.9,52.4,7.0,7.0,9.2,100,103.1,117.1,2015-2016
CHARLOTTE HORNETS,2016-04-13,240,47,86,11,29,12,19,5,41,32,6,5,9,14,0.62,0.61,0.337,0.221,12.8,89.1,54.1,68.1,6.0,7.8,8.7,100,117.1,103.1,2015-2016
DETROIT PISTONS,2016-04-13,265,37,85,16,33,22,28,9,38,24,5,11,12,15,0.575,0.529,0.38799999999999996,0.32899999999999996,20.5,82.6,52.2,64.9,5.0,13.9,11.0,100,111.3,109.3,2015-2016
CLEVELAND CAVALIERS,2016-04-13,265,46,97,7,18,11,15,8,35,21,4,7,10,23,0.531,0.51,0.18600000000000003,0.155,17.4,79.5,47.8,45.7,4.0,13.5,8.8,100,109.3,111.3,2015-2016
SAN ANTONIO SPURS,2016-04-13,240,35,74,6,23,20,26,8,34,24,8,3,14,19,0.562,0.514,0.311,0.35100000000000003,21.1,75.6,50.6,68.6,9.1,7.9,14.1,100,109.7,104.0,2015-2016
DALLAS MAVERICKS,2016-04-13,240,31,77,12,39,17,21,11,30,20,8,2,12,23,0.528,0.48100000000000004,0.506,0.273,24.4,78.9,49.4,64.5,9.1,3.9,12.2,100,104.0,109.7,2015-2016
MEMPHIS GRIZZLIES,2016-04-13,240,42,98,8,24,12,16,13,27,25,12,1,13,18,0.495,0.469,0.245,0.163,25.0,69.2,44.0,59.5,12.0,2.5,11.0,100,104.4,125.4,2015-2016
GOLDEN STATE WARRIORS,2016-04-13,240,46,87,20,47,13,16,12,39,35,7,7,17,14,0.665,0.644,0.54,0.184,30.8,75.0,56.0,76.1,7.0,9.5,15.3,100,125.4,104.4,2015-2016
SACRAMENTO KINGS,2016-04-13,240,32,96,11,37,6,13,15,34,21,11,4,17,17,0.39799999999999996,0.391,0.385,0.135,26.8,70.8,47.1,65.6,10.8,6.5,14.3,100,79.9,114.4,2015-2016
HOUSTON ROCKETS,2016-04-13,240,47,97,10,35,12,19,14,41,33,11,7,14,15,0.55,0.536,0.361,0.196,29.2,73.2,52.9,70.2,10.8,11.9,11.7,100,114.4,79.9,2015-2016
UTAH JAZZ,2016-04-13,240,39,83,9,30,9,15,8,30,27,10,1,13,16,0.536,0.524,0.361,0.18100000000000002,17.0,78.9,44.7,69.2,10.6,1.7,12.7,100,102.1,107.4,2015-2016
LOS ANGELES LAKERS,2016-04-13,240,41,85,6,25,13,15,8,39,19,6,3,13,17,0.551,0.518,0.294,0.17600000000000002,21.1,83.0,55.3,46.3,6.4,5.7,12.4,100,107.4,102.1,2015-2016
INDIANA PACERS,2016-04-13,240,39,90,11,24,8,10,12,36,28,8,3,17,14,0.514,0.494,0.267,0.111,25.0,83.7,52.7,71.8,8.2,4.7,15.3,100,99.1,94.0,2015-2016
MILWAUKEE BUCKS,2016-04-13,240,37,87,7,23,11,13,7,36,23,8,3,15,15,0.496,0.466,0.264,0.149,16.3,75.0,47.3,62.2,8.2,4.5,13.9,100,94.0,99.1,2015-2016
NEW ORLEANS PELICANS,2016-04-13,240,40,92,11,30,18,22,10,23,31,7,0,16,16,0.536,0.495,0.326,0.239,20.8,82.1,43.4,77.5,6.7,0.0,13.6,100,105.0,138.7,2015-2016
MINNESOTA TIMBERWOLVES,2016-04-13,240,56,86,13,28,19,23,5,38,41,14,8,13,20,0.7490000000000001,0.727,0.326,0.267,17.9,79.2,56.6,73.2,13.5,12.9,11.9,100,138.7,105.0,2015-2016
LOS ANGELES CLIPPERS,2016-04-13,240,43,96,9,31,10,12,6,34,23,9,6,15,20,0.518,0.495,0.32299999999999995,0.125,13.0,65.4,40.8,53.5,8.5,8.2,12.9,100,99.0,107.4,2015-2016
PHOENIX SUNS,2016-04-13,240,45,99,7,26,17,22,18,40,26,10,5,16,15,0.524,0.49,0.263,0.222,34.6,87.0,59.2,57.8,9.4,7.7,12.8,100,107.4,99.0,2015-2016
DENVER NUGGETS,2016-04-13,240,40,94,7,25,12,18,20,33,24,10,6,20,19,0.486,0.46299999999999997,0.266,0.191,38.5,71.7,54.1,60.0,10.2,11.3,16.4,100,100.7,108.8,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-13,240,39,89,11,36,18,22,13,32,19,11,8,15,19,0.542,0.5,0.40399999999999997,0.247,28.3,61.5,45.9,48.7,11.2,11.6,13.2,100,108.8,100.7,2015-2016
ATLANTA HAWKS,2016-04-13,240,32,81,11,29,23,31,9,38,22,13,5,22,21,0.518,0.46299999999999997,0.358,0.38299999999999995,18.4,77.6,48.0,68.8,12.2,8.3,18.9,100,91.7,102.0,2015-2016
WASHINGTON WIZARDS,2016-04-13,240,42,88,9,28,16,30,11,40,25,14,4,19,22,0.539,0.528,0.318,0.341,22.4,81.6,52.0,59.5,13.1,7.7,15.8,100,102.0,91.7,2015-2016
BOSTON CELTICS,2016-04-16,240,37,102,11,35,16,19,15,35,27,6,6,10,32,0.45799999999999996,0.41700000000000004,0.34299999999999997,0.18600000000000003,27.3,72.9,48.5,73.0,6.1,10.0,8.3,100,102.6,103.6,2015-2016
ATLANTA HAWKS,2016-04-16,240,35,86,5,26,27,35,13,40,23,4,9,11,20,0.503,0.436,0.302,0.40700000000000003,27.1,72.7,51.5,65.7,4.1,13.4,9.8,100,103.6,102.6,2015-2016
HOUSTON ROCKETS,2016-04-16,240,30,84,6,22,12,24,13,38,16,10,6,24,28,0.41200000000000003,0.39299999999999996,0.262,0.28600000000000003,25.5,71.7,49.0,53.3,9.9,9.1,20.2,100,77.0,102.6,2015-2016
GOLDEN STATE WARRIORS,2016-04-16,240,39,91,10,25,16,24,15,38,26,10,7,15,22,0.512,0.484,0.275,0.264,28.3,74.5,51.0,66.7,9.9,11.3,12.9,100,102.6,77.0,2015-2016
DALLAS MAVERICKS,2016-04-16,240,25,84,4,18,16,26,9,24,16,5,0,12,25,0.36700000000000005,0.321,0.214,0.31,17.6,63.2,37.1,64.0,5.3,0.0,11.2,100,74.8,115.4,2015-2016
OKLAHOMA CITY THUNDER,2016-04-16,240,36,80,12,35,24,28,14,42,23,7,6,18,25,0.585,0.525,0.43799999999999994,0.35,36.8,82.4,62.9,63.9,7.5,9.1,16.3,100,115.4,74.8,2015-2016
INDIANA PACERS,2016-04-16,240,34,79,11,21,21,29,9,29,19,11,8,13,25,0.545,0.5,0.266,0.36700000000000005,22.0,59.2,42.2,55.9,11.9,13.3,12.4,100,108.2,97.4,2015-2016
TORONTO RAPTORS,2016-04-16,240,30,79,4,19,26,38,20,32,17,6,5,19,27,0.47,0.405,0.24100000000000002,0.48100000000000004,40.8,78.0,57.8,56.7,6.5,8.6,16.6,100,97.4,108.2,2015-2016
DETROIT PISTONS,2016-04-17,240,37,73,15,29,12,16,5,32,24,4,2,10,21,0.631,0.61,0.397,0.21899999999999997,15.2,72.7,48.1,64.9,4.7,3.8,11.1,100,119.1,125.0,2015-2016
CLEVELAND CAVALIERS,2016-04-17,240,39,88,12,35,16,21,12,28,25,7,4,4,18,0.545,0.511,0.39799999999999996,0.239,27.3,84.8,51.9,64.1,8.3,9.1,4.0,100,125.0,119.1,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-17,240,33,83,10,30,19,26,10,30,23,6,2,12,28,0.503,0.45799999999999996,0.361,0.313,21.3,73.2,45.5,69.7,6.4,3.3,11.3,100,102.0,123.5,2015-2016
LOS ANGELES CLIPPERS,2016-04-17,240,42,78,6,17,25,39,11,37,23,7,7,9,23,0.604,0.5770000000000001,0.218,0.5,26.8,78.7,54.5,54.8,7.5,13.2,8.6,100,123.5,102.0,2015-2016
CHARLOTTE HORNETS,2016-04-17,240,28,65,6,17,29,37,7,21,11,5,2,11,17,0.56,0.47700000000000004,0.262,0.569,20.0,60.0,40.0,39.3,6.0,3.0,11.9,100,109.1,147.4,2015-2016
MIAMI HEAT,2016-04-17,240,49,85,9,18,16,21,14,28,27,7,4,6,24,0.653,0.629,0.212,0.247,40.0,80.0,60.0,55.1,8.4,8.3,6.0,100,147.4,109.1,2015-2016
MEMPHIS GRIZZLIES,2016-04-17,240,31,79,8,18,4,6,10,25,17,7,5,16,16,0.45299999999999996,0.44299999999999995,0.228,0.076,22.2,73.5,44.3,54.8,8.1,8.5,16.4,100,85.5,122.4,2015-2016
SAN ANTONIO SPURS,2016-04-17,240,42,81,10,22,12,13,9,35,22,13,9,12,11,0.611,0.58,0.272,0.16,26.5,77.8,55.7,52.4,15.0,14.8,12.2,100,122.4,85.5,2015-2016
HOUSTON ROCKETS,2016-04-18,240,35,79,10,25,26,33,12,25,21,4,5,19,34,0.5670000000000001,0.506,0.316,0.418,31.6,65.8,48.7,60.0,4.2,8.6,16.9,100,111.9,121.4,2015-2016
GOLDEN STATE WARRIORS,2016-04-18,240,40,81,8,23,27,38,13,26,27,10,6,12,24,0.588,0.5429999999999999,0.284,0.469,34.2,68.4,51.3,67.5,10.6,11.1,10.9,100,121.4,111.9,2015-2016
DALLAS MAVERICKS,2016-04-18,240,35,82,5,19,10,19,11,34,14,8,4,12,17,0.47,0.457,0.23199999999999998,0.23199999999999998,23.9,64.2,45.5,40.0,8.9,6.7,11.7,100,94.2,93.1,2015-2016
OKLAHOMA CITY THUNDER,2016-04-18,240,31,92,7,32,15,18,19,35,11,9,4,15,19,0.42,0.375,0.348,0.196,35.8,76.1,54.5,35.5,10.0,6.3,13.1,100,93.1,94.2,2015-2016
INDIANA PACERS,2016-04-18,240,29,70,4,20,25,30,6,27,13,7,3,13,23,0.523,0.44299999999999995,0.28600000000000003,0.429,15.8,69.2,42.9,44.8,7.9,4.8,13.5,100,98.7,111.2,2015-2016
TORONTO RAPTORS,2016-04-18,240,35,80,5,18,23,25,12,32,19,8,5,13,25,0.5379999999999999,0.469,0.225,0.313,30.8,84.2,57.1,54.3,9.1,10.0,12.5,100,111.2,98.7,2015-2016
BOSTON CELTICS,2016-04-19,240,28,88,5,28,11,12,10,33,16,5,10,14,15,0.386,0.34700000000000003,0.318,0.136,17.9,91.7,46.7,57.1,5.1,18.9,13.0,100,74.1,91.6,2015-2016
ATLANTA HAWKS,2016-04-19,240,32,82,11,29,14,16,3,46,20,7,15,15,16,0.5,0.457,0.354,0.195,8.3,82.1,53.3,62.5,7.2,25.0,14.4,100,91.6,74.1,2015-2016
MEMPHIS GRIZZLIES,2016-04-19,240,28,86,2,15,10,18,16,28,14,14,2,13,24,0.36200000000000004,0.337,0.174,0.209,28.1,90.3,50.0,50.0,15.6,4.1,12.2,100,75.8,104.8,2015-2016
SAN ANTONIO SPURS,2016-04-19,240,31,66,9,17,23,28,3,41,19,8,10,17,18,0.6,0.5379999999999999,0.258,0.424,9.7,71.9,50.0,61.3,8.9,14.1,17.8,100,104.8,75.8,2015-2016
DETROIT PISTONS,2016-04-20,240,34,78,4,17,18,32,11,29,19,7,4,12,18,0.489,0.462,0.218,0.41,26.2,82.9,51.9,55.9,7.7,9.5,11.5,100,99.6,118.4,2015-2016
CLEVELAND CAVALIERS,2016-04-20,240,40,80,20,38,7,14,6,31,23,7,1,12,24,0.621,0.625,0.475,0.175,17.1,73.8,48.1,57.5,7.7,1.6,12.2,100,118.4,99.6,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-20,240,31,91,5,26,14,16,15,37,20,6,3,10,20,0.413,0.368,0.28600000000000003,0.17600000000000002,27.3,75.5,50.0,64.5,6.5,4.5,9.3,100,88.2,111.1,2015-2016
LOS ANGELES CLIPPERS,2016-04-20,240,40,87,8,21,14,25,12,40,20,7,9,9,18,0.52,0.506,0.24100000000000002,0.287,24.5,72.7,50.0,50.0,7.6,13.8,8.4,100,111.1,88.2,2015-2016
CHARLOTTE HORNETS,2016-04-20,240,38,89,1,16,26,33,15,24,9,3,1,7,16,0.49700000000000005,0.433,0.18,0.371,31.9,88.9,52.7,23.7,3.3,1.7,6.3,100,114.0,127.2,2015-2016
MIAMI HEAT,2016-04-20,240,44,76,9,16,18,22,3,32,19,6,6,8,25,0.6709999999999999,0.638,0.21100000000000002,0.289,11.1,68.1,47.3,43.2,6.6,8.2,8.5,100,127.2,114.0,2015-2016
OKLAHOMA CITY THUNDER,2016-04-21,240,45,78,15,27,26,35,9,33,28,10,5,14,27,0.701,0.6729999999999999,0.34600000000000003,0.449,28.1,84.6,59.2,62.2,10.4,9.4,13.0,100,136.8,106.5,2015-2016
DALLAS MAVERICKS,2016-04-21,240,36,76,6,23,24,35,6,23,24,9,3,12,27,0.5579999999999999,0.513,0.303,0.461,15.4,71.9,40.8,66.7,9.4,5.9,11.6,100,106.5,136.8,2015-2016
GOLDEN STATE WARRIORS,2016-04-21,240,34,79,6,25,22,29,8,35,23,6,6,14,23,0.523,0.46799999999999997,0.316,0.36700000000000005,18.2,68.6,45.3,67.6,6.2,10.7,13.2,100,98.8,99.9,2015-2016
HOUSTON ROCKETS,2016-04-21,240,36,92,11,36,14,23,16,36,18,9,4,16,24,0.475,0.451,0.391,0.25,31.4,81.8,54.7,50.0,9.3,7.4,13.5,100,99.9,98.8,2015-2016
TORONTO RAPTORS,2016-04-21,240,39,94,10,31,13,16,15,30,18,6,4,11,27,0.5,0.46799999999999997,0.33,0.17,34.1,76.9,54.2,46.2,6.7,8.7,9.8,100,113.4,95.4,2015-2016
INDIANA PACERS,2016-04-21,240,26,68,6,22,27,33,9,29,16,3,6,16,18,0.515,0.426,0.324,0.485,23.1,65.9,45.8,61.5,3.4,9.5,16.2,100,95.4,113.4,2015-2016
ATLANTA HAWKS,2016-04-22,240,38,86,9,36,18,21,7,34,19,10,7,13,24,0.541,0.494,0.419,0.244,15.9,82.9,48.2,50.0,9.9,14.0,12.0,100,102.3,110.2,2015-2016
BOSTON CELTICS,2016-04-22,240,38,82,11,32,24,33,7,37,23,10,6,15,20,0.575,0.53,0.39,0.402,17.1,84.1,51.8,60.5,9.9,12.0,13.5,100,110.2,102.3,2015-2016
CLEVELAND CAVALIERS,2016-04-22,240,39,80,12,29,11,15,12,34,24,3,4,10,17,0.583,0.563,0.363,0.188,30.8,87.2,59.0,61.5,3.6,7.8,10.4,100,121.8,109.7,2015-2016
DETROIT PISTONS,2016-04-22,240,36,74,6,23,13,19,5,27,22,7,3,7,19,0.552,0.527,0.311,0.257,12.8,69.2,41.0,61.1,8.4,5.9,7.8,100,109.7,121.8,2015-2016
SAN ANTONIO SPURS,2016-04-22,240,35,77,12,26,14,19,7,32,24,10,12,9,20,0.562,0.532,0.33799999999999997,0.247,17.5,68.1,44.8,68.6,11.6,18.8,9.5,100,111.0,100.6,2015-2016
MEMPHIS GRIZZLIES,2016-04-22,240,34,82,4,18,15,19,15,33,17,4,4,14,17,0.48100000000000004,0.439,0.22,0.23199999999999998,31.9,82.5,55.2,50.0,4.6,7.8,13.4,100,100.6,111.0,2015-2016
MIAMI HEAT,2016-04-23,240,27,79,7,22,19,30,12,41,13,1,8,14,20,0.434,0.386,0.278,0.38,24.0,82.0,53.0,48.1,1.1,11.1,13.2,100,87.5,105.0,2015-2016
CHARLOTTE HORNETS,2016-04-23,240,35,90,5,18,21,22,9,38,18,5,4,3,24,0.48200000000000004,0.41700000000000004,0.2,0.244,18.0,76.0,47.0,51.4,5.5,7.0,2.9,100,105.0,87.5,2015-2016
OKLAHOMA CITY THUNDER,2016-04-23,240,44,83,7,16,24,34,12,30,26,6,3,9,19,0.607,0.5720000000000001,0.193,0.41,31.6,81.1,56.0,59.1,6.5,5.0,8.4,100,128.6,116.7,2015-2016
DALLAS MAVERICKS,2016-04-23,240,43,83,8,23,14,17,7,26,25,3,2,11,27,0.597,0.5660000000000001,0.27699999999999997,0.205,18.9,68.4,44.0,58.1,3.2,3.0,10.8,100,116.7,128.6,2015-2016
TORONTO RAPTORS,2016-04-23,240,27,74,8,30,21,30,11,29,12,8,3,17,20,0.47600000000000003,0.419,0.405,0.405,28.2,65.9,48.2,44.4,9.1,4.3,16.3,100,94.0,113.2,2015-2016
INDIANA PACERS,2016-04-23,240,40,85,6,16,14,18,15,28,24,10,5,12,22,0.5379999999999999,0.506,0.188,0.212,34.1,71.8,51.8,60.0,11.3,11.4,11.4,100,113.2,94.0,2015-2016
LOS ANGELES CLIPPERS,2016-04-23,240,36,88,3,18,13,23,11,33,15,11,4,10,17,0.44799999999999995,0.426,0.205,0.261,21.6,67.3,44.0,41.7,11.6,6.5,9.2,100,92.7,101.1,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-23,240,37,87,6,25,16,23,16,40,15,5,3,16,24,0.494,0.46,0.287,0.264,32.7,78.4,56.0,40.5,5.3,4.3,14.1,100,101.1,92.7,2015-2016
ATLANTA HAWKS,2016-04-24,265,37,99,12,42,9,13,12,37,18,8,6,14,20,0.45399999999999996,0.434,0.424,0.131,23.1,75.5,48.5,48.6,7.8,9.8,11.8,100,93.0,101.8,2015-2016
BOSTON CELTICS,2016-04-24,265,40,94,11,33,13,19,12,40,25,7,7,14,19,0.508,0.484,0.35100000000000003,0.20199999999999999,24.5,76.9,51.5,62.5,6.9,12.3,12.0,100,101.8,93.0,2015-2016
CLEVELAND CAVALIERS,2016-04-24,240,36,86,13,36,15,17,10,31,16,6,1,5,22,0.535,0.494,0.419,0.198,22.2,81.6,49.4,44.4,7.0,1.9,5.1,100,116.5,114.2,2015-2016
DETROIT PISTONS,2016-04-24,240,37,76,10,24,14,21,7,35,22,3,4,9,18,0.575,0.5529999999999999,0.316,0.276,18.4,77.8,50.6,59.5,3.5,8.0,9.6,100,114.2,116.5,2015-2016
GOLDEN STATE WARRIORS,2016-04-24,240,46,89,21,40,8,16,7,36,38,10,2,16,26,0.63,0.635,0.449,0.18,16.7,80.0,49.4,82.6,9.7,3.9,14.3,100,117.9,91.6,2015-2016
HOUSTON ROCKETS,2016-04-24,240,33,78,5,27,23,38,9,35,18,11,3,18,20,0.496,0.455,0.34600000000000003,0.48700000000000004,20.0,83.3,50.6,54.5,10.7,6.1,16.0,100,91.6,117.9,2015-2016
SAN ANTONIO SPURS,2016-04-24,240,40,81,10,22,26,31,13,28,21,8,6,10,21,0.613,0.556,0.272,0.38299999999999995,36.1,66.7,52.6,52.5,9.0,9.2,9.6,100,130.3,106.7,2015-2016
MEMPHIS GRIZZLIES,2016-04-24,240,35,78,5,13,20,27,14,23,18,6,5,17,29,0.528,0.48100000000000004,0.16699999999999998,0.34600000000000003,33.3,63.9,47.4,51.4,6.7,8.5,15.9,100,106.7,130.3,2015-2016
MIAMI HEAT,2016-04-25,240,30,76,11,29,14,21,10,36,20,2,8,17,26,0.499,0.467,0.382,0.276,25.0,85.7,56.1,66.7,2.2,13.6,16.6,100,95.4,99.9,2015-2016
CHARLOTTE HORNETS,2016-04-25,240,30,75,4,16,25,30,6,30,10,7,7,9,20,0.505,0.42700000000000005,0.213,0.4,14.3,75.0,43.9,33.3,7.9,14.9,9.3,100,99.9,95.4,2015-2016
DALLAS MAVERICKS,2016-04-25,240,38,81,8,24,20,24,13,22,24,5,3,9,24,0.568,0.519,0.29600000000000004,0.29600000000000004,31.7,61.1,45.5,63.2,5.9,5.9,8.9,100,122.2,138.7,2015-2016
OKLAHOMA CITY THUNDER,2016-04-25,240,41,81,10,30,26,32,14,28,19,6,5,8,22,0.621,0.568,0.37,0.395,38.9,68.3,54.5,46.3,7.1,8.8,7.8,100,138.7,122.2,2015-2016
LOS ANGELES CLIPPERS,2016-04-25,240,30,84,7,25,17,28,10,32,16,10,4,9,17,0.436,0.39899999999999997,0.298,0.33299999999999996,19.2,66.7,42.0,53.3,10.9,7.0,8.5,100,91.5,106.8,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-25,240,36,88,13,31,13,15,16,42,27,5,7,15,25,0.518,0.483,0.35200000000000004,0.17,33.3,80.8,58.0,75.0,5.4,11.9,13.7,100,106.8,91.5,2015-2016
BOSTON CELTICS,2016-04-26,240,29,77,7,29,18,25,10,34,19,5,6,20,17,0.47200000000000003,0.42200000000000004,0.377,0.325,20.8,72.3,46.3,65.5,5.1,9.8,18.5,100,85.3,113.0,2015-2016
ATLANTA HAWKS,2016-04-26,240,42,96,14,35,12,16,13,38,30,13,3,12,17,0.534,0.51,0.365,0.16699999999999998,27.7,79.2,53.7,71.4,13.4,6.3,10.4,100,113.0,85.3,2015-2016
INDIANA PACERS,2016-04-26,240,33,73,13,29,20,23,8,33,22,5,5,14,26,0.596,0.541,0.397,0.315,21.6,73.3,50.0,66.7,5.7,8.9,14.4,100,112.5,115.9,2015-2016
TORONTO RAPTORS,2016-04-26,240,33,82,6,26,30,35,12,29,12,9,3,7,18,0.524,0.439,0.317,0.42700000000000005,26.7,78.4,50.0,36.4,10.2,6.8,6.7,100,115.9,112.5,2015-2016
HOUSTON ROCKETS,2016-04-27,240,31,95,6,32,13,19,22,31,17,8,3,17,22,0.392,0.358,0.337,0.2,39.3,83.8,57.0,54.8,8.7,5.9,14.1,100,87.6,123.3,2015-2016
GOLDEN STATE WARRIORS,2016-04-27,240,45,82,13,31,11,19,6,34,30,10,6,9,16,0.631,0.628,0.37799999999999995,0.23199999999999998,16.2,60.7,43.0,66.7,10.8,9.5,9.1,100,123.3,87.6,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-27,240,37,83,12,34,22,34,9,44,22,8,4,9,23,0.551,0.518,0.41,0.41,19.6,84.6,54.1,59.5,8.2,6.1,8.4,100,110.4,100.1,2015-2016
LOS ANGELES CLIPPERS,2016-04-27,240,36,86,6,20,20,30,8,37,20,8,3,10,24,0.494,0.45299999999999996,0.233,0.349,15.4,80.4,45.9,55.6,8.2,6.1,9.2,100,100.1,110.4,2015-2016
CHARLOTTE HORNETS,2016-04-27,240,33,84,12,24,12,15,5,36,21,8,3,12,14,0.49700000000000005,0.46399999999999997,0.28600000000000003,0.179,10.2,85.7,45.1,63.6,8.3,4.8,11.7,100,93.8,91.7,2015-2016
MIAMI HEAT,2016-04-27,240,34,81,5,18,15,19,6,44,17,7,6,14,16,0.49200000000000005,0.451,0.222,0.235,14.3,89.8,54.9,50.0,7.3,10.0,13.5,100,91.7,93.8,2015-2016
ATLANTA HAWKS,2016-04-28,240,38,74,8,24,20,27,3,39,26,6,12,18,23,0.605,0.568,0.324,0.365,8.3,79.6,49.4,68.4,6.0,19.4,17.3,100,104.2,92.1,2015-2016
BOSTON CELTICS,2016-04-28,240,34,94,7,32,17,18,10,33,16,5,4,12,29,0.451,0.39899999999999997,0.34,0.191,20.4,91.7,50.6,47.1,5.0,8.0,10.5,100,92.1,104.2,2015-2016
MIAMI HEAT,2016-04-29,240,38,83,8,16,13,15,11,35,14,4,10,12,24,0.541,0.506,0.193,0.18100000000000002,29.7,87.5,59.7,36.8,4.6,16.9,11.8,100,110.4,102.4,2015-2016
CHARLOTTE HORNETS,2016-04-29,240,32,76,5,17,21,25,5,26,12,8,5,9,17,0.517,0.45399999999999996,0.22399999999999998,0.32899999999999996,12.5,70.3,40.3,37.5,9.1,7.5,9.4,100,102.4,110.4,2015-2016
TORONTO RAPTORS,2016-04-29,240,29,79,9,29,16,25,15,25,14,9,5,16,23,0.461,0.424,0.36700000000000005,0.316,31.9,67.6,47.6,48.3,10.3,9.3,15.1,100,95.3,116.0,2015-2016
INDIANA PACERS,2016-04-29,240,35,76,8,22,23,26,12,32,21,12,7,14,25,0.578,0.513,0.289,0.342,32.4,68.1,52.4,60.0,13.8,14.0,13.8,100,116.0,95.3,2015-2016
LOS ANGELES CLIPPERS,2016-04-29,240,39,87,4,16,21,31,16,30,15,8,1,8,24,0.512,0.47100000000000003,0.184,0.35600000000000004,36.4,62.5,50.0,38.5,9.0,1.9,7.4,100,116.3,119.7,2015-2016
PORTLAND TRAIL BLAZERS,2016-04-29,240,38,86,14,32,16,24,18,28,21,4,2,12,23,0.5489999999999999,0.523,0.37200000000000005,0.27899999999999997,37.5,63.6,50.0,55.3,4.5,2.8,11.1,100,119.7,116.3,2015-2016
OKLAHOMA CITY THUNDER,2016-04-30,240,35,85,6,23,16,21,11,27,23,6,2,10,13,0.488,0.447,0.271,0.247,22.4,84.4,46.9,65.7,6.5,2.9,9.6,100,99.4,134.0,2015-2016
SAN ANTONIO SPURS,2016-04-30,240,51,84,9,15,13,18,5,38,39,5,10,8,16,0.674,0.6609999999999999,0.179,0.214,15.6,77.6,53.1,76.5,5.4,16.1,8.0,100,134.0,99.4,2015-2016
PORTLAND TRAIL BLAZERS,2016-05-01,240,39,97,10,31,18,21,10,30,26,7,6,9,19,0.499,0.45399999999999996,0.32,0.21600000000000003,20.4,65.2,42.1,66.7,7.1,10.0,7.8,100,107.9,120.1,2015-2016
GOLDEN STATE WARRIORS,2016-05-01,240,43,91,11,31,21,24,16,39,27,8,8,12,22,0.581,0.5329999999999999,0.341,0.264,34.8,79.6,57.9,62.8,8.1,12.1,10.6,100,120.1,107.9,2015-2016
CHARLOTTE HORNETS,2016-05-01,240,27,84,7,22,12,12,3,33,14,4,1,7,14,0.409,0.363,0.262,0.14300000000000002,5.9,76.7,38.3,51.9,4.3,1.5,7.3,100,78.8,114.5,2015-2016
MIAMI HEAT,2016-05-01,240,43,89,9,24,11,16,10,48,24,2,8,9,16,0.552,0.534,0.27,0.18,23.3,94.1,61.7,55.8,2.2,12.9,8.6,100,114.5,78.8,2015-2016
INDIANA PACERS,2016-05-01,240,34,73,9,19,7,8,5,33,12,5,5,13,17,0.5489999999999999,0.527,0.26,0.11,13.9,64.7,43.7,35.3,6.0,7.7,14.5,100,100.9,106.9,2015-2016
TORONTO RAPTORS,2016-05-01,240,34,89,8,24,13,17,18,31,21,7,7,8,12,0.461,0.42700000000000005,0.27,0.191,35.3,86.1,56.3,61.8,8.4,13.0,7.7,100,106.9,100.9,2015-2016
ATLANTA HAWKS,2016-05-02,240,33,87,11,34,16,21,15,33,21,6,7,12,22,0.483,0.44299999999999995,0.391,0.24100000000000002,30.6,76.7,52.2,63.6,6.8,13.5,11.1,100,104.7,117.1,2015-2016
CLEVELAND CAVALIERS,2016-05-02,240,37,83,15,31,15,21,10,34,27,9,7,8,20,0.564,0.536,0.373,0.253,23.3,69.4,47.8,73.0,10.1,13.2,8.0,100,117.1,104.7,2015-2016
