team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
DETROIT PISTONS,2015-01-27,240,35,83,8,24,17,23,16,35,21,4,8,18,17,0.51,0.47,0.289,0.277,32,72.9,52,60,4.3,13.6,16.2,100,101.6,110.2
CHICAGO BULLS,2015-01-27,265,42,98,8,29,21,23,19,42,19,6,6,21,18,0.523,0.469,0.296,0.235,36.5,73.7,56,45.2,5.5,7.5,16.3,100,103.3,101.5
GOLDEN STATE WARRIORS,2015-01-27,265,48,113,9,33,6,12,15,33,31,9,2,13,15,0.469,0.465,0.292,0.106,26.3,63.5,44,64.6,8.2,2.9,9.9,100,101.5,103.3
TORONTO RAPTORS,2015-01-27,240,34,73,9,26,27,34,8,34,21,9,6,10,27,0.591,0.527,0.356,0.466,20,75.6,49.4,61.8,10,9.4,10.2,100,115,100.6
INDIANA PACERS,2015-01-27,240,34,82,7,18,16,23,11,32,22,4,3,14,22,0.494,0.457,0.22,0.28,24.4,80,50.6,64.7,4.4,6.4,13.2,100,100.6,115
WASHINGTON WIZARDS,2015-01-27,240,38,78,4,16,18,27,9,42,19,8,2,16,18,0.545,0.513,0.205,0.346,23.1,84,57.3,50,8.4,3,15.1,100,102.7,96.5
LOS ANGELES LAKERS,2015-01-27,240,37,87,5,20,13,16,8,30,17,9,4,11,19,0.489,0.454,0.23,0.184,16,76.9,42.7,45.9,9.4,6.5,10.5,100,96.5,102.7
MILWAUKEE BUCKS,2015-01-27,240,39,71,9,16,22,30,4,30,25,7,3,12,22,0.647,0.613,0.225,0.423,12.5,85.7,50.7,64.1,7.7,5.5,12.5,100,119.5,111.8
MIAMI HEAT,2015-01-27,240,38,75,7,20,19,26,5,28,20,5,1,12,23,0.59,0.553,0.267,0.347,14.3,87.5,49.3,52.6,5.5,1.8,12.2,100,111.8,119.5
BROOKLYN NETS,2015-01-28,240,39,87,9,24,15,18,9,26,26,6,5,8,20,0.537,0.5,0.276,0.207,21.4,68.4,43.8,66.7,6.7,10.2,7.8,100,113.5,125.7
ATLANTA HAWKS,2015-01-28,240,38,82,12,33,25,26,12,33,29,4,4,11,18,0.605,0.537,0.402,0.317,31.6,78.6,56.3,76.3,4.5,6.3,10.5,100,125.7,113.5
PORTLAND TRAIL BLAZERS,2015-01-28,240,35,80,10,31,14,17,11,28,18,5,5,8,20,0.537,0.5,0.388,0.213,25.6,66.7,45.9,51.4,6.1,10.4,8.4,100,114.3,120.4
CLEVELAND CAVALIERS,2015-01-28,240,34,85,15,37,16,18,14,32,16,3,1,8,15,0.533,0.488,0.435,0.212,33.3,74.4,54.1,47.1,3.6,2,7.9,100,120.4,114.3
DALLAS MAVERICKS,2015-01-28,240,35,82,10,25,14,16,10,36,16,10,7,23,16,0.528,0.488,0.305,0.195,26.3,76.6,54.1,45.7,10.2,13.2,20.5,100,96.3,101.5
HOUSTON ROCKETS,2015-01-28,240,36,88,14,35,13,15,11,28,21,14,7,16,19,0.523,0.489,0.398,0.17,23.4,73.7,45.9,58.3,14.3,12.3,14.5,100,101.5,96.3
BOSTON CELTICS,2015-01-28,240,42,91,7,23,7,9,9,30,22,9,4,13,22,0.516,0.5,0.253,0.099,18.8,83.3,46.4,52.4,9.4,6.6,12,100,102.3,114.8
MINNESOTA TIMBERWOLVES,2015-01-28,240,38,77,6,16,28,32,6,39,18,6,4,11,11,0.604,0.532,0.208,0.416,16.7,81.3,53.6,47.4,6.3,5.9,10.8,100,114.8,102.3
DENVER NUGGETS,2015-01-28,240,39,85,10,17,5,7,8,31,30,4,7,8,22,0.528,0.518,0.2,0.082,20.5,64.6,44.8,76.9,4.8,10.4,8.3,100,111.1,101.6
NEW ORLEANS PELICANS,2015-01-28,240,32,82,3,15,18,24,17,31,15,2,6,9,15,0.459,0.409,0.183,0.293,35.4,79.5,55.2,46.9,2.4,8.8,8.9,100,101.6,111.1
OKLAHOMA CITY THUNDER,2015-01-28,240,34,85,5,22,19,22,10,37,10,7,7,13,22,0.486,0.429,0.259,0.259,20,77.1,48,29.4,7.3,9.5,12.1,100,96.2,104.6
NEW YORK KNICKS,2015-01-28,240,40,91,8,17,12,17,11,40,29,8,6,10,17,0.508,0.484,0.187,0.187,22.9,80,52,72.5,8.4,9.5,9.2,100,104.6,96.2
DETROIT PISTONS,2015-01-28,240,23,75,2,20,21,23,14,24,15,12,5,17,16,0.405,0.32,0.267,0.307,28.6,64.9,44.2,65.2,14,8.8,16.6,100,80.4,103.7
PHILADELPHIA 76ERS,2015-01-28,240,37,78,7,21,8,12,13,35,27,11,10,19,19,0.534,0.519,0.269,0.154,35.1,71.4,55.8,73,12.8,18.2,18.6,100,103.7,80.4
WASHINGTON WIZARDS,2015-01-28,240,37,88,8,18,16,23,15,35,13,2,3,13,16,0.499,0.466,0.205,0.261,30.6,83.3,54.9,35.1,2.1,5.1,11.7,100,103.6,112.1
PHOENIX SUNS,2015-01-28,240,40,88,11,29,15,18,7,34,23,10,2,9,16,0.553,0.517,0.33,0.205,16.7,69.4,45.1,57.5,10.6,2.9,8.6,100,112.1,103.6
CHARLOTTE HORNETS,2015-01-28,240,34,83,6,18,12,14,8,35,23,7,4,12,17,0.482,0.446,0.217,0.169,17,77.8,46.7,67.6,7.6,7.4,11.9,100,93.2,103
SAN ANTONIO SPURS,2015-01-28,240,35,83,10,29,15,18,10,39,23,7,8,14,14,0.522,0.482,0.349,0.217,22.2,83,53.3,65.7,7.6,12.3,13.3,100,103,93.2
SACRAMENTO KINGS,2015-01-28,240,35,73,7,17,25,29,6,25,17,6,4,17,18,0.595,0.527,0.233,0.397,17.6,69.4,44.3,48.6,6.4,8,16.5,100,108.2,126.2
TORONTO RAPTORS,2015-01-28,240,43,84,17,34,16,19,11,28,29,12,4,16,24,0.644,0.613,0.405,0.226,30.6,82.4,55.7,67.4,12.7,7.1,14.8,100,126.2,108.2
LOS ANGELES CLIPPERS,2015-01-28,240,34,76,9,26,17,25,10,27,13,7,6,8,20,0.54,0.507,0.342,0.329,24.4,62.8,44,38.2,8.6,10.5,8.4,100,115.5,109.4
UTAH JAZZ,2015-01-28,240,35,81,5,24,14,20,16,31,17,2,6,9,18,0.496,0.463,0.296,0.247,37.2,75.6,56,48.6,2.5,12,9.1,100,109.4,115.5
NEW YORK KNICKS,2015-01-29,240,34,81,5,16,9,13,6,27,22,3,6,10,18,0.473,0.451,0.198,0.16,12.8,77.1,40.2,64.7,3.4,9.8,10.3,100,92.2,115.8
INDIANA PACERS,2015-01-29,240,42,79,6,18,13,18,8,41,25,4,4,11,16,0.592,0.57,0.228,0.228,22.9,87.2,59.8,59.5,4.5,6.2,11.2,100,115.8,92.2
CHICAGO BULLS,2015-01-29,290,43,104,6,25,26,32,17,32,26,9,6,11,21,0.5,0.442,0.24,0.308,32.1,64,47.6,60.5,8.4,6.2,8.5,100,110.1,114.8
LOS ANGELES LAKERS,2015-01-29,290,50,106,3,9,20,25,18,36,26,5,8,13,27,0.526,0.486,0.085,0.236,36,67.9,52.4,52,4.7,10.1,10,100,114.8,110.1
DENVER NUGGETS,2015-01-29,240,29,87,2,26,9,10,10,37,19,6,5,16,19,0.377,0.345,0.299,0.115,18.5,74,45.2,65.5,6.3,6.9,14.9,100,72.8,104.4
MEMPHIS GRIZZLIES,2015-01-29,240,39,88,3,16,18,27,13,44,17,8,4,9,11,0.496,0.46,0.182,0.307,26,81.5,54.8,43.6,8.4,6.6,8.3,100,104.4,72.8
MILWAUKEE BUCKS,2015-01-29,240,45,87,12,25,13,18,7,31,29,16,8,15,24,0.606,0.586,0.287,0.207,16.7,68.9,43.7,64.4,15.7,12.5,13.6,100,112.9,98.2
ORLANDO MAGIC,2015-01-29,240,37,82,5,18,21,30,14,35,14,8,4,23,18,0.525,0.482,0.22,0.366,31.1,83.3,56.3,37.8,7.9,6.5,19.5,100,98.2,112.9
PORTLAND TRAIL BLAZERS,2015-01-30,240,39,87,11,30,10,11,9,37,25,7,3,17,20,0.539,0.511,0.345,0.126,20.5,84.1,52.3,64.1,7.1,4.9,15.6,100,100.9,107
ATLANTA HAWKS,2015-01-30,240,40,84,11,23,14,22,7,35,26,12,4,13,17,0.56,0.542,0.274,0.262,15.9,79.5,47.7,65,12.2,7,12.2,100,107,100.9
HOUSTON ROCKETS,2015-01-30,240,35,84,8,30,15,20,12,38,22,6,4,16,18,0.501,0.464,0.357,0.238,26.1,73.1,51,62.9,6.4,6.1,14.7,100,99,92.6
BOSTON CELTICS,2015-01-30,240,32,90,7,24,16,23,14,34,14,8,5,11,23,0.434,0.394,0.267,0.256,26.9,73.9,49,43.8,8.5,9.3,9.9,100,92.6,99
TORONTO RAPTORS,2015-01-30,265,47,92,7,26,26,30,9,36,22,5,3,9,21,0.604,0.549,0.283,0.326,20,72,47.4,46.8,4.8,3.7,7.9,100,123.2,118.3
BROOKLYN NETS,2015-01-30,265,49,101,4,19,20,26,14,36,19,7,4,7,20,0.543,0.505,0.188,0.257,28,80,52.6,38.8,6.8,6.1,5.9,100,118.3,123.2
SACRAMENTO KINGS,2015-01-30,240,30,84,3,18,27,32,14,36,15,10,3,16,19,0.459,0.375,0.214,0.381,27.5,83.7,53.2,50,10.2,6.1,14,100,92.1,103.4
CLEVELAND CAVALIERS,2015-01-30,240,38,80,11,31,14,22,7,37,22,11,5,17,24,0.563,0.544,0.388,0.275,16.3,72.5,46.8,57.9,11.3,7.6,15.9,100,103.4,92.1
DALLAS MAVERICKS,2015-01-30,240,34,82,13,29,12,20,13,36,24,10,4,10,13,0.512,0.494,0.354,0.244,27.1,67.9,48.5,70.6,11.5,6.8,9.9,100,107,82.8
MIAMI HEAT,2015-01-30,240,29,88,9,29,5,10,17,35,18,6,3,16,17,0.39,0.381,0.33,0.114,32.1,72.9,51.5,62.1,6.9,5.7,14.8,100,82.8,107
LOS ANGELES CLIPPERS,2015-01-30,240,42,92,7,28,12,17,9,29,20,5,4,5,21,0.518,0.495,0.304,0.185,19.6,67.4,42.7,47.6,5.5,6.6,4.8,100,114.2,119.8
NEW ORLEANS PELICANS,2015-01-30,240,36,86,13,25,23,26,14,37,26,5,3,8,15,0.554,0.494,0.291,0.302,32.6,80.4,57.3,72.2,5.5,4.7,7.6,100,119.8,114.2
MINNESOTA TIMBERWOLVES,2015-01-30,240,34,76,5,14,21,25,11,27,24,8,4,21,18,0.54,0.48,0.184,0.329,28.9,79.4,52.8,70.6,8.7,7.8,19.4,100,102.3,112.1
PHILADELPHIA 76ERS,2015-01-30,240,37,74,8,23,21,25,7,27,27,13,9,14,16,0.606,0.554,0.311,0.338,20.6,71.1,47.2,73,14.1,14.5,14.1,100,112.1,102.3
CHICAGO BULLS,2015-01-30,240,36,87,4,18,17,27,12,37,20,6,3,11,18,0.47,0.437,0.207,0.31,23.5,77.1,49.5,55.6,6.2,4.4,10,100,96.2,102.5
PHOENIX SUNS,2015-01-30,240,39,90,6,22,15,17,11,39,16,7,5,13,21,0.508,0.467,0.244,0.189,22.9,76.5,50.5,41,7.2,7.2,11.8,100,102.5,96.2
GOLDEN STATE WARRIORS,2015-01-30,240,37,86,8,27,18,25,11,30,21,8,2,13,19,0.515,0.477,0.314,0.291,22.4,63.8,42.7,56.8,8.3,2.9,11.8,100,103.5,113.8
UTAH JAZZ,2015-01-30,240,42,94,9,25,17,28,17,38,21,10,6,11,20,0.517,0.495,0.266,0.298,36.2,77.6,57.3,50,10.3,10.2,9.4,100,113.8,103.5
PHILADELPHIA 76ERS,2015-01-31,240,31,81,14,35,9,15,10,34,21,7,4,14,26,0.485,0.469,0.432,0.185,21.7,81,50,67.7,7.9,8,13.8,100,95.7,102.5
ATLANTA HAWKS,2015-01-31,240,34,78,10,28,13,18,8,36,20,6,5,12,16,0.53,0.5,0.359,0.231,19,78.3,50,58.8,6.8,10.9,12.3,100,102.5,95.7
CHARLOTTE HORNETS,2015-01-31,240,44,93,0,11,16,25,10,47,32,10,11,10,18,0.5,0.473,0.118,0.269,21.7,85.5,56.4,72.7,9.8,16.2,8.8,100,101.8,84.1
DENVER NUGGETS,2015-01-31,240,33,92,5,24,15,20,8,36,21,2,8,12,19,0.427,0.386,0.261,0.217,14.5,78.3,43.6,63.6,2,9.8,10.6,100,84.1,101.8
HOUSTON ROCKETS,2015-01-31,240,39,87,11,32,12,19,11,28,23,10,3,13,29,0.53,0.511,0.368,0.218,25.6,70,47,59,10.6,5.3,12,100,106.7,120.4
DETROIT PISTONS,2015-01-31,240,41,82,10,25,22,35,12,32,28,8,8,12,11,0.585,0.561,0.305,0.427,30,74.4,53,68.3,8.5,14.5,11,100,120.4,106.7
PHOENIX SUNS,2015-01-31,240,33,91,9,26,12,17,15,37,22,10,5,20,17,0.442,0.412,0.286,0.187,30,80.4,54.2,66.7,10.1,9.1,16.9,100,87.6,106.8
GOLDEN STATE WARRIORS,2015-01-31,240,40,87,12,32,14,18,9,35,27,11,8,15,20,0.558,0.529,0.368,0.207,19.6,70,45.8,67.5,11.1,12.3,13.6,100,106.8,87.6
SACRAMENTO KINGS,2015-01-31,240,34,80,5,15,26,29,9,37,16,8,1,12,27,0.534,0.456,0.188,0.363,22.5,80.4,53.5,47.1,8.6,1.8,11.5,100,106.1,100.7
INDIANA PACERS,2015-01-31,240,33,80,5,25,23,25,9,31,22,8,5,14,22,0.516,0.444,0.313,0.313,19.6,77.5,46.5,66.7,8.6,7.7,13.3,100,100.7,106.1
OKLAHOMA CITY THUNDER,2015-01-31,240,27,78,6,20,14,18,12,35,15,5,4,17,19,0.431,0.385,0.256,0.231,26.1,63.6,46.5,55.6,5.7,5,16.5,100,84.8,97.4
MEMPHIS GRIZZLIES,2015-01-31,240,34,91,3,11,14,17,20,34,22,11,5,11,18,0.432,0.39,0.121,0.187,36.4,73.9,53.5,64.7,12.6,8.6,10,100,97.4,84.8
PORTLAND TRAIL BLAZERS,2015-01-31,240,33,89,9,31,13,18,11,33,19,11,3,16,15,0.454,0.421,0.348,0.202,21.2,78.6,46.8,57.6,11.4,4.9,14.2,100,90.8,98
MILWAUKEE BUCKS,2015-01-31,240,37,82,8,21,13,14,9,41,22,12,8,17,19,0.539,0.5,0.256,0.171,21.4,78.8,53.2,59.5,12.4,13.8,16.2,100,98,90.8
CLEVELAND CAVALIERS,2015-01-31,240,42,87,10,32,12,19,18,34,16,8,6,13,19,0.556,0.54,0.368,0.218,43.9,73.9,59.8,38.1,9.1,8.7,12,100,120.8,102.6
MINNESOTA TIMBERWOLVES,2015-01-31,240,34,82,6,13,16,21,12,23,19,6,1,12,14,0.493,0.451,0.159,0.256,26.1,56.1,40.2,55.9,6.8,1.8,11.6,100,102.6,120.8
DALLAS MAVERICKS,2015-01-31,240,42,74,11,21,13,22,3,33,26,9,4,12,20,0.645,0.642,0.284,0.297,8.8,75,46.2,61.9,9.9,7.4,12.5,100,118.5,102
ORLANDO MAGIC,2015-01-31,240,33,78,8,24,19,24,11,31,21,9,3,15,24,0.525,0.474,0.308,0.308,25,91.2,53.8,63.6,9.9,5.7,14.5,100,102,118.5
LOS ANGELES CLIPPERS,2015-01-31,240,40,91,8,22,17,18,16,40,20,12,7,15,23,0.531,0.484,0.242,0.198,33.3,90.9,60.9,50,12.4,15.6,13.2,100,108.4,87.8
SAN ANTONIO SPURS,2015-01-31,240,28,75,10,30,19,28,4,32,18,11,3,17,17,0.487,0.44,0.4,0.373,9.1,66.7,39.1,64.3,11.4,4.3,16.3,100,87.8,108.4
TORONTO RAPTORS,2015-01-31,265,44,88,11,26,21,30,6,28,26,7,8,13,29,0.593,0.563,0.295,0.341,17.6,70,45.9,59.1,6.7,14.5,11.4,100,115,111.2
WASHINGTON WIZARDS,2015-01-31,265,37,79,10,24,32,41,12,28,26,8,6,22,24,0.598,0.532,0.304,0.519,30,82.4,54.1,70.3,7.7,9.7,18.5,100,111.2,115
MIAMI HEAT,2015-02-01,240,32,77,4,21,15,21,10,36,18,7,9,16,18,0.481,0.442,0.273,0.273,23.8,81.8,53.5,56.3,7.7,14.5,15.6,100,91.6,82.8
BOSTON CELTICS,2015-02-01,240,30,81,4,19,11,18,8,32,24,7,3,13,19,0.422,0.395,0.235,0.222,18.2,76.2,46.5,80,7.7,5.4,12.8,100,82.8,91.6
LOS ANGELES LAKERS,2015-02-01,240,27,76,7,16,19,23,10,36,15,7,3,14,15,0.464,0.401,0.211,0.303,25,76.6,52.9,55.6,8.1,4.8,14,100,92.2,106
NEW YORK KNICKS,2015-02-01,240,37,84,10,22,8,13,11,30,18,7,3,10,21,0.513,0.5,0.262,0.155,23.4,75,47.1,48.6,8.1,5,10,100,106,92.2
LOS ANGELES CLIPPERS,2015-02-02,240,42,89,8,23,8,25,15,37,23,6,1,12,22,0.5,0.517,0.258,0.281,30,78.7,53.6,54.8,6.2,1.8,10.7,100,103.9,105.9
BROOKLYN NETS,2015-02-02,240,41,83,12,27,8,18,10,35,21,4,0,16,27,0.561,0.566,0.325,0.217,21.3,70,46.4,51.2,4.2,0,15,100,105.9,103.9
PHILADELPHIA 76ERS,2015-02-02,240,31,78,12,33,10,14,11,26,23,16,7,21,22,0.499,0.474,0.423,0.179,25.6,70.3,46.3,74.2,17.5,13.7,20,100,91.9,106.1
CLEVELAND CAVALIERS,2015-02-02,240,35,78,12,27,15,22,11,32,22,8,6,18,17,0.553,0.526,0.346,0.282,29.7,74.4,53.8,62.9,8.8,13.3,17,100,106.1,91.9
MINNESOTA TIMBERWOLVES,2015-02-02,240,34,82,3,13,23,26,16,31,18,10,2,15,22,0.503,0.433,0.159,0.317,34,72.1,52.2,52.9,10.9,3.8,13.8,100,102.9,109.5
DALLAS MAVERICKS,2015-02-02,240,39,84,10,31,12,18,12,31,27,11,10,15,18,0.544,0.524,0.369,0.214,27.9,66,47.8,69.2,12,14.5,14,100,109.5,102.9
ATLANTA HAWKS,2015-02-02,240,40,89,7,22,13,17,9,23,19,6,3,6,15,0.518,0.489,0.247,0.191,20.5,57.5,38.1,47.5,6.7,4.8,5.9,100,111.3,128
NEW ORLEANS PELICANS,2015-02-02,240,43,86,9,23,20,23,17,35,30,5,10,13,15,0.598,0.552,0.267,0.267,42.5,79.5,61.9,69.8,5.6,14.9,11.9,100,128,111.3
ORLANDO MAGIC,2015-02-02,240,38,90,6,23,15,18,14,30,23,5,1,13,21,0.495,0.456,0.256,0.2,30.4,78.9,52.4,60.5,5.5,1.8,11.7,100,105.9,113.6
OKLAHOMA CITY THUNDER,2015-02-02,240,37,75,8,20,22,26,8,32,25,10,5,13,20,0.602,0.547,0.267,0.347,21.1,69.6,47.6,67.6,10.9,7.5,13.1,100,113.6,105.9
MEMPHIS GRIZZLIES,2015-02-02,240,36,83,3,11,27,34,16,30,19,12,4,14,17,0.521,0.452,0.133,0.41,37.2,73.2,54.8,52.8,12.8,5.9,12.5,100,109.1,108
PHOENIX SUNS,2015-02-02,240,42,84,6,16,11,18,11,27,18,12,6,16,25,0.549,0.536,0.19,0.214,26.8,62.8,45.2,42.9,12.8,8.3,14.8,100,108,109.1
MILWAUKEE BUCKS,2015-02-02,240,33,80,7,16,9,17,7,37,24,8,6,12,18,0.469,0.456,0.2,0.213,17.5,74,48.9,72.7,9,11.8,12.1,100,92.6,84.7
TORONTO RAPTORS,2015-02-02,240,25,78,7,27,18,22,13,33,14,7,3,15,19,0.428,0.365,0.346,0.282,26,82.5,51.1,56,7.9,4.7,14.6,100,84.7,92.6
CHARLOTTE HORNETS,2015-02-02,240,37,79,4,15,14,19,6,36,21,6,3,11,18,0.527,0.494,0.19,0.241,15.4,78.3,49.4,56.8,6.7,4.5,11.2,100,102.2,97.7
WASHINGTON WIZARDS,2015-02-02,240,33,81,6,15,16,19,10,33,19,7,3,12,23,0.492,0.444,0.185,0.235,21.7,84.6,50.6,57.6,7.8,4.7,11.8,100,97.7,102.2
MIAMI HEAT,2015-02-03,240,35,74,6,14,15,23,8,27,23,1,6,8,14,0.541,0.514,0.189,0.311,20.5,65.9,43.8,65.7,1.2,8.8,8.7,100,109,129.3
DETROIT PISTONS,2015-02-03,240,42,88,9,20,15,18,14,31,27,7,5,6,17,0.563,0.528,0.227,0.205,34.1,79.5,56.3,64.3,8.4,8.3,5.9,100,129.3,109
BOSTON CELTICS,2015-02-03,240,42,77,6,24,18,23,11,28,23,6,0,15,11,0.62,0.584,0.312,0.299,32.4,70,52.7,54.8,6.8,0,14.7,100,122.7,110.2
NEW YORK KNICKS,2015-02-03,240,41,83,7,20,8,11,12,23,22,7,2,13,18,0.552,0.536,0.241,0.133,30,67.6,47.3,53.7,8,3.8,12.9,100,110.2,122.7
DENVER NUGGETS,2015-02-03,240,33,85,12,31,20,28,8,29,26,13,3,14,29,0.503,0.459,0.365,0.329,16,80.6,43,78.8,13,7,12.6,100,98,105
PHILADELPHIA 76ERS,2015-02-03,240,31,70,11,27,32,42,7,42,26,10,9,20,22,0.593,0.521,0.386,0.6,19.4,84,57,83.9,10,16.7,18.4,100,105,98
UTAH JAZZ,2015-02-03,240,39,85,6,13,18,26,14,27,18,8,4,10,23,0.529,0.494,0.153,0.306,29.8,69.2,47.7,46.2,8.8,7.5,9.4,100,112.6,113.7
PORTLAND TRAIL BLAZERS,2015-02-03,240,36,76,7,23,24,34,12,33,18,8,6,14,20,0.566,0.52,0.303,0.447,30.8,70.2,52.3,50,8.8,8.3,13.3,100,113.7,112.6
GOLDEN STATE WARRIORS,2015-02-03,240,46,91,10,23,19,26,14,35,33,13,5,11,23,0.591,0.56,0.253,0.286,33.3,85.4,59,71.7,13.3,7.9,9.7,100,123.4,97.9
SACRAMENTO KINGS,2015-02-03,240,35,79,7,16,19,24,6,28,17,7,4,18,21,0.536,0.487,0.203,0.304,14.6,66.7,41,48.6,7.1,5.9,16.7,100,97.9,123.4
WASHINGTON WIZARDS,2015-02-04,240,34,77,4,16,24,30,5,36,19,7,2,12,24,0.532,0.468,0.208,0.39,11.9,80,47.1,55.9,7.3,3.6,11.7,100,100.3,109.8
ATLANTA HAWKS,2015-02-04,240,38,80,11,25,18,27,9,37,24,7,2,14,22,0.571,0.544,0.313,0.338,20,88.1,52.9,63.2,7.3,3.3,13.2,100,109.8,100.3
DENVER NUGGETS,2015-02-04,240,33,80,4,24,30,33,14,34,18,9,6,15,19,0.529,0.438,0.3,0.413,30.4,64.2,48.5,54.5,9.5,8.5,13.7,100,105.8,110
BOSTON CELTICS,2015-02-04,240,40,99,12,28,12,17,19,32,27,10,3,13,21,0.488,0.465,0.283,0.172,35.8,69.6,51.5,67.5,10.6,5.4,10.9,100,110,105.8
DALLAS MAVERICKS,2015-02-04,240,41,98,10,30,22,28,14,28,24,8,1,8,19,0.517,0.469,0.306,0.286,28,73.7,47.7,58.5,8.1,2.1,6.8,100,115.4,129.6
GOLDEN STATE WARRIORS,2015-02-04,240,45,86,19,38,19,25,10,36,29,5,5,13,22,0.66,0.634,0.442,0.291,26.3,72,52.3,64.4,5.1,7.4,11.8,100,129.6,115.4
CHICAGO BULLS,2015-02-04,240,31,89,8,25,20,26,18,42,16,3,5,12,17,0.448,0.393,0.281,0.292,33.3,79.2,56.1,51.6,3.2,7.7,10.7,100,96.8,108.6
HOUSTON ROCKETS,2015-02-04,240,38,92,8,27,17,23,11,36,18,6,8,6,19,0.495,0.457,0.293,0.25,20.8,66.7,43.9,47.4,6.5,12.5,5.5,100,108.6,96.8
DETROIT PISTONS,2015-02-04,240,43,87,12,24,11,15,12,23,23,7,2,10,18,0.582,0.563,0.276,0.172,29.3,74.2,48.6,53.5,8,3.6,9.7,100,124,129.6
INDIANA PACERS,2015-02-04,240,46,77,12,21,10,18,8,29,28,5,4,11,15,0.671,0.675,0.273,0.234,25.8,70.7,51.4,60.9,5.7,6.3,11.5,100,129.6,124
LOS ANGELES LAKERS,2015-02-04,265,39,93,9,28,18,25,18,35,22,3,2,16,25,0.505,0.468,0.301,0.269,37.5,87.5,60.2,56.4,3.1,3.6,13.3,100,108.4,116.7
MILWAUKEE BUCKS,2015-02-04,265,41,82,11,26,20,22,5,30,25,10,7,11,22,0.616,0.567,0.317,0.268,12.5,62.5,39.8,61,10.3,10.8,10.7,100,116.7,108.4
MIAMI HEAT,2015-02-04,240,39,80,7,16,16,24,15,32,18,11,3,18,23,0.558,0.531,0.2,0.3,34.1,91.4,59.5,46.2,11.8,4.9,16.6,100,108.5,109.5
MINNESOTA TIMBERWOLVES,2015-02-04,240,37,72,6,11,22,27,3,29,27,10,3,14,24,0.608,0.556,0.153,0.375,8.6,65.9,40.5,73,10.7,4.7,14.3,100,109.5,108.5
OKLAHOMA CITY THUNDER,2015-02-04,240,45,85,5,15,7,11,12,36,21,3,11,14,20,0.568,0.559,0.176,0.129,29.3,65.5,50,46.7,3.3,15.3,13.5,100,112.8,100.6
NEW ORLEANS PELICANS,2015-02-04,240,37,97,7,25,10,13,19,29,23,7,3,10,14,0.443,0.418,0.258,0.134,34.5,70.7,50,62.2,7.7,4.3,8.9,100,100.6,112.8
ORLANDO MAGIC,2015-02-04,240,42,84,10,21,9,14,5,34,27,6,1,12,16,0.571,0.56,0.25,0.167,12.5,85,48.8,64.3,6.3,1.9,11.7,100,108.3,115.7
SAN ANTONIO SPURS,2015-02-04,240,44,84,14,32,8,14,6,35,32,7,4,11,12,0.61,0.607,0.381,0.167,15,87.5,51.3,72.7,7.4,6.3,10.9,100,115.7,108.3
BROOKLYN NETS,2015-02-04,240,40,81,9,19,20,23,10,29,24,7,1,8,17,0.598,0.549,0.235,0.284,25.6,76.3,50.6,60,8.2,2.2,8.1,100,127.5,108.8
TORONTO RAPTORS,2015-02-04,240,35,79,10,33,13,18,9,29,22,3,4,9,16,0.535,0.506,0.418,0.228,23.7,74.4,49.4,62.9,3.5,6.5,9.4,100,108.8,127.5
MEMPHIS GRIZZLIES,2015-02-04,240,38,80,6,13,18,22,11,27,26,7,4,9,21,0.558,0.513,0.163,0.275,26.2,75,48.7,68.4,8.2,8,9.1,100,117.1,105.4
UTAH JAZZ,2015-02-04,240,33,73,7,23,17,26,9,31,15,6,3,12,19,0.533,0.5,0.315,0.356,25,73.8,51.3,45.5,7,4.5,12.4,100,105.4,117.1
WASHINGTON WIZARDS,2015-02-05,240,35,84,5,10,12,17,9,28,20,2,5,12,26,0.476,0.446,0.119,0.202,19.1,70,42.5,57.1,2.2,9.8,11.6,100,96.8,104.6
CHARLOTTE HORNETS,2015-02-05,240,33,76,6,25,22,27,12,38,15,5,15,14,19,0.535,0.474,0.329,0.355,30,80.9,57.5,45.5,5.6,20.3,13.7,100,104.6,96.8
LOS ANGELES CLIPPERS,2015-02-05,240,38,91,5,22,13,20,14,29,24,9,1,12,29,0.471,0.445,0.242,0.22,26.9,67.4,45.3,63.2,9.5,2.4,10.7,100,99.4,111.1
CLEVELAND CAVALIERS,2015-02-05,240,31,72,8,30,35,44,14,38,23,10,4,18,21,0.575,0.486,0.417,0.611,32.6,73.1,54.7,74.2,10.6,5.8,16.5,100,111.1,99.4
PHOENIX SUNS,2015-02-05,240,34,88,6,23,13,17,11,31,20,11,2,16,21,0.456,0.42,0.261,0.193,20,70.5,42.4,58.8,11.2,3.4,14.4,100,88.5,109.8
PORTLAND TRAIL BLAZERS,2015-02-05,240,40,90,8,31,20,23,13,44,21,7,7,14,14,0.539,0.489,0.344,0.256,29.5,80,57.6,52.5,7.1,10.8,12.3,100,109.8,88.5
