team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
NEW YORK KNICKS,2014-10-29,240,31,85,3,17,15,17,14,24,19,9,5,11,22,0.433,0.382,0.2,0.2,27.5,70.6,44.7,61.3,10.3,10.6,10.6,100,92,119.6
LOS ANGELES LAKERS,2014-10-29,240,37,86,4,13,21,25,12,26,20,9,3,13,18,0.51,0.453,0.151,0.291,27.9,74.3,48.7,54.1,9.6,6,11.8,100,105.7,127
PHOENIX SUNS,2014-10-29,240,45,82,16,32,13,18,9,31,23,5,3,14,25,0.662,0.646,0.39,0.22,25.7,72.1,51.3,51.1,5.3,4.1,13.5,100,127,105.7
OKLAHOMA CITY THUNDER,2014-10-29,240,33,81,2,16,21,26,14,29,19,9,5,13,28,0.481,0.42,0.198,0.321,32.6,69,50.6,57.6,10.1,8.6,12.3,100,100.2,119.4
PORTLAND TRAIL BLAZERS,2014-10-29,240,39,87,11,29,17,22,13,29,23,4,9,10,19,0.548,0.511,0.333,0.253,31,67.4,49.4,59,4.5,13.8,9.4,100,119.4,100.2
GOLDEN STATE WARRIORS,2014-10-29,240,33,75,6,27,23,32,7,37,21,12,8,22,32,0.533,0.48,0.36,0.427,16.7,71.2,46.8,63.6,11.8,13.3,19.8,100,93.3,75.6
SACRAMENTO KINGS,2014-10-29,240,24,78,3,18,26,35,15,35,13,11,3,26,26,0.412,0.327,0.231,0.449,28.8,83.3,53.2,54.2,10.8,6.3,21.8,100,75.6,93.3
ATLANTA HAWKS,2014-10-29,240,40,80,13,22,9,17,10,32,26,6,8,17,24,0.583,0.581,0.275,0.213,23.8,66.7,46.7,65,6.4,12.5,16.3,100,109.1,116.6
TORONTO RAPTORS,2014-10-29,240,37,90,8,26,27,33,16,32,26,13,9,9,22,0.521,0.456,0.289,0.367,33.3,76.2,53.3,70.3,13.9,15.5,7.9,100,116.6,109.1
HOUSTON ROCKETS,2014-10-29,240,40,77,14,27,10,14,8,27,18,7,6,18,23,0.625,0.61,0.351,0.182,27.6,67.5,50.7,45,8,9.5,17.8,100,118.5,106
UTAH JAZZ,2014-10-29,240,38,81,3,18,14,17,13,21,16,8,6,13,16,0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12,12.8,100,106,118.5
NEW YORK KNICKS,2014-10-30,240,37,69,6,12,15,18,9,26,30,9,1,15,26,0.618,0.58,0.174,0.261,29,70.3,51.5,81.1,10.8,2.2,16.3,100,114.3,108.3
CLEVELAND CAVALIERS,2014-10-30,240,32,70,9,24,17,20,11,22,22,5,2,19,15,0.571,0.521,0.343,0.286,29.7,71,48.5,68.8,6,3.5,19.4,100,108.3,114.3
UTAH JAZZ,2014-10-30,240,36,83,14,35,16,18,15,25,22,6,0,16,21,0.561,0.518,0.422,0.217,32.6,65.8,47.6,61.1,6.7,0,15,100,113.9,134
DALLAS MAVERICKS,2014-10-30,240,47,85,8,21,18,23,13,31,25,8,5,9,15,0.631,0.6,0.247,0.271,34.2,67.4,52.4,53.2,8.9,10.4,8.6,100,134,113.9
OKLAHOMA CITY THUNDER,2014-10-30,240,28,65,6,21,28,34,8,39,23,5,2,22,27,0.563,0.477,0.323,0.523,29.6,73.6,58.8,82.1,5.5,3.5,21.6,100,99,102.3
LOS ANGELES CLIPPERS,2014-10-30,240,34,87,7,30,18,25,14,19,17,10,4,11,27,0.474,0.431,0.345,0.287,26.4,70.4,41.3,50,11,9.1,10.1,100,102.3,99
DETROIT PISTONS,2014-10-30,240,38,91,7,21,8,13,14,32,20,3,5,12,24,0.47,0.456,0.231,0.143,29.8,76.2,51.7,52.6,3.3,7.6,11,100,100.8,107.4
