season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,points,during_playoffs
2011-2012,DETROIT PISTONS,2012-02-19,240,31,82,5,9,29,46,16,27,14,13,4,14,19,0.469,0.409,0.11,0.561,33.3,77.1,51.8,45.2,13.9,7.1,12.0,100.0,103.0,86.9,96,0
2011-2012,UTAH JAZZ,2012-02-19,240,32,81,5,14,16,20,15,26,16,10,8,12,23,0.473,0.426,0.173,0.247,34.9,72.2,51.9,50.0,12.0,15.1,11.8,100.0,101.9,121.0,85,0
2011-2012,HOUSTON ROCKETS,2012-02-19,240,37,72,10,19,17,24,10,28,18,6,6,13,20,0.612,0.583,0.264,0.333,27.8,65.1,48.1,48.6,7.2,9.0,13.6,100.0,121.0,101.9,101,0
2011-2012,CHARLOTTE BOBCATS,2012-02-19,240,28,75,4,17,13,22,5,26,19,6,5,18,24,0.431,0.4,0.227,0.293,11.1,63.4,36.0,67.9,6.4,8.1,17.5,100.0,77.4,114.4,73,0
2011-2012,INDIANA PACERS,2012-02-19,240,39,78,6,16,24,32,15,40,22,11,9,17,27,0.586,0.5379999999999999,0.205,0.41,36.6,88.9,64.0,56.4,11.7,15.5,15.6,100.0,114.4,77.4,108,0
2011-2012,ORLANDO MAGIC,2012-02-19,240,27,74,11,29,13,25,9,31,15,3,3,14,10,0.459,0.439,0.392,0.338,18.8,77.5,45.5,55.6,3.4,4.4,14.1,100.0,89.6,103.4,78,0
2011-2012,MIAMI HEAT,2012-02-19,240,38,80,3,12,11,14,9,39,20,8,7,10,18,0.522,0.494,0.15,0.175,22.5,81.3,54.5,52.6,9.2,15.6,10.4,100.0,103.4,89.6,90,0
2011-2012,PHILADELPHIA 76ERS,2012-02-19,240,40,90,3,11,8,10,14,34,14,9,6,8,21,0.482,0.461,0.122,0.111,29.2,70.8,50.0,35.0,10.3,8.7,7.8,100.0,103.7,104.8,91,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-02-19,240,33,85,3,16,23,26,14,34,13,4,6,10,12,0.477,0.406,0.188,0.306,29.2,70.8,50.0,39.4,4.6,7.6,9.4,100.0,104.8,103.7,92,0
2011-2012,MILWAUKEE BUCKS,2012-02-19,240,33,86,7,19,19,24,21,32,16,6,3,17,23,0.476,0.424,0.221,0.279,43.8,66.7,55.2,48.5,6.8,4.8,15.0,100.0,104.5,96.6,92,0
2011-2012,NEW JERSEY NETS,2012-02-19,240,29,85,5,23,22,33,16,27,16,11,2,10,24,0.4270000000000001,0.371,0.271,0.388,33.3,56.3,44.8,55.2,12.5,3.0,9.1,100.0,96.6,104.5,85,0
2011-2012,DALLAS MAVERICKS,2012-02-19,240,36,81,12,33,13,17,14,27,24,12,3,19,20,0.5479999999999999,0.519,0.407,0.21,35.0,65.9,50.6,66.7,13.2,5.3,17.7,100.0,106.4,114.1,97,0
2011-2012,NEW YORK KNICKS,2012-02-19,240,40,86,12,29,12,18,14,26,21,13,5,16,16,0.5539999999999999,0.535,0.337,0.209,34.1,65.0,49.4,52.5,14.3,10.4,14.6,100.0,114.1,106.4,104,0
2011-2012,DENVER NUGGETS,2012-02-19,265,49,101,6,22,14,18,18,33,26,7,6,15,22,0.542,0.515,0.218,0.17800000000000002,40.0,66.0,53.7,53.1,6.9,9.1,12.1,100.0,116.4,122.4,118,0
2011-2012,OKLAHOMA CITY THUNDER,2012-02-19,265,46,94,9,28,23,28,17,27,20,8,12,14,19,0.583,0.537,0.298,0.298,34.0,60.0,46.3,43.5,7.9,15.2,11.6,100.0,122.4,116.4,124,0
2011-2012,LOS ANGELES LAKERS,2012-02-19,240,35,78,3,18,17,25,9,36,21,7,5,18,22,0.506,0.468,0.231,0.321,22.5,78.3,52.3,60.0,7.4,8.3,16.8,100.0,95.4,108.1,90,0
2011-2012,PHOENIX SUNS,2012-02-19,240,34,80,7,20,27,32,10,31,25,10,6,11,21,0.542,0.469,0.25,0.4,21.7,77.5,47.7,73.5,10.6,10.0,10.5,100.0,108.1,95.4,102,0
2011-2012,ATLANTA HAWKS,2012-02-20,240,30,74,9,25,10,21,8,33,19,8,10,14,17,0.475,0.466,0.338,0.284,18.2,68.8,44.6,63.3,9.0,14.7,14.4,100.0,89.1,101.5,79,0
2011-2012,CHICAGO BULLS,2012-02-20,240,34,88,8,20,14,19,15,36,18,6,5,12,16,0.467,0.4320000000000001,0.227,0.21600000000000005,31.3,81.8,55.4,52.9,6.8,10.2,11.1,100.0,101.5,89.1,90,0
2011-2012,BOSTON CELTICS,2012-02-20,240,29,74,7,24,8,11,5,39,17,5,6,16,18,0.463,0.439,0.324,0.149,11.4,76.5,46.3,58.6,5.6,9.4,16.9,100.0,81.9,99.9,73,0
2011-2012,DALLAS MAVERICKS,2012-02-20,240,36,89,7,25,10,14,12,39,26,9,6,8,15,0.468,0.444,0.281,0.157,23.5,88.6,53.7,72.2,10.1,12.0,7.8,100.0,99.9,81.9,89,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-02-20,265,36,99,6,27,23,24,16,34,23,7,8,15,24,0.461,0.394,0.273,0.242,28.6,66.7,46.7,63.9,6.8,11.4,12.0,100.0,97.7,99.7,101,0
2011-2012,DENVER NUGGETS,2012-02-20,265,37,92,5,22,24,35,17,40,23,7,11,16,22,0.48,0.429,0.239,0.38,33.3,71.4,53.3,62.2,6.8,15.3,13.0,100.0,99.7,97.7,103,0
2011-2012,LOS ANGELES CLIPPERS,2012-02-20,240,33,77,11,26,20,27,17,29,14,6,2,17,19,0.546,0.5,0.338,0.35100000000000003,40.5,69.0,54.8,42.4,7.0,3.3,16.1,100.0,112.5,120.6,97,0
2011-2012,GOLDEN STATE WARRIORS,2012-02-20,240,38,83,9,23,19,24,13,25,22,6,6,9,18,0.556,0.512,0.277,0.289,31.0,59.5,45.2,57.9,7.0,11.8,8.8,100.0,120.6,112.5,104,0
2011-2012,MEMPHIS GRIZZLIES,2012-02-20,240,38,79,3,13,14,18,11,27,17,6,3,13,24,0.535,0.5,0.165,0.228,29.7,73.0,51.4,44.7,7.1,5.8,13.0,100.0,109.5,114.2,93,0
2011-2012,HOUSTON ROCKETS,2012-02-20,240,35,74,7,22,20,25,10,26,21,9,3,11,20,0.5710000000000001,0.52,0.297,0.338,27.0,70.3,48.6,60.0,10.6,4.5,11.5,100.0,114.2,109.5,97,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-02-20,240,32,78,12,23,16,22,10,27,24,10,5,16,20,0.525,0.487,0.295,0.282,21.3,65.9,42.0,75.0,10.9,7.8,15.4,100.0,100.7,112.8,92,0
2011-2012,LOS ANGELES LAKERS,2012-02-20,240,38,83,8,19,19,22,14,37,23,11,3,15,18,0.556,0.506,0.229,0.265,34.1,78.7,58.0,60.5,12.0,5.5,13.9,100.0,112.8,100.7,103,0
2011-2012,ORLANDO MAGIC,2012-02-20,240,33,76,8,22,19,25,16,33,18,6,2,15,18,0.534,0.487,0.289,0.329,41.0,61.1,52.7,54.5,7.1,2.9,14.7,100.0,110.8,107.2,93,0
2011-2012,MILWAUKEE BUCKS,2012-02-20,240,37,91,5,22,11,13,21,23,17,9,5,12,19,0.465,0.434,0.242,0.14300000000000002,38.9,59.0,47.3,45.9,10.7,9.3,11.0,100.0,107.2,110.8,90,0
2011-2012,NEW JERSEY NETS,2012-02-20,240,32,82,15,31,21,29,12,34,19,9,3,17,25,0.528,0.482,0.378,0.354,27.9,75.6,52.3,59.4,9.3,4.7,15.2,100.0,103.2,95.0,100,0
2011-2012,NEW YORK KNICKS,2012-02-20,240,34,85,5,21,19,26,11,31,23,9,6,16,25,0.477,0.429,0.247,0.306,24.4,72.1,47.7,67.6,9.3,11.8,14.2,100.0,95.0,103.2,92,0
2011-2012,NEW ORLEANS HORNETS,2012-02-20,240,33,91,7,14,20,23,16,31,17,8,4,16,17,0.46,0.401,0.154,0.253,29.6,75.6,49.5,51.5,8.2,7.4,13.7,100.0,95.4,103.6,93,0
2011-2012,OKLAHOMA CITY THUNDER,2012-02-20,240,36,80,8,26,21,24,10,38,15,11,13,19,19,0.5579999999999999,0.5,0.325,0.3,24.4,70.4,50.5,41.7,11.3,16.9,17.3,100.0,103.6,95.4,101,0
2011-2012,WASHINGTON WIZARDS,2012-02-20,240,36,84,5,20,11,19,11,33,16,7,6,16,23,0.476,0.458,0.238,0.226,23.9,80.5,50.6,44.4,7.4,10.3,14.8,100.0,92.6,109.4,88,0
2011-2012,PHOENIX SUNS,2012-02-20,240,37,79,7,21,23,29,8,35,20,8,5,13,17,0.5670000000000001,0.513,0.266,0.3670000000000001,19.5,76.1,49.4,54.1,8.4,7.8,12.4,100.0,109.4,92.6,104,0
2011-2012,SAN ANTONIO SPURS,2012-02-20,240,36,78,10,21,24,30,7,26,22,10,4,15,17,0.581,0.526,0.269,0.385,17.9,74.3,44.6,61.1,10.4,5.3,14.1,100.0,109.8,105.7,106,0
2011-2012,UTAH JAZZ,2012-02-20,240,40,84,3,8,19,23,9,32,17,8,5,15,24,0.542,0.494,0.095,0.274,25.7,82.1,55.4,42.5,8.3,8.8,13.7,100.0,105.7,109.8,102,0
2011-2012,DETROIT PISTONS,2012-02-21,240,37,95,7,17,19,24,16,28,22,9,8,11,23,0.474,0.426,0.179,0.253,32.0,65.1,47.3,59.5,9.6,13.3,9.4,100.0,106.9,108.0,100,0
2011-2012,CLEVELAND CAVALIERS,2012-02-21,240,34,78,9,18,24,32,15,34,23,8,7,17,18,0.5479999999999999,0.494,0.231,0.41,34.9,68.0,52.7,67.6,8.6,9.0,15.6,100.0,108.0,106.9,101,0
2011-2012,NEW ORLEANS HORNETS,2012-02-21,265,42,79,9,21,15,23,7,31,26,3,5,15,24,0.606,0.589,0.266,0.29100000000000004,18.4,70.5,46.3,61.9,3.1,7.2,14.4,100.0,111.1,120.4,108,0
2011-2012,INDIANA PACERS,2012-02-21,265,44,88,7,19,22,31,13,31,18,7,4,12,20,0.5760000000000001,0.54,0.21600000000000005,0.35200000000000004,29.5,81.6,53.7,40.9,7.2,6.9,10.6,100.0,120.4,111.1,117,0
2011-2012,PHILADELPHIA 76ERS,2012-02-21,240,31,85,8,15,6,8,8,28,19,6,11,12,18,0.429,0.412,0.17600000000000002,0.094,18.2,71.8,43.4,61.3,6.7,16.7,11.9,100.0,85.3,99.9,76,0
2011-2012,MEMPHIS GRIZZLIES,2012-02-21,240,31,78,6,12,21,29,11,36,25,7,11,13,14,0.49,0.436,0.154,0.3720000000000001,28.2,81.8,56.6,80.6,7.9,15.7,12.5,100.0,99.9,85.3,89,0
2011-2012,SACRAMENTO KINGS,2012-02-21,240,40,89,13,27,15,19,15,26,24,5,5,15,18,0.555,0.522,0.303,0.213,32.6,74.3,50.6,60.0,5.4,8.6,13.3,100.0,115.6,128.5,108,0
2011-2012,MIAMI HEAT,2012-02-21,240,45,81,10,23,20,23,9,31,28,8,9,12,18,0.6579999999999999,0.617,0.284,0.284,25.7,67.4,49.4,62.2,8.6,14.5,11.6,100.0,128.5,115.6,120,0
2011-2012,SAN ANTONIO SPURS,2012-02-21,240,32,84,8,20,25,32,11,22,13,6,2,13,14,0.494,0.429,0.238,0.381,21.6,75.9,41.3,40.6,6.2,3.4,11.7,100.0,100.3,141.7,97,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-02-21,240,51,86,15,28,20,24,7,40,31,5,7,9,21,0.7090000000000001,0.68,0.326,0.279,24.1,78.4,58.8,60.8,5.2,10.9,8.5,100.0,141.7,100.3,137,0
2011-2012,INDIANA PACERS,2012-02-22,240,34,85,7,16,27,32,24,33,20,5,7,6,21,0.515,0.441,0.188,0.376,48.0,62.3,55.3,58.8,6.1,10.1,5.7,100.0,125.3,108.1,102,0
2011-2012,CHARLOTTE BOBCATS,2012-02-22,240,31,88,8,19,18,23,20,26,23,3,13,11,24,0.448,0.398,0.21600000000000005,0.261,37.7,52.0,44.7,74.2,3.7,18.8,10.1,100.0,108.1,125.3,88,0
2011-2012,MILWAUKEE BUCKS,2012-02-22,240,37,88,2,13,15,19,12,17,20,11,6,8,20,0.472,0.4320000000000001,0.14800000000000002,0.21600000000000005,25.5,54.8,37.2,54.1,12.2,9.1,7.7,100.0,100.6,121.6,91,0
2011-2012,CHICAGO BULLS,2012-02-22,240,43,79,6,13,18,24,14,35,32,4,7,20,13,0.614,0.5820000000000001,0.165,0.304,45.2,74.5,62.8,74.4,4.4,9.3,18.3,100.0,121.6,100.6,110,0
2011-2012,NEW ORLEANS HORNETS,2012-02-22,240,36,89,2,10,15,20,20,36,22,5,9,13,26,0.455,0.416,0.112,0.225,43.5,62.1,53.8,61.1,5.8,15.5,11.7,100.0,103.1,97.3,89,0
2011-2012,CLEVELAND CAVALIERS,2012-02-22,240,27,85,6,27,24,37,22,26,20,6,5,11,23,0.415,0.353,0.318,0.435,37.9,56.5,46.2,74.1,7.0,6.3,9.8,100.0,97.3,103.1,84,0
2011-2012,LOS ANGELES LAKERS,2012-02-22,240,35,76,8,20,18,31,17,32,21,8,4,17,17,0.535,0.513,0.263,0.408,37.0,60.4,49.5,60.0,9.2,6.9,15.9,100.0,109.9,104.2,96,0
2011-2012,DALLAS MAVERICKS,2012-02-22,240,36,90,8,32,11,16,21,29,22,10,3,12,20,0.469,0.444,0.35600000000000004,0.17800000000000002,39.6,63.0,50.5,61.1,11.4,5.4,11.0,100.0,104.2,109.9,91,0
2011-2012,PHILADELPHIA 76ERS,2012-02-22,240,33,82,0,9,21,27,10,30,12,10,5,13,18,0.463,0.402,0.11,0.329,22.7,88.2,51.3,36.4,10.7,8.3,12.2,100.0,92.8,99.1,87,0
2011-2012,HOUSTON ROCKETS,2012-02-22,240,36,78,5,18,16,20,4,34,16,3,2,13,21,0.536,0.494,0.231,0.256,11.8,77.3,48.7,44.4,3.2,2.7,13.0,100.0,99.1,92.8,93,0
2011-2012,DENVER NUGGETS,2012-02-22,240,33,82,6,23,23,31,14,30,21,6,3,12,24,0.4970000000000001,0.439,0.28,0.378,31.1,63.8,47.8,63.6,6.7,5.1,11.1,100.0,105.7,114.6,95,0
2011-2012,LOS ANGELES CLIPPERS,2012-02-22,240,38,86,7,27,20,28,17,31,22,8,4,11,25,0.524,0.483,0.314,0.326,36.2,68.9,52.2,57.9,8.9,6.8,10.1,100.0,114.6,105.7,103,0
2011-2012,UTAH JAZZ,2012-02-22,240,39,85,1,7,19,24,14,27,25,15,4,9,29,0.513,0.465,0.08199999999999999,0.282,32.6,58.7,46.1,64.1,17.0,7.3,8.6,100.0,111.1,113.3,98,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-02-22,240,31,77,11,22,27,38,19,29,20,5,3,17,19,0.534,0.474,0.28600000000000003,0.494,41.3,67.4,53.9,64.5,5.7,3.8,15.4,100.0,113.3,111.1,100,0
2011-2012,ORLANDO MAGIC,2012-02-22,240,45,84,13,29,5,15,16,30,32,6,4,12,10,0.596,0.613,0.345,0.179,36.4,76.9,55.4,71.1,6.9,7.0,11.7,100.0,125.0,105.3,108,0
2011-2012,NEW JERSEY NETS,2012-02-22,240,38,81,9,24,6,9,9,28,16,9,2,12,15,0.536,0.525,0.29600000000000004,0.111,23.1,63.6,44.6,42.1,10.4,3.6,12.4,100.0,105.3,125.0,91,0
2011-2012,ATLANTA HAWKS,2012-02-22,240,32,81,8,29,10,18,12,28,16,14,2,24,23,0.461,0.444,0.358,0.222,26.7,66.7,46.0,50.0,14.4,3.4,21.3,100.0,84.6,102.1,82,0
2011-2012,NEW YORK KNICKS,2012-02-22,240,38,80,8,22,15,24,14,33,23,15,3,21,16,0.547,0.525,0.275,0.3,33.3,73.3,54.0,60.5,15.5,5.8,18.8,100.0,102.1,84.6,99,0
2011-2012,BOSTON CELTICS,2012-02-22,240,34,70,7,18,29,34,3,29,24,5,7,18,24,0.612,0.536,0.257,0.486,8.3,74.4,42.7,70.6,5.0,10.8,17.5,100.0,104.6,119.7,104,0
2011-2012,OKLAHOMA CITY THUNDER,2012-02-22,240,42,84,9,19,26,35,10,33,22,9,3,14,21,0.599,0.5539999999999999,0.226,0.417,25.6,91.7,57.3,52.4,9.1,5.8,12.3,100.0,119.7,104.6,119,0
2011-2012,GOLDEN STATE WARRIORS,2012-02-22,240,39,84,9,20,19,22,13,27,19,6,4,7,18,0.5660000000000001,0.518,0.238,0.262,29.5,57.4,44.0,48.7,7.0,5.6,7.0,100.0,123.1,120.8,106,0
2011-2012,PHOENIX SUNS,2012-02-22,240,43,90,4,19,14,20,20,31,23,5,4,10,17,0.526,0.5,0.211,0.222,42.6,70.5,56.0,53.5,5.8,6.3,9.2,100.0,120.8,123.1,104,0
2011-2012,DETROIT PISTONS,2012-02-22,240,35,84,2,12,21,27,14,23,16,7,7,10,23,0.485,0.429,0.14300000000000002,0.321,27.5,69.7,44.0,45.7,7.9,10.1,9.4,100.0,104.5,115.8,93,0
2011-2012,TORONTO RAPTORS,2012-02-22,240,40,76,3,7,20,28,10,37,30,5,9,12,21,0.583,0.546,0.092,0.368,30.3,72.5,56.0,75.0,5.6,12.5,12.0,100.0,115.8,104.5,103,0
2011-2012,SACRAMENTO KINGS,2012-02-22,240,43,96,4,17,25,27,18,29,18,11,6,10,20,0.5329999999999999,0.469,0.177,0.281,36.0,70.7,51.6,41.9,11.2,9.8,8.5,100.0,117.5,109.3,115,0
2011-2012,WASHINGTON WIZARDS,2012-02-22,240,41,84,9,23,16,27,12,32,22,8,6,18,20,0.5579999999999999,0.542,0.274,0.321,29.3,64.0,48.4,53.7,8.2,7.6,15.8,100.0,109.3,117.5,107,0
2011-2012,ORLANDO MAGIC,2012-02-23,240,31,82,7,32,9,13,10,30,19,12,8,13,19,0.445,0.421,0.39,0.159,21.7,73.2,46.0,61.3,13.4,13.1,12.9,100.0,87.2,92.8,78,0
2011-2012,ATLANTA HAWKS,2012-02-23,240,31,78,7,17,14,20,11,36,19,8,4,18,12,0.478,0.442,0.218,0.256,26.8,78.3,54.0,61.3,8.9,8.0,17.2,100.0,92.8,87.2,83,0
2011-2012,SAN ANTONIO SPURS,2012-02-23,240,41,86,13,27,19,23,10,35,29,7,4,8,18,0.593,0.552,0.314,0.267,23.8,79.5,52.3,70.7,7.6,6.3,7.7,100.0,123.9,107.6,114,0
2011-2012,DENVER NUGGETS,2012-02-23,240,37,83,7,19,18,21,9,32,25,5,4,11,18,0.537,0.488,0.229,0.253,20.5,76.2,47.7,67.6,5.4,6.8,10.7,100.0,107.6,123.9,99,0
2011-2012,NEW YORK KNICKS,2012-02-23,240,31,79,7,17,19,22,14,27,14,9,3,19,15,0.496,0.4370000000000001,0.215,0.278,30.4,65.9,47.1,45.2,9.8,4.2,17.6,100.0,95.6,110.8,88,0
2011-2012,MIAMI HEAT,2012-02-23,240,42,85,4,14,14,19,14,32,19,12,10,16,22,0.546,0.518,0.165,0.224,34.1,69.6,52.9,45.2,13.0,16.1,14.6,100.0,110.8,95.6,102,0
2011-2012,LOS ANGELES LAKERS,2012-02-23,240,30,78,4,13,21,23,8,33,16,5,2,12,18,0.482,0.41,0.16699999999999998,0.295,17.8,82.5,48.2,53.3,5.5,3.8,12.0,100.0,93.7,110.3,85,0
2011-2012,OKLAHOMA CITY THUNDER,2012-02-23,240,36,77,7,25,21,25,7,37,17,7,9,12,20,0.568,0.513,0.325,0.325,17.5,82.2,51.8,47.2,7.7,13.8,12.0,100.0,110.3,93.7,100,0
2011-2012,NEW ORLEANS HORNETS,2012-02-28,240,36,89,4,9,19,22,13,34,22,8,7,14,18,0.481,0.4270000000000001,0.101,0.247,27.1,69.4,48.5,61.1,8.4,9.7,12.4,100.0,99.3,103.5,95,0
2011-2012,CHICAGO BULLS,2012-02-28,240,41,90,3,18,14,20,15,35,25,11,10,13,16,0.501,0.472,0.2,0.222,30.6,72.9,51.5,61.0,11.5,12.5,11.6,100.0,103.5,99.3,99,0
2011-2012,BOSTON CELTICS,2012-02-28,240,33,74,7,17,13,14,5,34,27,6,1,17,20,0.536,0.493,0.23,0.189,14.3,75.6,48.8,81.8,6.7,1.6,17.5,100.0,95.5,92.2,86,0
2011-2012,CLEVELAND CAVALIERS,2012-02-28,240,31,78,4,17,17,25,11,30,18,12,5,14,17,0.466,0.423,0.218,0.321,24.4,85.7,51.3,58.1,13.3,8.8,13.6,100.0,92.2,95.5,83,0
2011-2012,NEW JERSEY NETS,2012-02-28,240,37,84,7,25,12,14,12,41,23,9,4,19,21,0.516,0.482,0.298,0.16699999999999998,27.3,70.7,52.0,62.2,9.5,6.3,17.4,100.0,97.8,96.7,93,0
2011-2012,DALLAS MAVERICKS,2012-02-28,240,32,89,8,25,20,28,17,32,19,13,7,13,12,0.454,0.404,0.281,0.315,29.3,72.7,48.0,59.4,13.7,11.9,11.4,100.0,96.7,97.8,92,0
2011-2012,PHILADELPHIA 76ERS,2012-02-28,240,42,84,5,13,8,9,11,33,26,17,8,15,19,0.551,0.53,0.155,0.107,28.9,68.8,51.2,61.9,18.8,11.6,14.6,100.0,107.5,75.3,97,0
2011-2012,DETROIT PISTONS,2012-02-28,240,25,79,2,10,16,20,15,27,14,5,0,22,11,0.387,0.329,0.127,0.253,31.3,71.1,48.8,56.0,5.5,0.0,20.0,100.0,75.3,107.5,68,0
2011-2012,TORONTO RAPTORS,2012-02-28,240,35,75,2,17,13,18,9,38,18,7,5,15,23,0.513,0.48,0.227,0.24,23.7,82.6,56.0,51.4,7.9,9.1,15.3,100.0,95.7,99.0,85,0
2011-2012,HOUSTON ROCKETS,2012-02-28,240,29,75,7,20,23,28,8,29,14,2,3,13,15,0.504,0.433,0.267,0.373,17.4,76.3,44.0,48.3,2.3,5.2,13.0,100.0,99.0,95.7,88,0
2011-2012,GOLDEN STATE WARRIORS,2012-02-28,240,29,85,3,22,17,24,19,26,15,8,9,15,25,0.408,0.359,0.259,0.282,33.3,61.9,45.5,51.7,8.8,12.3,13.6,100.0,86.1,112.5,78,0
2011-2012,INDIANA PACERS,2012-02-28,240,37,84,5,11,23,32,16,38,21,11,4,14,23,0.52,0.47,0.131,0.381,38.1,66.7,54.5,56.8,12.1,6.3,12.5,100.0,112.5,86.1,102,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-02-28,240,40,78,10,22,19,27,9,30,27,4,1,9,18,0.606,0.5770000000000001,0.282,0.34600000000000003,23.1,71.4,48.1,67.5,4.5,1.4,9.1,100.0,123.5,109.9,109,0
2011-2012,LOS ANGELES CLIPPERS,2012-02-28,240,40,85,2,11,15,22,12,30,20,6,5,8,23,0.512,0.482,0.129,0.259,28.6,76.9,51.9,50.0,6.8,8.9,7.8,100.0,109.9,123.5,97,0
2011-2012,WASHINGTON WIZARDS,2012-02-28,240,42,87,13,24,21,21,13,30,24,5,6,15,24,0.613,0.557,0.276,0.241,33.3,60.0,48.3,57.1,5.3,9.1,13.5,100.0,124.4,125.4,118,0
2011-2012,MILWAUKEE BUCKS,2012-02-28,240,41,91,8,25,29,37,20,26,30,11,3,11,19,0.555,0.495,0.275,0.407,40.0,66.7,51.7,73.2,11.6,4.8,9.3,100.0,125.4,124.4,119,0
2011-2012,UTAH JAZZ,2012-02-28,240,40,85,5,13,11,22,13,30,27,13,4,16,23,0.507,0.5,0.153,0.259,28.3,65.2,46.7,67.5,13.6,6.3,14.5,100.0,100.4,107.7,96,0
2011-2012,SACRAMENTO KINGS,2012-02-28,240,37,84,5,20,24,29,16,33,23,4,7,17,18,0.532,0.47,0.238,0.345,34.8,71.7,53.3,62.2,4.2,9.7,14.9,100.0,107.7,100.4,103,0
2011-2012,GOLDEN STATE WARRIORS,2012-02-29,240,34,83,1,12,16,17,9,44,20,7,9,11,18,0.47,0.416,0.145,0.205,22.0,71.0,51.5,58.8,7.7,12.2,10.8,100.0,93.5,90.2,85,0
2011-2012,ATLANTA HAWKS,2012-02-29,240,31,92,4,18,16,26,18,32,17,5,7,9,14,0.396,0.359,0.196,0.28300000000000003,29.0,78.0,48.5,54.8,5.5,9.9,8.0,100.0,90.2,93.5,82,0
2011-2012,MILWAUKEE BUCKS,2012-02-29,240,39,96,4,15,14,16,16,33,25,5,4,12,17,0.466,0.4270000000000001,0.156,0.16699999999999998,32.0,64.7,48.5,64.1,5.3,5.6,10.4,100.0,101.4,107.7,96,0
2011-2012,BOSTON CELTICS,2012-02-29,240,40,87,3,16,19,28,18,34,26,5,5,14,15,0.513,0.477,0.184,0.322,35.3,68.0,51.5,65.0,5.3,6.2,12.4,100.0,107.7,101.4,102,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-02-29,240,38,87,9,24,10,11,11,25,23,6,10,13,18,0.517,0.489,0.276,0.126,25.0,54.3,40.0,60.5,6.8,14.3,12.4,100.0,106.9,117.0,95,0
2011-2012,DENVER NUGGETS,2012-02-29,240,44,91,6,21,10,16,21,33,26,7,10,12,16,0.53,0.516,0.231,0.17600000000000002,45.7,75.0,60.0,59.1,7.9,15.9,10.9,100.0,117.0,106.9,104,0
2011-2012,CHARLOTTE BOBCATS,2012-02-29,240,36,82,3,9,19,29,11,26,24,7,4,11,23,0.496,0.457,0.11,0.354,22.9,59.1,40.2,66.7,7.6,5.4,10.4,100.0,101.8,118.0,94,0
2011-2012,DETROIT PISTONS,2012-02-29,240,42,84,1,10,24,32,18,37,17,3,8,13,25,0.556,0.506,0.119,0.381,40.9,77.1,59.8,40.5,3.2,11.0,11.7,100.0,118.0,101.8,109,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-02-29,240,35,89,5,19,10,18,12,32,22,7,1,13,17,0.439,0.421,0.213,0.202,23.5,78.0,47.8,62.9,7.3,1.6,11.8,100.0,88.9,108.7,85,0
2011-2012,LOS ANGELES LAKERS,2012-02-29,240,41,84,5,21,17,22,9,39,30,7,8,13,19,0.555,0.518,0.25,0.262,22.0,76.5,52.2,73.2,7.3,11.4,12.2,100.0,108.7,88.9,104,0
2011-2012,DALLAS MAVERICKS,2012-02-29,240,35,79,4,23,11,14,8,26,16,8,5,18,16,0.499,0.468,0.29100000000000004,0.177,19.5,74.3,44.7,45.7,8.7,7.4,17.4,100.0,92.0,103.9,85,0
2011-2012,MEMPHIS GRIZZLIES,2012-02-29,240,39,80,2,12,16,19,9,33,22,12,5,15,16,0.5429999999999999,0.5,0.15,0.238,25.7,80.5,55.3,56.4,13.0,8.9,14.5,100.0,103.9,92.0,96,0
2011-2012,TORONTO RAPTORS,2012-02-29,240,34,77,9,15,18,23,7,29,22,4,9,10,22,0.545,0.5,0.195,0.299,16.7,67.4,42.4,64.7,4.7,14.1,10.3,100.0,110.5,97.7,95,0
2011-2012,NEW ORLEANS HORNETS,2012-02-29,240,30,80,3,16,21,27,14,35,22,3,4,10,22,0.457,0.394,0.2,0.338,32.6,83.3,57.6,73.3,3.5,6.5,9.8,100.0,97.7,110.5,84,0
2011-2012,CLEVELAND CAVALIERS,2012-02-29,240,38,82,9,20,18,27,15,28,21,2,4,17,31,0.5489999999999999,0.518,0.244,0.329,34.9,66.7,50.6,55.3,2.1,6.2,15.3,100.0,109.5,127.5,103,0
2011-2012,NEW YORK KNICKS,2012-02-29,240,43,85,6,20,28,42,14,28,30,10,6,8,22,0.58,0.541,0.235,0.494,33.3,65.1,49.4,69.8,10.6,9.7,7.2,100.0,127.5,109.5,120,0
2011-2012,OKLAHOMA CITY THUNDER,2012-02-29,240,30,78,6,19,26,34,19,37,12,6,4,17,9,0.495,0.423,0.244,0.436,42.2,74.0,58.9,40.0,6.7,5.5,15.5,100.0,103.4,98.9,92,0
