Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2013-2014,MINNESOTA TIMBERWOLVES,2013-11-03,240,35,79,10,27,29,38,10,33,23,9,1,12,16,0.569,0.506,0.342,0.48100000000000004,22.2,70.2,46.7,65.7,9.5,1.8,11.1,100,114.5,105.1
2013-2014,NEW YORK KNICKS,2013-11-03,240,40,89,9,32,11,13,14,35,21,7,3,16,26,0.528,0.5,0.36,0.146,29.8,77.8,53.3,52.5,7.4,5.8,14.5,100,105.1,114.5
2013-2014,PHOENIX SUNS,2013-11-03,240,32,80,14,37,18,22,12,31,21,11,3,23,23,0.535,0.488,0.46299999999999997,0.275,27.9,75.6,51.2,65.6,11.2,4.7,20.4,100,97.5,104.6
2013-2014,OKLAHOMA CITY THUNDER,2013-11-03,240,35,82,2,18,31,37,10,31,20,8,4,15,22,0.524,0.439,0.22,0.451,24.4,72.1,48.8,57.1,8.1,9.3,13.2,100,104.6,97.5
2013-2014,BROOKLYN NETS,2013-11-03,240,34,89,4,17,14,15,11,31,23,5,8,12,23,0.45,0.40399999999999997,0.191,0.16899999999999998,21.2,70.5,43.8,67.6,5.2,11.1,11.2,100,89.4,111.2
2013-2014,ORLANDO MAGIC,2013-11-03,240,42,89,7,17,16,22,13,41,19,7,4,15,19,0.542,0.511,0.191,0.247,29.5,78.8,56.3,45.2,7.3,5.6,13.2,100,111.2,89.4
2013-2014,MINNESOTA TIMBERWOLVES,2013-11-04,240,34,94,5,28,19,24,12,31,21,16,5,17,15,0.44,0.38799999999999996,0.298,0.255,24.0,73.8,46.7,61.8,15.6,7.2,14.0,100,89.9,90.9
2013-2014,CLEVELAND CAVALIERS,2013-11-04,240,39,85,5,16,10,11,11,38,22,10,12,23,24,0.518,0.488,0.188,0.129,26.2,76.0,53.3,56.4,9.8,18.2,20.4,100,90.9,89.9
2013-2014,HOUSTON ROCKETS,2013-11-04,240,41,82,7,25,29,43,13,33,21,7,3,15,22,0.585,0.5429999999999999,0.305,0.524,31.0,78.6,54.8,51.2,6.8,5.4,12.9,100,114.8,133.3
2013-2014,LOS ANGELES CLIPPERS,2013-11-04,240,49,94,15,38,24,28,9,29,33,7,7,10,29,0.644,0.601,0.40399999999999997,0.298,21.4,69.0,45.2,67.3,6.8,12.3,8.6,100,133.3,114.8
2013-2014,BOSTON CELTICS,2013-11-04,240,33,70,7,20,15,18,4,28,14,9,6,17,21,0.565,0.521,0.28600000000000003,0.257,12.9,75.7,47.1,42.4,10.0,10.2,17.9,100,97.8,105.6
2013-2014,MEMPHIS GRIZZLIES,2013-11-04,240,36,74,5,15,18,22,9,27,23,6,2,18,19,0.568,0.52,0.203,0.297,24.3,87.1,52.9,63.9,6.7,4.0,17.7,100,105.6,97.8
2013-2014,GOLDEN STATE WARRIORS,2013-11-04,240,41,92,15,38,13,20,13,41,28,18,7,22,24,0.546,0.527,0.413,0.217,25.5,74.5,50.9,68.3,16.4,11.1,17.9,100,100.3,82.1
2013-2014,PHILADELPHIA 76ERS,2013-11-04,240,31,88,5,25,23,37,14,38,19,9,3,24,18,0.43200000000000005,0.381,0.284,0.42,25.5,74.5,49.1,61.3,8.2,5.6,18.7,100,82.1,100.3
2013-2014,UTAH JAZZ,2013-11-05,240,31,82,4,18,22,30,19,28,17,6,3,20,24,0.462,0.402,0.22,0.366,40.4,71.8,54.7,54.8,6.4,4.5,17.4,100,94.5,111.7
2013-2014,BROOKLYN NETS,2013-11-05,240,40,78,4,11,20,32,11,28,23,11,3,15,27,0.565,0.5379999999999999,0.141,0.41,28.2,59.6,45.3,57.5,11.8,4.7,14.0,100,111.7,94.5
2013-2014,LOS ANGELES LAKERS,2013-11-05,240,39,88,12,31,14,20,9,26,21,9,4,14,12,0.537,0.511,0.35200000000000004,0.22699999999999998,18.4,72.2,41.2,53.8,9.1,6.0,12.6,100,104.7,123.9
2013-2014,DALLAS MAVERICKS,2013-11-05,240,49,94,13,27,12,14,10,40,34,10,3,12,14,0.614,0.59,0.287,0.149,27.8,81.6,58.8,69.4,10.1,5.3,10.7,100,123.9,104.7
2013-2014,SAN ANTONIO SPURS,2013-11-05,240,40,86,4,16,18,20,8,31,27,14,9,16,22,0.5379999999999999,0.488,0.18600000000000003,0.233,18.6,75.6,46.4,67.5,13.9,14.1,14.4,100,101.3,93.4
2013-2014,DENVER NUGGETS,2013-11-05,240,35,83,9,19,15,20,10,35,22,4,4,22,23,0.512,0.47600000000000003,0.22899999999999998,0.24100000000000002,24.4,81.4,53.6,62.9,4.0,5.7,19.3,100,93.4,101.3
2013-2014,INDIANA PACERS,2013-11-05,240,38,73,9,21,14,23,4,41,26,6,9,18,21,0.596,0.5820000000000001,0.28800000000000003,0.315,12.1,75.9,51.7,68.4,6.2,14.5,17.8,100,102.7,94.4
2013-2014,DETROIT PISTONS,2013-11-05,240,33,87,5,25,20,25,13,29,13,10,6,14,24,0.46399999999999997,0.408,0.287,0.287,24.1,87.9,48.3,39.4,10.4,11.5,12.5,100,94.4,102.7
2013-2014,PHOENIX SUNS,2013-11-05,240,39,78,12,25,14,22,7,34,25,10,4,15,20,0.593,0.5770000000000001,0.321,0.282,17.9,81.0,50.6,64.1,10.5,6.0,14.6,100,109.4,103.1
2013-2014,NEW ORLEANS PELICANS,2013-11-05,240,37,85,10,18,14,19,8,32,26,12,11,13,20,0.525,0.494,0.212,0.22399999999999998,19.0,82.1,49.4,70.3,12.6,20.8,12.2,100,103.1,109.4
2013-2014,CHARLOTTE BOBCATS,2013-11-05,240,30,71,8,21,34,42,16,35,17,9,5,22,25,0.57,0.479,0.29600000000000004,0.5920000000000001,42.1,76.1,60.7,56.7,9.8,9.3,19.7,100,110.6,105.1
2013-2014,NEW YORK KNICKS,2013-11-05,240,35,82,8,28,19,23,11,22,12,11,4,14,27,0.526,0.47600000000000003,0.341,0.28,23.9,57.9,39.3,34.3,11.9,8.0,13.2,100,105.1,110.6
2013-2014,HOUSTON ROCKETS,2013-11-05,240,41,75,6,22,28,34,10,37,17,6,3,20,27,0.645,0.5870000000000001,0.293,0.45299999999999996,34.5,77.1,61.0,41.5,6.1,5.4,18.2,100,118.3,103.0
2013-2014,PORTLAND TRAIL BLAZERS,2013-11-05,240,36,87,10,31,19,29,11,19,22,9,6,14,28,0.506,0.47100000000000003,0.35600000000000004,0.33299999999999996,22.9,65.5,39.0,61.1,9.2,11.3,12.3,100,103.0,118.3
2013-2014,ATLANTA HAWKS,2013-11-05,240,39,81,8,22,19,26,9,27,26,11,7,14,15,0.568,0.531,0.272,0.321,23.7,73.0,48.0,66.7,11.7,14.3,13.2,100,111.6,106.3
2013-2014,SACRAMENTO KINGS,2013-11-05,240,35,80,10,31,20,21,10,29,22,10,4,18,26,0.56,0.5,0.38799999999999996,0.263,27.0,76.3,52.0,62.9,10.6,6.8,16.8,100,106.3,111.6
2013-2014,MIAMI HEAT,2013-11-05,240,41,83,10,23,12,14,10,28,31,7,4,11,27,0.583,0.5539999999999999,0.27699999999999997,0.16899999999999998,27.0,68.3,48.7,75.6,8.1,7.8,11.0,100,119.7,109.4
2013-2014,TORONTO RAPTORS,2013-11-05,240,31,72,6,21,27,33,13,27,15,4,1,15,21,0.5489999999999999,0.47200000000000003,0.292,0.45799999999999996,31.7,73.0,51.3,48.4,4.6,1.7,14.8,100,109.4,119.7
2013-2014,UTAH JAZZ,2013-11-06,240,37,80,1,10,12,18,11,31,14,8,4,20,22,0.495,0.469,0.125,0.225,25.6,75.6,50.0,37.8,8.4,5.8,18.5,100,91.0,101.4
